day_type,PANORAMA MEDI CLINIC,ROUTE B,N1 CITY,ELSIES RIVER,NYANGA TERM,HARARE,MAKHAYA,VILLAGE 3,MAKHAZA,J BLOCK,SYMPHONY WAY
Fridays,14:45,via,via,15:15,15:45,,,,17:00,,
Fridays,12:45,via,via,13:15,13:45,,,,14:30,,
Fridays,13:00,via,via,13:50,,,,,15:15,,
Fridays,13:00,via,via,13:30,13:45,15:00,,,,,
Fridays,,,,13:00,13:25,14:15,,,,,
Fridays,15:00,via,via,15:40,,,,,16:50,,via
Fridays,17:40,via,via,18:10,18:40,,,,19:00,,
Fridays,13:30,via,via,14:00,14:15,15:05,,,,,
Fridays,13:30,via,via,14:00,14:30,15:00,,15:15,via,,
Fridays,15:00,,15:15,15:30,,16:30,,,,,via
Fridays,,,,15:40,,,,via,17:00,,
Fridays,16:20,via,via,17:00,,,,,18:30,,via
Fridays,16:05,via,via,16:35,16:50,17:40,,,,,
Fridays,14:05,via,via,14:35,14:50,15:40,,,,,
MondaysToFridays,07:15,,07:30,07:40,08:05,via,,09:05,via,,
MondaysToFridays,17:00,via,via,17:30,17:45,19:00,,,,,
MondaysToFridays,19:15,via,via,19:45,20:15,,,,20:40,,
MondaysToFridays,15:45,via,via,16:15,16:30,17:30,,,,,
MondaysToFridays,17:00,via,via,17:50,,,,,19:00,,
MondaysToFridays,15:50,via,via,16:20,16:50,,,,18:10,,
MondaysToFridays,14:15,via,via,14:45,15:00,16:00,,,,,
MondaysToFridays,,,,14:05,14:30,15:15,,,,,
Mondays_to_Thursdays,14:30,via,via,15:00,15:15,16:40,,,,,
Mondays_to_Thursdays,13:00,via,via,13:50,,,,,15:00,,
Mondays_to_Thursdays,14:45,via,via,15:15,15:45,,,,16:50,,
Mondays_to_Thursdays,13:00,via,via,13:30,13:45,15:15,,,,,
Mondays_to_Thursdays,17:40,via,via,18:10,18:40,,,,19:20,,
Mondays_to_Thursdays,,,,17:15,,18:45,,,,,
Mondays_to_Thursdays,,,,13:30,via,,,via,14:45,,
Mondays_to_Thursdays,13:30,via,via,14:00,14:15,15:30,,,,,
Mondays_to_Thursdays,16:35,via,via,17:20,,,,,18:40,,via
Mondays_to_Thursdays,18:00,,18:30,18:40,19:00,19:30,,,,,
Mondays_to_Thursdays,16:20,via,via,17:00,,,,,18:30,,via
Mondays_to_Thursdays,14:05,via,via,14:35,14:50,16:00,,,,,
Mondays_to_Thursdays,,,,15:40,,,,via,17:55,,
Mondays_to_Thursdays,15:00,via,via,15:30,15:45,16:30,,,,,
Mondays_to_Thursdays,15:00,,15:15,15:30,,16:30,,,,,via
Mondays_to_Thursdays,15:00,via,via,15:40,,,,,16:40,,via
Mondays_to_Thursdays,,,,15:00,via,,,via,16:45,,
Mondays_to_Thursdays,13:30,via,via,14:00,14:30,,,,15:30,,
PublicHolidays,,,,18:00,18:25,18:40,via,19:20,,18:55,
PublicHolidays,,,,17:30,17:55,18:10,via,18:35,,18:25,
PublicHolidays,17:10,via,17:30,17:50,18:15,18:35,,18:40,,,
PublicHolidays,14:50,via,15:10,15:30,15:55,16:15,,17:00,,,
PublicHolidays,07:15,,07:30,07:40,08:05,via,,08:45,via,,
PublicHolidays,19:15,,19:30,19:40,20:05,via,,20:45,via,,
PublicHolidays,,,18:30,18:40,19:10,19:40,,20:00,via,,
Saturdays,17:00,via,17:20,17:40,18:05,18:25,,18:45,,,
Saturdays,14:10,via,14:30,14:50,15:15,15:35,,15:55,,,
Saturdays,13:05,via,13:25,13:45,14:10,14:30,,14:45,,,
Saturdays,07:15,,07:30,07:40,08:05,via,,08:45,via,,
Saturdays,19:15,,19:30,19:40,20:05,via,,20:45,via,,
Saturdays,,,17:30,17:40,18:10,18:40,,19:00,via,,
Sundays,07:15,,07:30,07:40,08:05,via,,08:30,via,,
Sundays,13:50,via,14:10,14:30,14:55,15:15,,16:00,,,
Sundays,14:50,via,15:10,15:30,15:55,16:15,,17:00,,,
Sundays,,,17:30,17:40,18:10,18:40,,19:00,via,,
Sundays,19:15,,19:30,19:40,20:05,via,,20:45,via,,
