day_type,PANORAMA MEDI CLINIC,ROUTE A,ROUTE B,N1 CITY,ELSIES RIVER,AIRPORT IND,NYANGA TERM,PHILIPPI EAST SAP
Fridays,15:40,,via,via,16:10,,17:00,
Fridays,,,,18:30,via,,19:10,
MondaysToFridays,,,,,06:45,via,07:50,
MondaysToFridays,07:40,via,,via,08:00,,,
MondaysToFridays,08:30,,,,08:40,,,
MondaysToFridays,08:40,,,,09:00,,,
MondaysToFridays,09:25,,,,09:45,,,
MondaysToFridays,09:30,,,,09:40,,,
MondaysToFridays,16:00,,via,via,16:30,,17:00,17:30
MondaysToFridays,16:20,,via,via,16:50,,17:40,
Mondays_to_Thursdays,,,,,14:55,,15:45,
Mondays_to_Thursdays,15:35,,via,via,16:10,,17:00,
PublicHolidays,08:20,via,,via,08:40,,09:20,
