day_type,ENKANINI,MAKHAZA,VILLAGE 3,J BLOCK,MAKHAYA,HARARE,ROUTE 1,ROUTE 2,SITE C,NYANGA TERM,PAROW IND,TYGERBERG HOSP,PAROW,TYGERBERG STN,KARL BREMER HOSP
Fridays,,17:45,17:30,17:35,via,17:50,,,18:00,18:10,via,18:20,,,18:35
Fridays,,17:25,17:10,17:15,via,17:30,,,17:40,17:50,via,18:00,,,18:30
Fridays,05:00,05:05,05:25,,,,via,,05:35,05:50,via,06:20,06:40,06:30,
Fridays,,07:30,07:50,,,,via,,08:00,,via,08:40,09:10,08:50,
Fridays,,07:00,07:20,,,,via,,07:30,,via,08:10,09:00,08:20,
MondaysToFridays,,05:00,05:20,,,,via,,05:30,,via,06:10,06:40,06:20,
MondaysToFridays,,via,15:30,via,via,via,,,16:00,via,via,via,,17:00,
MondaysToFridays,,13:30,13:45,,,,via,,13:55,14:05,,14:35,,15:00,
MondaysToFridays,,08:15,08:35,,,,via,,08:45,,via,09:25,09:45,09:35,
MondaysToFridays,,,,,,07:00,,via,via,,,08:20,09:00,08:25,
MondaysToFridays,,,,,,06:45,,via,07:15,,via,07:55,08:45,08:15,08:05
MondaysToFridays,,,,,,06:30,,via,via,,,07:50,08:05,07:55,
MondaysToFridays,,,,,,07:30,,via,via,,,08:50,09:10,08:55,
MondaysToFridays,,,,,,06:15,,via,via,,,07:35,07:55,07:40,
MondaysToFridays,,,,,,06:00,,via,via,,,07:20,07:40,07:25,
MondaysToFridays,,06:00,06:15,,,,via,,06:25,,,07:20,07:40,,
MondaysToFridays,,,,,,05:45,,via,via,,,07:05,07:20,07:10,
MondaysToFridays,,,,,,05:00,,via,05:30,,via,06:10,06:30,06:30,06:20
MondaysToFridays,,05:35,05:50,,,,via,,06:00,,,06:55,07:25,,
MondaysToFridays,,,,,,05:30,,via,06:00,,via,06:40,07:30,07:00,06:50
MondaysToFridays,05:20,05:25,05:45,,,,via,,05:55,,via,06:40,07:05,06:50,
MondaysToFridays,,06:25,06:45,,,,via,,06:55,,via,07:35,08:00,07:45,
MondaysToFridays,,05:20,05:40,,,,via,,05:45,,via,06:25,,06:30,07:05
Mondays_to_Thursdays,,17:45,17:30,17:35,via,17:50,,,18:00,18:10,via,18:20,,,18:45
Mondays_to_Thursdays,05:00,05:05,05:25,,,,via,,05:35,05:50,via,06:20,06:30,06:30,
Mondays_to_Thursdays,,17:25,17:10,17:15,via,17:30,,,17:40,17:50,via,18:00,,,18:30
Mondays_to_Thursdays,,07:30,07:50,,,,via,,08:00,,via,08:40,09:05,08:50,
Mondays_to_Thursdays,,07:00,07:20,,,,via,,07:30,,via,08:10,08:40,08:20,
Mondays_to_Thursdays,,13:30,13:45,,,,via,,13:55,14:05,,14:25,15:00,14:35,
PublicHolidays,,17:15,17:00,17:05,via,17:20,,,17:30,17:40,via,17:50,,,18:35
PublicHolidays,,,,,,05:30,,via,via,,,06:50,07:00,06:55,
PublicHolidays,,05:55,05:45,05:50,via,06:00,,,06:20,06:30,via,07:00,,07:05,07:10
PublicHolidays,,,,,,06:30,,via,via,,,07:50,08:05,07:55,
PublicHolidays,,17:30,17:15,17:20,via,17:35,,,17:45,18:00,via,via,,19:00,via
Saturdays,,,05:45,,,,,via,06:25,,via,07:00,,07:10,07:10
Saturdays,,via,07:00,via,via,via,,,07:30,via,via,via,,08:20,
Saturdays,,17:20,17:10,17:15,via,17:25,,,17:45,17:55,via,18:25,,18:30,18:55
Sundays,,06:00,05:45,05:50,via,06:05,,,06:15,06:30,via,via,,07:00,via
Sundays,,17:15,17:00,17:05,via,17:20,,,17:30,17:40,via,17:50,,,18:35
