day_type,PAROW,KARL BREMER HOSP,TYGERBERG STN,TYGERBERG HOSP,PEPCOR FACTORY,PEP FACTORY,PAROW IND,NYANGA TERM,SITE C,ROUTE 1,ROUTE 2,HARARE,MAKHAYA,VILLAGE 3,MAKHAZA,ENKANINI
Fridays,16:05,16:25,16:10,16:30,,,via,,16:55,via,,,,17:05,17:30,
Fridays,,,16:00,16:10,,16:20,via,,16:45,,via,17:30,,,,
Fridays,15:40,,16:00,16:10,,,via,,16:50,via,,,,via,17:20,
Fridays,17:10,,17:30,17:40,,,via,,18:20,via,,,,via,19:00,
Fridays,,,,,15:30,,,,16:20,via,,,,16:30,16:40,
Fridays,15:30,15:50,15:40,15:55,,,via,,via,,via,17:30,,,,
Fridays,15:00,,15:10,15:20,,,,15:40,15:50,,via,,,16:30,,
Fridays,17:30,,17:40,17:50,,,,18:10,18:20,via,,,,18:30,18:50,
Fridays,15:00,,15:10,15:20,,,,,,,via,16:30,,,,
Fridays,,,16:40,16:50,,17:00,via,,17:25,,via,18:00,,,,
Fridays,,,14:30,14:40,,,via,15:05,15:15,,,16:00,,,,
Fridays,17:40,,17:50,18:00,,,via,,18:30,,via,19:00,,,,
Fridays,16:40,,17:00,17:10,,,via,,17:50,via,,,,via,18:30,
Fridays,,,14:30,14:40,,,via,,15:15,via,,,,15:20,16:00,
Fridays,13:50,,14:00,14:10,,,via,,14:40,,via,15:10,,,,
Fridays,13:50,,14:00,14:10,,,,14:30,14:40,via,,,,14:50,15:30,
Fridays,12:50,,13:00,13:10,,,via,,13:40,,via,15:00,,,,
Fridays,12:50,,12:55,13:00,,,via,13:30,13:45,,via,,,13:45,,
Fridays,,19:05,19:10,19:15,,,via,,via,,via,,,21:00,,
Fridays,,07:05,,07:15,,,,07:40,07:55,,,08:10,via,09:00,via,
Fridays,14:30,,14:40,14:50,,,via,,15:20,,via,16:00,,,,
MondaysToFridays,,19:00,,19:20,,,via,19:50,,,,,,,,
MondaysToFridays,17:15,,17:25,17:35,,,,,,,via,18:30,,,,
Mondays_to_Thursdays,17:55,,18:05,18:15,,,via,,18:55,via,,,,via,via,19:20
Mondays_to_Thursdays,17:30,,17:40,17:50,,,,18:10,18:20,via,,,,18:30,18:50,
Mondays_to_Thursdays,,19:05,19:10,19:15,,,via,,via,,via,,,20:15,,
Mondays_to_Thursdays,,,,,17:10,,,,18:00,via,,,,18:10,18:40,
Mondays_to_Thursdays,17:00,,17:20,17:30,,,via,,18:10,via,,,,via,18:45,
Mondays_to_Thursdays,17:40,,17:50,18:00,,,via,,18:30,,via,18:40,,,,
Mondays_to_Thursdays,,07:05,,07:15,,,,07:40,07:55,,,08:10,via,08:50,via,
Mondays_to_Thursdays,16:40,,17:00,17:10,,,via,,17:50,via,,,,via,18:30,
Mondays_to_Thursdays,12:50,,13:00,13:10,,,,13:30,13:40,via,,,,13:50,15:00,
Mondays_to_Thursdays,,,16:40,16:50,,17:00,via,,17:25,,via,18:00,,,,
Mondays_to_Thursdays,13:50,,14:00,14:10,,,via,,14:40,,via,15:00,,,,
Mondays_to_Thursdays,13:50,,14:00,14:10,,,,14:30,14:40,via,,,,14:50,15:30,
Mondays_to_Thursdays,,,14:30,14:40,,,via,15:05,15:15,,,15:55,,,,
Mondays_to_Thursdays,,,14:30,14:40,,,via,,15:15,via,,,,15:20,15:30,
Mondays_to_Thursdays,12:50,,13:00,13:10,,,via,,13:40,,via,15:00,,,,
Mondays_to_Thursdays,15:10,15:30,15:15,15:35,,,via,,16:00,via,,,,16:10,17:00,
Mondays_to_Thursdays,15:30,15:50,15:40,15:55,,,via,,via,,via,17:35,,,,
Mondays_to_Thursdays,15:35,15:55,15:40,16:00,,,via,,16:25,via,,,,16:35,17:40,
Mondays_to_Thursdays,,,16:00,16:10,,16:20,via,,16:45,,via,17:20,,,,
Mondays_to_Thursdays,15:00,,15:10,15:20,,,,,,,via,17:00,,,,
PublicHolidays,,19:05,,19:15,,,,19:40,19:55,,,20:10,via,20:25,via,
PublicHolidays,,07:10,07:15,07:20,,,via,07:50,08:00,,,08:15,via,08:40,08:25,
PublicHolidays,17:00,,17:10,17:20,,,via,,17:50,,via,18:25,,,,
PublicHolidays,,19:05,19:00,19:10,,,via,19:30,19:45,,,19:55,via,20:15,20:05,
PublicHolidays,,19:05,19:20,19:30,,,via,,via,,via,,,20:15,,
Saturdays,,07:10,07:15,07:20,,,via,07:50,08:00,,,08:15,via,08:45,08:25,
Saturdays,,19:05,19:20,19:30,,,via,,via,,via,,,20:15,,
Saturdays,,19:05,19:10,19:15,,,via,19:45,19:55,,,20:10,via,20:30,20:20,
Sundays,,07:05,07:00,07:10,,,via,07:30,07:45,,,07:55,via,08:20,08:05,
Sundays,,19:05,,19:15,,,,19:40,19:55,,,20:10,via,20:25,via,
