day_type,TAFELSIG LOST CITY,TAFELSIG,EASTRIDGE,WESTRIDGE,LEAGUES,TOWN CENTRE
MondaysToFridays,04:15,,,,,05:10
MondaysToFridays,05:50,,,,,06:45
MondaysToFridays,,,,05:55,,06:10
MondaysToFridays,,06:00,,,,06:30
MondaysToFridays,06:00,,,,,06:35
MondaysToFridays,,06:05,,,,06:35
MondaysToFridays,,,06:05,,,06:30
MondaysToFridays,,05:45,,,,06:15
MondaysToFridays,06:10,,,,,06:30
MondaysToFridays,06:20,via,,,,06:50
MondaysToFridays,06:30,,,,,07:10
MondaysToFridays,,,,06:40,,07:20
MondaysToFridays,06:40,,,,,07:10
MondaysToFridays,,06:40,,,,07:00
MondaysToFridays,07:10,,,,,08:00
MondaysToFridays,,06:10,,,,06:35
MondaysToFridays,,,05:45,,,05:55
MondaysToFridays,05:40,,,,,06:20
MondaysToFridays,05:05,,,,,06:00
MondaysToFridays,04:45,,,,,05:25
MondaysToFridays,04:50,,,,,05:30
MondaysToFridays,04:55,,,,,05:40
MondaysToFridays,05:00,,,,,06:00
MondaysToFridays,,05:00,,,,05:35
MondaysToFridays,,05:40,,,,06:00
MondaysToFridays,04:35,,,,,05:30
MondaysToFridays,05:10,,,,,06:15
MondaysToFridays,,,05:15,,,05:45
MondaysToFridays,,,,,05:15,06:00
MondaysToFridays,,,,05:20,,05:50
MondaysToFridays,05:20,,,,,06:10
MondaysToFridays,,05:30,,,,05:45
MondaysToFridays,05:30,,,,,06:05
MondaysToFridays,,05:10,,,,05:30
MondaysToFridays,04:25,,,,,05:10
PublicHolidays,08:40,,,,,09:00
PublicHolidays,06:50,,,,,07:30
PublicHolidays,18:00,,,,,18:20
