day_type,RICHWOOD,EDGEMEAD,BOTHASIG,SUMMER GREENS (7/11),SUMMER GREENS,CENTURY CITY,KOEBERG RD,CAMBRIDGE,N1 FREEWAY,VOORTREKKER RD,SALT RIVER MARKET,CAPE TOWN
MondaysToFridays,05:50,,06:00,,,via,,,via,,,07:10
MondaysToFridays,,,05:50,,,,,,via,,,06:35
MondaysToFridays,06:30,,06:40,,,via,,,via,,,08:20
MondaysToFridays,,06:30,,,,via,,,via,,,07:25
MondaysToFridays,,,,07:00,07:10,,via,07:20,via,,,08:15
MondaysToFridays,,,07:40,,,,,,via,,,08:30
Mondays_to_Thursdays,,09:30,,,,09:45,via,,,via,via,11:00
Fridays,,09:30,,,,09:45,via,,,via,via,11:05
MondaysToFridays,,10:30,,,,10:45,via,,,via,via,11:15
Mondays_to_Thursdays,,14:30,,,,14:45,via,,,via,via,15:45
Fridays,,14:30,,,,14:45,via,,,via,via,15:15
MondaysToFridays,,16:00,,,,16:15,via,,,via,via,17:25
Fridays,,16:30,,,,,,,,,,17:15
MondaysToFridays,,,17:40,,,,,,,,,18:30
Saturdays,,06:50,07:00,,07:10,via,,,via,,,08:20
Saturdays,,,,,,11:45,via,,,via,via,12:15
Saturdays,,,,,,16:00,via,,,via,via,16:30
Sundays,,,,,,12:20,via,,,via,via,12:45
Sundays,,,,,,15:30,via,,,via,via,16:00
Sundays,,,,,,17:30,via,,,via,via,18:30
