day_type,CAPE TOWN,SALT RIVER MARKET,VOORTREKKER RD,N1 FREEWAY,CENTURY CITY,SUMMER GREENS,BOTHASIG,EDGEMEAD,RICHWOOD
Fridays,16:15,,,via,,,via,,17:10
Fridays,17:10,via,via,,17:45,17:55,18:05,18:30,
MondaysToFridays,17:15,,,via,,,via,,18:05
MondaysToFridays,17:00,,,via,,,17:40,,
MondaysToFridays,15:10,via,via,,15:45,15:55,16:05,16:30,
MondaysToFridays,08:05,via,via,,08:40,08:50,09:00,09:30,
MondaysToFridays,13:15,via,via,,13:50,14:00,14:10,14:30,
MondaysToFridays,11:15,via,via,,11:50,12:00,12:10,12:30,
MondaysToFridays,09:15,via,via,,09:50,10:00,10:10,10:30,
MondaysToFridays,14:45,via,via,,15:20,15:30,15:40,16:00,
Mondays_to_Thursdays,14:15,via,via,,14:50,15:00,15:10,15:45,
Mondays_to_Thursdays,16:15,,,via,,,via,,17:45
Mondays_to_Thursdays,17:10,via,via,,17:45,17:55,18:05,18:30,
PublicHolidays,17:00,via,via,,17:40,,,,
Saturdays,09:15,via,via,,09:45,,,,
Saturdays,10:15,via,via,,10:45,,,,
Saturdays,11:15,via,via,,11:45,,,,
Sundays,19:10,via,via,,19:30,,,,
