day_type,BELLVILLE,KARL BREMER HOSP,WELGEMOED,PROTEA VALLEY,KENRIDGE
Mondays_to_Thursdays,07:00,,via,via,08:15
Fridays,07:00,,via,via,08:15
MondaysToFridays,07:40,,via,via,08:20
MondaysToFridays,07:45,,via,via,08:15
MondaysToFridays,08:00,,via,via,09:15
Mondays_to_Thursdays,08:20,,via,via,09:35
MondaysToFridays,08:40,,via,via,09:20
MondaysToFridays,09:00,,via,via,09:40
Mondays_to_Thursdays,11:30,,via,via,12:15
Fridays,11:30,,via,via,12:15
Mondays_to_Thursdays,13:00,,,,14:15
Fridays,13:00,,,,14:10
Saturdays,07:00,,via,via,08:00
Saturdays,08:00,,via,via,08:45
Saturdays,13:50,via,,,14:30
Sundays,07:20,,via,via,07:55
