day_type,KENRIDGE,PROTEA VALLEY,BELLVILLE
Mondays_to_Thursdays,12:15,via,12:50
Fridays,12:15,via,13:00
Fridays,13:00,via,14:00
Mondays_to_Thursdays,13:15,via,14:00
Mondays_to_Thursdays,13:45,via,15:00
Fridays,13:45,via,14:30
Fridays,14:10,via,15:00
Mondays_to_Thursdays,14:15,via,15:00
Fridays,14:45,via,15:30
Mondays_to_Thursdays,15:00,via,15:50
Mondays_to_Thursdays,15:10,via,16:30
Fridays,15:15,via,16:30
Mondays_to_Thursdays,15:20,via,16:10
Fridays,15:30,via,16:30
Mondays_to_Thursdays,15:30,via,16:50
Fridays,15:45,via,16:40
Mondays_to_Thursdays,15:45,via,16:45
Mondays_to_Thursdays,16:00,via,16:30
MondaysToFridays,16:10,via,17:00
Fridays,16:30,via,17:20
Mondays_to_Thursdays,16:45,via,18:15
Fridays,17:15,via,17:45
Mondays_to_Thursdays,17:15,via,18:10
Saturdays,14:30,via,15:10
Sundays,14:30,via,15:20
