day_type,OCEAN VIEW,OU KAAPSE WEG,SCARBOROUGH,FISH HOEK,TOP STONES FACTORY,JUBILEE SQUARE,SEA FORTH,MURDOCH VALLEY,SIMONSTOWN
Fridays,16:35,,,17:35,,,,,
MondaysToFridays,05:20,,,05:35,,,,,
MondaysToFridays,17:25,,,,,,,,18:00
MondaysToFridays,16:40,,,17:15,,,,,
MondaysToFridays,16:15,,,,17:00,,,,
MondaysToFridays,,,,16:05,,,,16:35,
MondaysToFridays,15:40,,,16:15,,,,,
MondaysToFridays,15:15,,,16:00,,,,,
MondaysToFridays,,,,,,,,15:00,14:50
MondaysToFridays,14:15,,,14:45,,,,,
MondaysToFridays,14:00,,,,,,,15:10,
MondaysToFridays,,,,12:05,,12:30,,,
MondaysToFridays,11:15,,,11:45,,,,,
MondaysToFridays,17:45,,,18:10,,,,,
MondaysToFridays,10:15,,,10:45,,,,,
MondaysToFridays,09:15,,,09:45,,,,,
MondaysToFridays,08:00,via,,,,,,08:55,
MondaysToFridays,07:30,,,08:15,,,,,
MondaysToFridays,07:05,,via,,,,08:00,,
MondaysToFridays,06:50,,,07:40,,,,,
MondaysToFridays,06:40,,,,,,,07:20,
MondaysToFridays,06:25,via,,,,,,07:05,
MondaysToFridays,06:25,,,,,,,07:05,
MondaysToFridays,06:00,,,06:40,,,,,
MondaysToFridays,05:55,,,,,,,06:30,
MondaysToFridays,11:10,,,11:35,,,,,
Mondays_to_Thursdays,,,,,,,,16:00,15:40
Mondays_to_Thursdays,16:30,,,17:35,,,,,
PublicHolidays,16:20,,,16:40,,,,,
PublicHolidays,,,,06:45,,07:00,,,
Saturdays,06:25,via,,,,,,07:05,
Saturdays,16:30,,,16:45,,,,,
Saturdays,14:15,,,15:00,,,,,
Saturdays,13:00,via,,,,,,13:30,
Saturdays,05:45,,,06:20,,,,,
Saturdays,11:10,,,11:40,,,,,
Saturdays,10:00,,,11:00,,,,,
Saturdays,09:40,,,10:00,,,,,
Saturdays,11:40,,,12:10,,,,,
Saturdays,09:00,,,,,,,09:30,
Saturdays,08:40,,,09:10,,,,,
Saturdays,07:40,,,08:10,,,,,
Saturdays,07:30,via,,,,,,08:00,
Saturdays,07:10,,,,,,,07:40,
Saturdays,06:40,,,07:10,,,,,
Saturdays,09:00,,,09:30,,,,,
Saturdays,08:00,,,08:30,,,,,
Sundays,06:00,,,06:15,,,,,
Sundays,07:25,,,08:00,,,,,
Sundays,08:25,,,08:45,,,,,
Sundays,10:00,,,10:30,,,,,
Sundays,14:00,,,14:30,,,,,
Sundays,15:00,,,15:30,,,,,
Sundays,16:00,,,16:45,,,,,
Sundays,18:00,,,18:30,,,,,
