day_type,MURDOCH VALLEY,JUBILEE SQUARE,TOP STONES FACTORY,MARINE OIL,OU KAAPSE WEG,FISH HOEK,OCEAN VIEW,KOMMETJIE,SIMONSTOWN
Fridays,16:00,,,,via,,16:35,,
Fridays,,,,,,15:40,16:10,,
MondaysToFridays,,,,,,06:00,06:25,,
MondaysToFridays,,,,,,18:40,19:40,,
MondaysToFridays,,,,,,17:50,18:10,,
MondaysToFridays,,,,,,17:35,18:00,,
MondaysToFridays,17:25,,,,,,18:25,,
MondaysToFridays,17:25,,17:00,,,,,,
MondaysToFridays,,,17:00,via,via,,17:25,,
MondaysToFridays,16:35,,,,via,,17:10,,
MondaysToFridays,,,17:00,,via,,,16:30,
MondaysToFridays,,,,,,16:15,17:15,,
MondaysToFridays,15:00,,,,,,15:40,,
MondaysToFridays,,,,,,17:15,17:45,,
MondaysToFridays,,,,,,13:45,14:15,,
MondaysToFridays,,,,,,12:45,13:00,,
MondaysToFridays,,12:30,,,,12:45,,,
MondaysToFridays,,,,,,10:45,11:10,,
MondaysToFridays,,,,,,09:45,10:15,,
MondaysToFridays,,,,,,08:45,09:15,,
MondaysToFridays,,,,,,08:00,08:35,,
MondaysToFridays,,,,,,07:40,08:10,,
MondaysToFridays,,,,,,14:45,15:15,,
MondaysToFridays,07:20,,,,,,08:00,,
MondaysToFridays,07:05,,,,,,07:30,,
MondaysToFridays,07:00,,,,,,07:20,,
MondaysToFridays,06:30,,,,,,07:00,,
Mondays_to_Thursdays,15:05,,,,,,16:50,,
Mondays_to_Thursdays,,,,,,15:40,16:30,,
Mondays_to_Thursdays,16:00,,,,,,16:40,,16:05
PublicHolidays,,,,,,16:00,16:20,,
PublicHolidays,,07:00,,,,07:05,,,
Saturdays,07:05,,,,,,07:30,,
Saturdays,13:30,,,,via,,14:15,via,
Saturdays,,,,,,06:20,06:40,,
Saturdays,,,,,,11:20,11:40,,
Saturdays,,,,,,10:40,11:10,,
Saturdays,,,,,,12:30,13:00,,
Saturdays,,,,,,09:10,09:40,,
Saturdays,,,,,,08:10,08:40,,
Saturdays,08:00,,,,,,09:00,,
Saturdays,07:40,,,,,,08:00,,
Saturdays,,,,,,09:30,10:00,,
Saturdays,,,,,,07:10,07:40,,
Sundays,,,,,,06:45,07:20,,
Sundays,,,,,,08:00,08:25,,
Sundays,,,,,,09:30,10:00,,
Sundays,,,,,,14:30,15:00,,
Sundays,,,,,,15:30,16:00,,
Sundays,,,,,,17:30,18:00,,
Sundays,,,,,,18:30,19:00,,
