day_type,KOMMETJIE,OCEAN VIEW,NOORDHOEK,PICK 'N PAY,SUN VALLEY,FISH HOEK,MURDOCH VALLEY
MondaysToFridays,,,07:00,,via,07:25,
MondaysToFridays,,17:10,,,,,
MondaysToFridays,,,16:25,via,via,17:15,
MondaysToFridays,,,15:30,via,via,16:05,
MondaysToFridays,15:15,via,,via,via,15:45,
MondaysToFridays,,,,,via,17:50,
MondaysToFridays,,08:35,,via,via,via,09:35
MondaysToFridays,,08:10,08:40,,,,
MondaysToFridays,,,07:30,via,via,08:00,
MondaysToFridays,,07:20,07:30,,,,
MondaysToFridays,,12:15,,via,,12:45,
Mondays_to_Thursdays,,16:40,,,,,
Mondays_to_Thursdays,,18:10,,,,,
PublicHolidays,,09:35,,,via,10:15,
PublicHolidays,,10:35,,,via,11:15,
PublicHolidays,,11:20,,via,via,11:45,
PublicHolidays,,12:05,,via,via,12:50,
PublicHolidays,,15:45,,,via,16:20,
PublicHolidays,,15:15,,via,,16:00,
PublicHolidays,,16:45,,,via,17:20,
PublicHolidays,,08:25,,,via,08:45,
PublicHolidays,,13:25,,via,via,14:20,
PublicHolidays,,07:25,,,via,08:00,
PublicHolidays,,18:45,,,via,19:20,
PublicHolidays,,17:45,,,via,18:20,
PublicHolidays,,06:15,,,via,06:45,
Saturdays,,18:40,,,via,19:00,
Saturdays,,17:50,,via,via,18:20,
Saturdays,,15:30,,via,,16:00,
Saturdays,,13:40,,via,via,14:15,
Saturdays,,10:50,,via,,11:20,
Saturdays,,09:20,,via,via,09:50,
Saturdays,,08:20,,via,via,08:50,
Saturdays,,07:20,,via,via,07:50,
Saturdays,,12:45,,via,via,13:15,
