day_type,MURDOCH VALLEY,FISH HOEK,SITE 5 CROSSRDS,SUN VALLEY,NOORDHOEK,OCEAN VIEW,KOMMETJIE,TOP STONES FACTORY,SEA FORTH SCH
Fridays,via,15:00,,,,via,,,14:15
MondaysToFridays,,06:35,,via,07:00,,,,
MondaysToFridays,,17:45,,via,18:10,,,,
MondaysToFridays,,,,,,,16:30,17:00,
MondaysToFridays,,,,,16:10,16:40,,,
MondaysToFridays,,16:00,,via,16:25,,,,
MondaysToFridays,,15:45,,via,16:10,,,,
MondaysToFridays,17:25,,,,,,,17:00,
MondaysToFridays,,11:45,,via,,12:15,,,
MondaysToFridays,,08:55,,via,via,,09:40,,
MondaysToFridays,,07:25,07:45,,08:30,,,,
MondaysToFridays,,06:40,,via,,via,07:05,,
MondaysToFridays,,15:15,,via,,via,16:30,,
Mondays_to_Thursdays,via,15:10,,,,via,,,14:15
Mondays_to_Thursdays,,,,,,18:10,,,
PublicHolidays,,09:15,,via,,09:35,,,
PublicHolidays,,10:15,,via,,10:35,,,
PublicHolidays,,11:45,,via,,12:05,,,
PublicHolidays,,12:50,,via,,13:25,,,
PublicHolidays,,16:40,,via,,17:00,,,
PublicHolidays,,15:20,,via,,15:45,,,
PublicHolidays,,16:20,,via,,16:45,,,
PublicHolidays,,17:20,,via,,17:45,,,
PublicHolidays,,08:00,,via,,08:25,,,
PublicHolidays,,14:20,,via,,14:45,,,
PublicHolidays,,07:05,,via,,07:25,,,
PublicHolidays,,19:40,,via,,20:00,,,
PublicHolidays,,18:20,,via,,18:45,,,
Saturdays,,17:15,,via,,17:50,,,
Saturdays,,16:00,,via,,16:30,,,
Saturdays,,15:00,,via,,15:30,,,
Saturdays,,14:15,,via,,14:40,,,
Saturdays,,13:15,,via,,13:40,,,
Saturdays,,12:10,,via,,12:45,,,
Saturdays,,10:20,,via,,10:50,,,
Saturdays,,08:50,,via,,09:20,,,
Saturdays,,07:50,,via,,08:20,,,
Saturdays,,18:20,,via,,18:40,,,
Saturdays,,12:30,,via,,13:00,,,
