day_type,FIRGROVE,MACASSAR,KLEINVLEI,TYGERBERG HOSP,KARL BREMER HOSP
Fridays,17:30,via,,,19:05
MondaysToFridays,05:00,05:10,05:40,06:30,07:05
MondaysToFridays,05:05,05:15,05:45,06:35,07:05
MondaysToFridays,05:50,05:55,06:25,07:50,
Mondays_to_Thursdays,17:30,17:45,18:10,18:45,19:05
PublicHolidays,05:40,06:00,06:25,06:45,06:55
PublicHolidays,17:30,17:50,18:15,18:50,19:00
Saturdays,05:30,05:45,06:10,06:45,07:05
Saturdays,06:30,06:45,07:05,07:40,
Saturdays,17:30,17:45,18:10,18:45,19:05
Sundays,05:30,05:45,06:10,06:45,06:45
Sundays,17:35,17:50,18:15,18:50,19:00
