day_type,KARL BREMER HOSP,TYGERBERG STN,TYGERBERG HOSP,PEPCOR FACTORY,KLEINVLEI,MACASSAR,FIRGROVE,SOMERSET WEST
Fridays,,,,15:30,,via,16:45,
Fridays,,15:45,15:55,,,via,,17:30
MondaysToFridays,07:05,,07:15,,07:45,08:10,08:20,
MondaysToFridays,07:05,,07:15,,via,via,via,08:55
MondaysToFridays,13:05,,13:15,,13:45,14:10,14:30,
MondaysToFridays,16:00,,16:15,,16:45,17:10,17:50,
MondaysToFridays,19:05,,19:15,,,via,20:15,20:25
Mondays_to_Thursdays,,15:40,15:55,,,via,,17:35
Mondays_to_Thursdays,,,,17:10,,via,18:20,
PublicHolidays,07:05,,07:15,,via,via,via,08:40
PublicHolidays,19:05,,19:15,,19:45,20:10,20:30,
Saturdays,07:05,,07:15,,07:45,08:10,08:20,
Saturdays,19:05,,19:15,,19:45,20:10,20:30,
Sundays,07:15,,07:25,,07:55,08:20,08:35,
Sundays,19:05,,19:15,,19:45,20:10,20:30,
