day_type,NYANGA TERM,PHILIPPI EAST SAP,SITE C,VILLAGE 3,J BLOCK,HARARE,MAKHAZA,EINDHOVEN,WESBANK,MFULENI,FIRGROVE,HELDERBERG VILLAGE,SOMERSET MALL,SOMERSET WEST,STRAND,LWANDLE
Fridays,,,,13:30,via,,,,,,,,14:15,14:30,,
Fridays,10:30,,10:40,10:45,,10:55,11:00,,,,,,11:20,11:30,,
Fridays,07:30,,07:45,,,,,,,,,,08:30,08:55,,
Fridays,,,07:35,07:45,via,,,,,,,,via,08:05,09:10,
MondaysToFridays,07:15,,07:30,,,,,,,,,,08:15,08:35,,
MondaysToFridays,,,,,,,07:00,,,,,,08:00,07:20,,
MondaysToFridays,07:00,,,via,,,,,,,,,,08:40,,
MondaysToFridays,,,,,,06:50,,,,,,,08:00,,,
MondaysToFridays,06:30,,,via,,,,,,,,,,08:05,,
MondaysToFridays,05:10,,,,,,,via,via,via,,via,,via,07:30,
MondaysToFridays,06:20,,06:35,06:45,via,,,,,,,,via,07:40,via,08:10
MondaysToFridays,,05:45,,,,,,,,,,07:00,,,,
MondaysToFridays,,,,via,,05:40,,,,,,,,via,,07:30
MondaysToFridays,05:40,,05:55,via,,,,,,,,,via,via,,07:00
MondaysToFridays,05:40,,05:50,05:55,via,,,,,,,,,07:10,,
MondaysToFridays,05:30,,,,,,,via,via,via,,via,,via,07:45,
MondaysToFridays,05:30,,05:45,via,,,,,,,,,via,via,,07:00
MondaysToFridays,,,06:30,,,via,via,,,,,,,07:10,07:20,07:40
Mondays_to_Thursdays,,,07:35,07:45,via,,,,,,,,via,08:05,09:10,
Mondays_to_Thursdays,07:30,,07:45,,,,,,,,,,08:30,08:50,,
Mondays_to_Thursdays,10:30,,10:40,10:45,,10:55,11:00,,,,,,11:20,11:30,,
Mondays_to_Thursdays,,,14:15,14:35,via,,,,,,,,,15:00,,15:15
PublicHolidays,06:30,,via,via,,,,,,,,,07:15,07:50,,
PublicHolidays,,,06:05,,,via,via,,,,,,,,,07:20
PublicHolidays,,,,via,,06:00,,,,,,,,via,,07:05
PublicHolidays,07:30,,07:40,07:45,via,,,,,,,,,08:50,,
PublicHolidays,,,,,,,07:00,,,,via,,07:40,08:10,,
Saturdays,,,06:50,via,,,,,,via,,,,via,08:00,
Saturdays,,,,,,06:50,,,,,,,via,08:00,,
Saturdays,07:00,,via,via,,,,,,,,,07:45,08:00,,
Saturdays,,,,,,,07:00,,,,via,,07:40,08:10,,
Saturdays,08:00,,via,via,,,,,,,,,08:45,08:45,,
Saturdays,06:00,,via,via,,,,,,,,,06:45,07:20,,
Saturdays,05:45,,,,,,,via,via,via,,via,,via,07:45,
Saturdays,,,06:10,,,via,via,,,,,,,via,,07:10
Saturdays,06:30,,via,via,,,,,,,,,07:15,08:30,,
Sundays,06:00,,via,via,,,,,,,,,06:45,07:00,,
Sundays,,,06:05,,,via,via,,,,,,,via,,07:00
Sundays,06:45,,06:55,via,via,,,,,,,,07:55,08:00,,
Sundays,07:00,,07:10,via,via,,,,,,,,08:10,08:15,,
Sundays,08:00,,08:10,via,via,,,,,,,,09:10,09:30,,
