day_type,LWANDLE,STRAND,SOMERSET WEST,SOMERSET MALL,HELDERBERG VILLAGE,FIRGROVE,MFULENI,WESBANK,EINDHOVEN,KHAYELITSHA,MAKHAZA,HARARE,VILLAGE 3,SITE C,CROSS RDS,NYANGA TERM
Fridays,,,13:00,,13:15,via,,,,via,,,,via,,14:15
Fridays,,,17:30,,,,,,,,,,via,18:30,,
Fridays,,,17:30,17:45,,,,,,,,,,via,via,18:35
Fridays,,,17:35,17:45,,,,,,,,,,,,18:20
Fridays,,,18:10,18:20,,,,,,,via,18:55,,,,
Fridays,16:40,16:50,17:00,,,,,,,,17:30,17:40,17:50,17:55,,18:20
Fridays,,,16:30,,,,,,,,,,via,17:10,,
Fridays,,,,,16:15,,,,,,via,via,,17:10,,
Fridays,,,17:30,17:40,,,,,,,via,18:30,,,,
Fridays,,,15:30,,,,,,,via,,,via,via,,17:00
Fridays,,,18:10,18:20,,,,,,via,,,via,via,,19:10
Fridays,,,,,16:00,,via,via,via,,,,,,,17:45
Fridays,,,13:30,,,,,,,via,,,via,via,,14:50
Fridays,,,15:10,,,via,,,,via,,,,16:10,,
Fridays,,14:05,14:15,,,,,,,,,,,15:30,,
Fridays,,,19:00,19:15,,,,,,,,,,via,via,20:10
Fridays,,,13:15,,,,,,,via,,,via,via,,14:35
MondaysToFridays,,,15:45,15:55,,,,,,,via,17:30,,,,
MondaysToFridays,,,16:05,,,,,,,via,,,via,via,,17:30
MondaysToFridays,,,16:20,,,,,,,via,,,via,via,,17:30
MondaysToFridays,,14:00,14:10,,,,,,,,,,,15:40,,
MondaysToFridays,,,15:20,,,,,,,via,,,via,via,,16:45
MondaysToFridays,,,16:40,,,,,,,,via,,17:20,17:30,via,18:20
MondaysToFridays,,,19:00,19:10,,,,,,,via,19:30,,,,
Mondays_to_Thursdays,,,18:10,18:20,,,,,,via,,,via,via,,19:30
Mondays_to_Thursdays,,,18:10,18:20,,,,,,,via,18:55,,,,
Mondays_to_Thursdays,,,19:00,19:15,,,,,,,,,,via,via,19:40
Mondays_to_Thursdays,,,17:35,17:45,,,,,,,,,,,,18:20
Mondays_to_Thursdays,,,17:30,17:40,,,,,,,via,18:30,,,,
Mondays_to_Thursdays,,,17:30,,,,,,,,,,via,18:40,,
Mondays_to_Thursdays,,,15:10,,,,,,,,via,via,via,16:10,,
Mondays_to_Thursdays,17:30,,,,,,18:50,,,,via,via,,18:30,,
Mondays_to_Thursdays,,,,,17:10,,,,,,,via,,18:10,,
Mondays_to_Thursdays,,,17:05,,,,,,,,,18:05,,,,
Mondays_to_Thursdays,,,,,17:05,,via,via,via,,,,,,,18:55
Mondays_to_Thursdays,,,16:50,17:00,,,,,,,,,via,via,via,18:10
Mondays_to_Thursdays,16:40,16:50,17:00,,,,,,,,17:30,17:40,17:50,17:55,,18:30
Mondays_to_Thursdays,,,15:30,,,,,,,via,,,via,via,,18:00
Mondays_to_Thursdays,,,17:30,17:45,,,,,,,,,,via,via,18:35
Mondays_to_Thursdays,,14:05,14:15,,,,,,,,,,,15:00,,
Mondays_to_Thursdays,,,13:30,,13:45,via,,,,via,,,,via,,14:45
Mondays_to_Thursdays,,,13:00,,13:15,via,,,,via,,,,via,,15:00
PublicHolidays,,,,15:30,,,,,,,,,,via,,16:50
PublicHolidays,17:30,,,,,,,,,,via,via,,18:35,,
PublicHolidays,,,17:00,17:15,,,,,,,via,via,18:20,,,
PublicHolidays,,,16:00,16:15,,,,,,,,,via,via,via,16:50
PublicHolidays,,,13:15,13:25,,,,,,,,,via,via,via,14:50
PublicHolidays,,,17:35,17:45,,,,,,,,,,,,18:20
Saturdays,,,18:00,18:10,,,,,,via,,,via,via,,19:00
Saturdays,,,19:05,19:15,,,,,,,via,20:25,,,,
Saturdays,,,19:15,19:25,,,,,,,,,via,via,via,19:55
Saturdays,,,17:00,17:10,,,,,,,,,via,via,via,18:15
Saturdays,,,15:00,15:10,,,,,,,,,via,via,via,16:15
Saturdays,,,13:15,13:25,,,,,,,,,via,via,via,14:20
Saturdays,,,13:00,13:15,,via,,,,,14:10,,,,,
Saturdays,,,17:10,17:20,,,,,,,via,18:30,,,,
Saturdays,,,16:00,16:10,,,,,,,,,via,via,via,17:30
Sundays,,,14:20,14:30,,,,,,,,,via,via,via,16:00
Sundays,,,16:15,16:25,,,,,,,,,via,via,via,17:15
Sundays,,,16:35,16:45,,,,,,via,,,via,via,,17:45
Sundays,,,17:00,17:10,,,,,,via,,,via,via,,18:30
Sundays,,,17:10,17:20,,,,,,via,,,via,via,,18:40
