day_type,C/O NY 78 & NY 3,NYANGA TERM,EMMS DRV,GUGULETU,CLAREMONT,WYNDOVER,RONDEBOSCH
Fridays,,10:20,,,11:30,,
Fridays,,12:30,,,13:30,,
Fridays,,09:00,,,09:40,,
Fridays,,08:10,,via,08:40,via,09:30
Fridays,,06:40,,,08:00,,
Fridays,,08:00,,via,08:30,via,09:00
Fridays,,07:00,,,08:20,,
MondaysToFridays,,13:30,,,14:55,,
MondaysToFridays,,08:30,,,09:20,,
MondaysToFridays,,07:50,via,,,,08:45
MondaysToFridays,05:25,05:40,via,,05:55,via,06:20
MondaysToFridays,,07:15,,via,,,08:40
MondaysToFridays,,05:40,,,07:20,,
MondaysToFridays,,06:00,via,,06:50,,07:20
MondaysToFridays,06:40,06:55,via,,07:10,via,08:30
MondaysToFridays,,06:10,,,07:00,,
MondaysToFridays,,07:30,,,09:00,,
Mondays_to_Thursdays,,14:30,,,16:00,,
Mondays_to_Thursdays,,12:30,,,13:35,,
Mondays_to_Thursdays,,10:20,,,11:10,,
Mondays_to_Thursdays,,09:40,,,10:40,,
Mondays_to_Thursdays,,06:40,,,08:20,,
Mondays_to_Thursdays,,08:10,,via,08:40,via,09:15
Mondays_to_Thursdays,,07:00,,,08:45,,
Mondays_to_Thursdays,,08:00,,via,08:30,via,09:00
Mondays_to_Thursdays,,09:00,,,09:40,,
PublicHolidays,,08:10,,via,09:10,,
PublicHolidays,,06:40,,via,07:50,,
PublicHolidays,,06:00,,via,07:10,,
PublicHolidays,,17:50,,via,18:30,,
PublicHolidays,,15:20,,via,16:40,,
Saturdays,,08:25,,,09:40,,
Saturdays,,08:40,,,09:45,,
Saturdays,,09:10,,,09:50,,
Saturdays,,10:10,,,10:50,,
Saturdays,,11:10,,,11:50,,
Saturdays,,07:40,,,08:20,,
Saturdays,,05:40,,,06:20,,
Saturdays,,08:10,,,09:30,,
Saturdays,,07:10,,,08:00,,
Sundays,,06:00,,,06:30,,
Sundays,,06:40,,,07:20,,
Sundays,,08:00,,,09:00,,
Sundays,,16:20,,,17:15,,
