day_type,RONDEBOSCH,CAMPGROUND RD,WYNDOVER,CLAREMONT,GUGULETU,NY 3,NY 108,NYANGA TERM,BOYSTOWN,CROSS RDS
Fridays,17:10,via,via,17:30,,,,,18:10,
Fridays,,,,16:40,,via,via,17:40,,
Fridays,,,,16:10,,via,via,16:50,,
Fridays,,,,13:40,,via,via,14:55,,
Fridays,,,,14:10,,via,via,15:10,,
Fridays,,,,15:20,,via,via,16:00,,
MondaysToFridays,,,,07:00,,via,via,08:10,,
MondaysToFridays,15:40,,,16:00,,,,,,16:50
MondaysToFridays,,,,15:30,,via,via,16:10,,
MondaysToFridays,,,,15:00,via,via,,15:50,,
MondaysToFridays,,,,17:25,via,via,,18:10,,
MondaysToFridays,,,,14:40,,via,via,15:50,,
MondaysToFridays,14:30,,via,15:00,,,,,,
MondaysToFridays,,,,14:25,,via,via,15:30,,
MondaysToFridays,08:40,,via,09:00,,,,,,
MondaysToFridays,,,,13:10,,via,via,14:00,,
MondaysToFridays,,,,12:40,,via,via,13:40,,
Mondays_to_Thursdays,17:10,via,via,17:30,,,,,18:00,
Mondays_to_Thursdays,,,,17:00,,via,via,17:45,,
Mondays_to_Thursdays,,,,14:50,via,via,,15:55,,
Mondays_to_Thursdays,,,,16:15,,via,via,17:30,,
Mondays_to_Thursdays,,,,13:40,,via,via,14:45,,
Mondays_to_Thursdays,,,,14:10,,via,via,15:20,,
Mondays_to_Thursdays,,,,15:20,,via,via,16:15,,
Mondays_to_Thursdays,,,,16:40,,via,via,17:20,,
PublicHolidays,,,,16:40,via,,via,17:20,,
PublicHolidays,,,,14:50,via,,via,15:20,,
PublicHolidays,,,,09:10,via,,via,10:00,,
PublicHolidays,,,,07:10,via,,via,08:10,,
PublicHolidays,,,,18:30,via,,via,19:20,,
PublicHolidays,,,,17:20,via,,via,18:15,,
Saturdays,,,,08:20,,via,via,09:10,,
Saturdays,,,,06:20,,via,via,07:10,,
Saturdays,,,,06:50,,via,via,07:40,,
Saturdays,,,,07:50,,via,via,08:40,,
Saturdays,,,,09:50,,via,via,10:30,,
Saturdays,,,,11:50,,via,via,12:40,,
Saturdays,,,,16:20,,via,via,17:10,,
Saturdays,,,,15:50,,via,via,16:40,,
Saturdays,,,,14:50,,via,via,15:40,,
Saturdays,,,,13:50,,via,via,15:30,,
Saturdays,,,,12:50,,via,via,13:40,,
Saturdays,,,,17:20,,,via,18:00,,
Sundays,,,,06:30,,via,via,08:10,,
Sundays,,,,07:20,,via,via,08:00,,
Sundays,,,,15:20,,,via,16:00,,
Sundays,,,,16:30,,via,via,17:10,,
Sundays,,,,17:20,,via,via,18:00,,
Sundays,,,,18:30,,,via,19:00,,
Sundays,,,,13:50,,via,via,15:00,,
