day_type,NYANGA TERM,CNR. NY 5/NY 78,GOVAN MBEKI RD,WYNBERG
Fridays,06:30,,,07:20
MondaysToFridays,05:25,,,06:00
MondaysToFridays,06:00,,,08:00
MondaysToFridays,06:45,06:40,via,07:40
MondaysToFridays,07:25,,,08:15
MondaysToFridays,08:10,,,08:50
MondaysToFridays,08:25,,,09:30
MondaysToFridays,09:00,,,09:35
Mondays_to_Thursdays,06:30,,,07:20
PublicHolidays,09:05,,,10:00
PublicHolidays,08:00,,,08:30
PublicHolidays,07:00,,,07:30
PublicHolidays,06:00,,,06:30
PublicHolidays,17:00,,,17:30
PublicHolidays,16:00,,,16:30
Saturdays,11:30,,,12:10
Saturdays,09:30,,,10:10
Saturdays,07:00,,,07:40
Saturdays,06:30,,,07:10
Saturdays,10:30,,,11:40
Saturdays,08:30,,,09:10
Sundays,06:00,,,06:40
Sundays,09:00,,,09:40
Sundays,11:30,,,12:40
