day_type,WYNBERG,NY 3,NYANGA TERM
Fridays,12:10,via,13:10
Fridays,18:10,,19:00
Fridays,17:30,,18:10
Fridays,15:45,via,16:30
Fridays,15:30,via,16:40
Fridays,15:00,via,16:25
Fridays,14:30,,15:30
Fridays,16:20,,17:00
Fridays,13:30,via,14:30
Fridays,12:30,via,13:35
Fridays,14:15,via,15:30
Fridays,13:10,via,14:00
Fridays,13:00,,14:00
MondaysToFridays,17:00,via,18:00
Mondays_to_Thursdays,14:15,via,15:10
Mondays_to_Thursdays,18:20,via,19:40
Mondays_to_Thursdays,17:30,,18:15
Mondays_to_Thursdays,17:55,via,18:40
Mondays_to_Thursdays,16:15,via,17:20
Mondays_to_Thursdays,13:10,,13:50
Mondays_to_Thursdays,15:45,via,16:45
Mondays_to_Thursdays,15:10,,16:00
Mondays_to_Thursdays,15:10,via,16:00
Mondays_to_Thursdays,15:00,via,15:40
PublicHolidays,15:30,,16:00
PublicHolidays,10:00,,10:45
PublicHolidays,08:30,,09:05
PublicHolidays,07:30,,08:00
PublicHolidays,17:30,,18:00
PublicHolidays,16:30,,17:00
PublicHolidays,06:30,,07:00
Saturdays,13:10,via,13:50
Saturdays,11:40,via,12:20
Saturdays,14:40,via,15:20
Sundays,09:40,via,10:30
