day_type,PHILIPPI,MERRYDALE AVE,TOWN CENTRE,CLAREMONT,MAKHAZA
MondaysToFridays,04:40,,04:50,,
MondaysToFridays,,,,06:30,05:00
MondaysToFridays,05:00,,05:20,,
MondaysToFridays,05:05,,05:40,,
MondaysToFridays,05:05,via,05:30,,
MondaysToFridays,05:05,,05:15,,
MondaysToFridays,05:15,via,05:50,,
MondaysToFridays,05:15,,05:40,,
MondaysToFridays,05:25,via,05:45,,
MondaysToFridays,05:30,,05:45,,
MondaysToFridays,05:30,via,05:40,,
MondaysToFridays,05:50,via,06:25,,
MondaysToFridays,05:55,,06:20,,
MondaysToFridays,06:05,,06:30,,
MondaysToFridays,06:10,via,06:35,,
Saturdays,05:20,,05:40,,
Saturdays,05:55,,06:15,,
Saturdays,06:40,,07:00,,
Saturdays,08:40,,09:00,,
Saturdays,11:40,,12:00,,
Saturdays,12:40,,13:00,,
Saturdays,14:10,,14:30,,
Sundays,05:20,,05:40,,
Sundays,05:55,,06:15,,
Sundays,06:25,,06:45,,
Sundays,12:40,,13:00,,
Sundays,14:30,,14:50,,
Sundays,15:50,,16:10,,
