day_type,MONWABISI,VILLAGE 3,HARARE,SITE C,ROUTE 2,DRIFTSANDS,SYMPHONY WAY,EINDHOVEN,R300 FREEWAY,NYANGA TERM,SACKS CIRCLE,BELLVILLE
Fridays,,14:30,,15:05,via,,,,,15:15,,16:30
Fridays,,15:30,15:45,16:05,,,,,,16:15,via,17:00
Fridays,,14:00,,14:35,via,,,,,14:45,,15:00
Fridays,,,08:30,08:50,via,,,,,09:00,via,09:50
Fridays,,,16:00,16:20,via,,,,,16:30,,17:30
Fridays,,,08:00,08:25,via,,,,,,,08:50
Fridays,,,07:30,07:55,via,,,,,,via,09:10
Fridays,,,16:50,,via,,,,via,,,18:35
Fridays,,,07:00,07:25,via,,,,,,via,08:45
Fridays,,15:20,15:35,15:55,,,,,,16:05,via,17:20
Fridays,,,05:50,06:00,via,06:30,,,via,,,07:00
Fridays,,17:00,,17:35,via,,,,,17:45,,18:15
MondaysToFridays,,06:00,,06:10,,via,,,via,,,07:40
MondaysToFridays,06:00,,,,,,,,via,,,07:20
MondaysToFridays,,,15:00,15:25,via,,via,15:40,via,,,16:00
MondaysToFridays,,,,08:00,,,via,via,,,,08:45
MondaysToFridays,,,05:30,06:05,via,,,,,,via,07:20
MondaysToFridays,,,10:30,10:50,via,,,,,11:00,via,12:00
MondaysToFridays,,12:00,,12:35,via,,,,,12:45,,13:30
MondaysToFridays,,,05:15,05:30,via,05:45,,,via,,,07:00
MondaysToFridays,,,05:15,05:50,via,,,,,,via,07:00
Mondays_to_Thursdays,,,16:00,16:20,via,,,,,16:30,,17:40
Mondays_to_Thursdays,,15:30,15:45,16:05,,,,,,16:15,via,17:25
Mondays_to_Thursdays,,17:00,,17:35,via,,,,,17:45,,18:45
Mondays_to_Thursdays,,,16:50,,via,,,,via,,,18:00
Mondays_to_Thursdays,,,05:00,05:25,via,05:30,,,via,,,06:30
Mondays_to_Thursdays,,14:30,,15:05,via,,,,,15:15,,16:00
Mondays_to_Thursdays,,13:00,13:15,13:35,,,,,,13:45,via,14:30
Mondays_to_Thursdays,,,08:30,08:50,via,,,,,09:00,via,09:50
Mondays_to_Thursdays,,,08:00,08:25,via,,,,,,,09:30
Mondays_to_Thursdays,,,07:30,07:55,via,,,,,,via,09:20
Mondays_to_Thursdays,,,07:00,07:25,via,,,,,,via,09:00
Mondays_to_Thursdays,,,05:50,06:15,via,06:30,,,via,,,07:00
PublicHolidays,,,06:30,06:50,via,,,,,07:00,,07:30
PublicHolidays,,,07:30,07:50,via,,,,,08:00,,08:30
PublicHolidays,,,08:00,08:25,via,,,,,,,09:05
PublicHolidays,,,08:30,08:50,via,,,,,09:00,,09:30
PublicHolidays,,,09:30,09:50,via,,,,,10:00,,10:30
PublicHolidays,,,13:30,,via,,,,via,,,14:50
PublicHolidays,,,13:30,13:50,via,,,,,14:00,,14:45
PublicHolidays,,,06:20,06:45,via,,,,,,via,07:30
PublicHolidays,,,14:30,14:50,via,,,,,15:00,,15:30
PublicHolidays,,,15:30,15:50,via,,,,,16:00,via,16:30
PublicHolidays,,,11:30,11:50,via,,,,,12:00,,12:30
PublicHolidays,,,05:30,05:50,via,,,,,06:00,via,06:50
PublicHolidays,,20:15,20:30,20:50,,,,,,21:00,via,21:30
PublicHolidays,,,16:30,16:50,via,,,,,17:00,,17:30
Saturdays,,,12:30,12:50,via,,,,,13:00,,13:50
Saturdays,,,05:30,05:50,via,,,,,06:00,via,06:50
Saturdays,,,06:00,06:25,via,06:30,,,via,,,07:10
Saturdays,,,07:00,07:25,via,07:30,,,via,,,08:10
Saturdays,,,08:00,08:25,via,,,,,,,09:20
Saturdays,,,08:30,08:55,via,09:00,,,via,,,10:30
Saturdays,08:45,,,,,,,,via,,,09:45
Saturdays,,,09:00,09:20,via,,,,,09:30,,10:00
Saturdays,,,09:30,09:50,via,,,,,10:00,,10:50
Saturdays,,,10:00,10:20,via,,,,,10:30,,11:20
Saturdays,,,10:30,10:55,via,,,,,,,12:00
Saturdays,,,11:30,11:50,via,,,,,12:00,,12:55
Saturdays,,,12:00,12:20,via,,,,,12:30,,12:55
Saturdays,,,11:00,11:20,via,,,,,11:30,via,12:20
Saturdays,,,13:00,13:25,via,,,,,,,15:00
Saturdays,,,13:30,13:50,via,,,,,14:00,via,14:45
Saturdays,,,14:30,14:50,via,,,,,15:00,,15:50
Saturdays,,,15:20,,via,,,,via,,,16:40
Saturdays,,16:00,16:15,16:35,,,,,,16:45,via,17:30
Saturdays,,,16:00,16:20,via,,,,,16:30,via,17:30
Saturdays,,16:30,16:45,17:05,,,,,,17:15,via,17:50
Saturdays,,17:40,17:55,18:15,,,,,,18:25,via,19:00
Saturdays,,,18:45,19:05,via,,,,,19:15,via,20:00
Sundays,,,09:00,09:20,via,,,,,09:30,,10:30
Sundays,,05:40,,06:00,via,,,,,06:15,via,07:00
Sundays,,,05:50,06:10,via,,,,,06:20,via,06:45
Sundays,,,06:50,07:10,via,,,,,07:20,,08:00
Sundays,,,18:00,18:20,via,,,,,18:30,,19:20
Sundays,,,17:00,17:20,via,,,,,17:30,,18:20
Sundays,,,16:00,16:20,via,,,,,16:30,,17:30
Sundays,,,15:00,15:20,via,,,,,15:30,,16:00
Sundays,,,14:00,14:20,via,,,,,14:30,,15:20
Sundays,,,13:00,13:20,via,,,,,13:30,,14:30
Sundays,,,07:05,07:25,via,,,,,07:35,,08:25
Sundays,,,11:00,11:20,via,,,,,11:30,,12:20
Sundays,,,10:20,10:40,via,,,,,10:50,,11:40
Sundays,,,10:00,10:20,via,,,,,10:30,,11:20
Sundays,,,09:30,09:50,via,,,,,10:00,,10:45
Sundays,,,08:00,08:20,via,,,,,08:30,,09:20
