day_type,BELLVILLE,SACKS CIRCLE,NEW EISLEBEN RD,NYANGA TERM,DELFT,DRIFTSANDS,ROUTE 2,SITE C,HARARE,MAKHAYA,VILLAGE 3,MONWABISI
Fridays,12:30,via,via,,,,via,via,,,13:45,
Fridays,15:00,,,,,via,,,16:05,,,
Fridays,14:30,via,,,via,,,15:00,15:20,,15:40,
Fridays,14:00,,,,,via,,,15:30,,,
Fridays,15:00,via,via,,,,via,15:50,16:30,,,
Fridays,13:30,,,13:55,,,via,14:05,15:00,,,
Fridays,15:45,,,,,16:15,via,16:20,16:55,,,
Fridays,15:45,via,via,,,,via,16:35,17:15,,,
Fridays,13:00,via,,13:35,,,,13:45,13:55,,15:00,
Fridays,15:45,via,via,,,,via,via,,,17:35,
Fridays,16:10,,,,,,,,,,,17:30
Fridays,14:45,,,,,via,,,16:20,,,
Fridays,17:00,via,,17:35,,,via,17:45,18:15,,,
Fridays,11:00,,,11:25,,,via,11:35,,,12:30,
Fridays,17:00,,,,,17:30,via,17:35,19:00,,,
Fridays,17:15,,,,,via,,,18:45,,,
Fridays,08:00,,,08:25,,,via,08:35,,,08:50,
Fridays,18:15,,,,,,,,,,,19:20
Fridays,15:00,via,,,via,,,15:30,15:50,,16:00,
MondaysToFridays,16:30,via,,,via,,,17:00,17:50,,,
MondaysToFridays,17:00,,,,,via,,,18:10,,,
MondaysToFridays,18:00,via,,18:35,,,,18:45,18:55,,19:10,
MondaysToFridays,18:20,via,via,,,,via,19:10,19:40,,,
MondaysToFridays,07:00,via,,07:35,,,,07:45,07:55,,08:15,
MondaysToFridays,18:05,,,,,via,,,19:15,,,
MondaysToFridays,10:30,,,10:55,,,via,11:05,,,11:30,
MondaysToFridays,11:30,,,,,,,via,via,via,13:00,
MondaysToFridays,13:00,,,13:25,,,via,13:35,14:30,,,
MondaysToFridays,09:00,via,,09:35,,,,09:45,09:55,,10:15,
MondaysToFridays,10:00,,,10:25,,,via,10:35,,,11:15,
MondaysToFridays,07:00,,,,,,via,07:35,08:15,,,
MondaysToFridays,12:00,,,12:25,,,via,12:35,,,13:15,
Mondays_to_Thursdays,18:15,,,,,,,,,,,19:35
Mondays_to_Thursdays,17:50,,,,,via,,,19:00,,,
Mondays_to_Thursdays,17:30,,,,,via,,,18:10,,,
Mondays_to_Thursdays,16:45,,,,,via,,,17:50,,,
Mondays_to_Thursdays,17:00,via,,17:35,,,via,17:45,18:35,,,
Mondays_to_Thursdays,18:15,,,,,via,,,19:25,,,
Mondays_to_Thursdays,17:00,,,,,17:30,via,17:35,18:40,,,
Mondays_to_Thursdays,14:45,,,,,via,,,15:45,,,
Mondays_to_Thursdays,11:00,,,11:25,,,via,11:35,,,13:00,
Mondays_to_Thursdays,08:00,,,08:25,,,via,08:35,,,09:10,
Mondays_to_Thursdays,14:30,via,via,,,,via,15:20,15:50,,,
Mondays_to_Thursdays,16:10,,,,,,,,,,,17:30
Mondays_to_Thursdays,14:30,via,,,via,,,15:00,15:20,,16:00,
Mondays_to_Thursdays,14:00,,,,,via,,,15:15,,,
Mondays_to_Thursdays,16:15,,,,,via,,,18:00,,,
Mondays_to_Thursdays,15:00,,,,,via,,,16:00,,,
Mondays_to_Thursdays,15:00,via,,,via,,,15:30,15:50,,17:00,
Mondays_to_Thursdays,15:30,,,,,via,,,17:00,,,
Mondays_to_Thursdays,15:00,via,via,,,,via,15:50,16:30,,,
Mondays_to_Thursdays,15:45,via,via,,,,via,via,,,17:15,
Mondays_to_Thursdays,15:45,,,,,16:00,via,16:15,17:30,,,
Mondays_to_Thursdays,15:45,via,via,,,,via,16:35,17:15,,,
Mondays_to_Thursdays,13:00,via,,13:35,,,,13:45,13:55,,14:20,
Mondays_to_Thursdays,12:30,via,via,,,,via,via,,,14:05,
Mondays_to_Thursdays,13:30,,,13:55,,,via,14:05,14:35,,,
PublicHolidays,17:10,,,,,,,via,via,via,19:00,
PublicHolidays,16:30,via,,17:05,,,via,17:15,17:30,,,
PublicHolidays,15:30,,,15:55,,,via,16:05,16:30,,,
PublicHolidays,14:45,,,15:10,,,via,15:20,15:30,,,
PublicHolidays,12:30,,,12:55,,,via,13:05,13:30,,,
PublicHolidays,10:30,,,10:55,,,via,11:05,11:20,,,
PublicHolidays,09:30,,,09:55,,,via,10:05,10:30,,,
PublicHolidays,08:30,,,08:55,,,via,09:05,09:30,,,
PublicHolidays,07:30,,,07:55,,,via,08:05,08:30,,,
PublicHolidays,06:30,,,06:55,,,via,07:05,07:30,,,
PublicHolidays,21:30,via,,22:05,,,via,22:15,22:30,,,
PublicHolidays,17:30,,,17:55,,,via,18:05,18:30,,,
Saturdays,13:00,,,,,,via,13:40,14:30,,,
Saturdays,05:50,via,,06:25,,,,06:35,06:45,,07:20,
Saturdays,06:00,via,,06:35,,,,06:45,06:55,,07:20,
Saturdays,07:20,via,,07:55,,,via,08:05,08:40,,,
Saturdays,08:20,via,,08:55,,,via,09:05,09:40,,,
Saturdays,09:30,,,09:55,,,via,10:05,10:45,,,
Saturdays,10:00,,,,,,via,10:40,11:20,,,
Saturdays,10:00,,,10:25,,,via,10:35,11:30,,,
Saturdays,11:00,,,,,,via,11:40,12:20,,,
Saturdays,12:00,,,,,,via,12:40,13:15,,,
Saturdays,12:30,via,via,,,,via,13:20,14:00,,,
Saturdays,11:00,,,11:25,,,via,11:35,12:20,,,
Saturdays,13:30,,,13:55,,,via,14:05,14:50,,,
Saturdays,14:00,,,,,,via,14:40,15:20,,,
Saturdays,14:30,via,,15:05,,,via,15:15,16:15,,,
Saturdays,15:15,via,via,,,,via,16:05,16:35,,,
Saturdays,16:00,,,,,,via,16:40,17:20,,,
Saturdays,16:40,via,,17:15,,,,17:25,17:35,,18:00,
Saturdays,17:00,via,,17:35,,,via,17:45,18:45,,,
Saturdays,17:30,,,18:05,,,via,18:15,19:15,,,
Saturdays,17:30,via,,18:05,,,via,18:15,19:00,,,
Saturdays,18:30,,,,,,via,19:10,19:25,,,
Sundays,07:30,,,07:55,,,via,08:05,09:00,,,
Sundays,07:00,,,,,,,,,,,08:15
Sundays,17:30,,,17:55,,,via,18:05,18:50,,,
Sundays,15:30,,,15:55,,,via,16:05,16:45,,,
Sundays,14:40,,,15:05,,,via,15:15,15:40,,,
Sundays,13:30,,,13:55,,,via,14:05,14:40,,,
Sundays,12:30,,,12:55,,,via,13:05,13:50,,,
Sundays,11:30,,,11:55,,,via,12:05,13:15,,,
Sundays,06:30,,,06:55,,,via,07:05,07:50,,,
Sundays,10:30,,,,,,via,11:10,12:00,,,
Sundays,09:30,,,09:55,,,via,10:05,10:30,,,
Sundays,09:00,,,09:25,,,via,09:35,10:20,,,
Sundays,08:30,,,08:55,,,via,09:05,09:15,,,
Sundays,16:30,,,16:55,,,via,17:05,17:50,,,
Sundays,10:30,,,10:55,,,via,11:05,11:50,,,
