day_type,MAKHAZA,VILLAGE 3,SITE C,ROUTE 1,R300 FREEWAY,SYMPHONY WAY,EINDHOVEN,NYANGA TERM,SACKS CIRCLE,BELLVILLE
Fridays,05:00,05:25,05:30,via,,,,,via,06:30
Fridays,12:30,,12:50,via,,,,13:00,,13:50
Fridays,10:30,,10:50,via,,,,11:00,,11:40
Fridays,07:45,08:10,08:15,via,,,,,via,09:30
MondaysToFridays,15:30,,15:50,via,,,,16:00,,17:15
MondaysToFridays,,09:00,09:30,,,,,,,10:30
MondaysToFridays,07:30,07:55,08:00,via,,,,,via,09:10
MondaysToFridays,07:00,07:25,07:30,via,,via,,,,08:40
MondaysToFridays,,,08:00,,,via,via,,,08:45
MondaysToFridays,06:45,07:10,07:15,via,,via,,,,08:20
MondaysToFridays,06:50,07:15,07:20,via,,,,,via,08:45
MondaysToFridays,05:50,06:00,,via,via,,,,,07:20
MondaysToFridays,05:10,05:35,05:40,via,via,via,05:55,,,06:35
MondaysToFridays,05:30,05:55,,via,via,,,,,06:30
MondaysToFridays,05:20,05:45,05:50,via,,,,,via,07:00
Mondays_to_Thursdays,05:00,05:25,05:30,via,,,,,via,06:30
Mondays_to_Thursdays,12:30,,12:50,via,,,,13:00,,13:50
Mondays_to_Thursdays,07:45,08:10,08:15,via,,,,,via,09:10
Mondays_to_Thursdays,06:20,06:45,,via,via,,,,,07:40
PublicHolidays,17:00,,17:20,via,,,,17:30,,18:00
PublicHolidays,16:00,,16:20,via,,,,16:30,,17:00
PublicHolidays,15:00,,15:20,via,,,,15:30,,16:30
PublicHolidays,13:00,,13:20,via,,,,13:30,,16:00
PublicHolidays,11:00,,11:20,via,,,,11:30,,12:00
PublicHolidays,08:00,,08:20,via,,,,08:30,,09:00
PublicHolidays,06:00,06:25,06:30,via,,,,,via,07:10
PublicHolidays,20:00,20:25,,via,via,,,,,21:00
PublicHolidays,21:00,,21:20,via,,,,21:30,,21:55
Saturdays,11:00,,11:20,via,,,,11:30,,12:20
Saturdays,06:15,,06:35,via,,,,06:45,via,08:05
Saturdays,06:30,,06:50,via,,,,07:00,via,07:50
Saturdays,07:00,,07:20,via,,,,07:30,,08:30
Saturdays,08:00,,08:20,via,,,,08:30,via,09:20
Saturdays,08:30,,08:50,via,,,,09:00,,09:30
Saturdays,09:00,,09:20,via,,,,09:30,,10:05
Saturdays,09:30,,09:50,via,,,,10:00,,10:45
Saturdays,10:00,,10:20,via,,,,10:30,,11:20
Saturdays,10:30,,10:50,via,,,,11:00,,11:45
Saturdays,11:30,,11:50,via,,,,12:00,via,13:00
Saturdays,12:00,,12:20,via,,,,12:30,via,13:20
Saturdays,13:00,,13:20,via,,,,13:30,via,14:45
Saturdays,13:45,,14:05,via,,,,14:15,,14:50
Saturdays,14:30,,14:50,via,,,,15:00,,16:15
Saturdays,15:50,,16:10,via,,,,16:20,via,17:50
Sundays,10:30,,10:50,via,,,,11:00,,11:50
Sundays,06:00,,06:20,via,,,,06:30,,08:30
Sundays,17:30,,17:50,via,,,,18:00,,19:00
Sundays,16:30,,16:50,via,,,,17:00,via,17:50
Sundays,15:30,,15:50,via,,,,16:00,via,16:50
Sundays,14:30,,14:50,via,,,,15:00,via,15:50
Sundays,13:30,,13:50,via,,,,14:00,,14:50
Sundays,07:00,,07:20,via,,,,07:30,,08:15
Sundays,12:00,,12:20,via,,,,12:30,,14:00
Sundays,11:30,,11:50,via,,,,12:00,,12:50
Sundays,09:30,,09:50,via,,,,10:00,,10:50
Sundays,12:30,,12:50,via,,,,13:00,,13:50
