day_type,BELLVILLE,SACKS CIRCLE,NYANGA TERM,R300 FREEWAY,DRIFTSANDS,ROUTE 1,SITE C,VILLAGE 3,MAKHAZA,ENKANINI
Fridays,17:00,,,via,,,,,18:30,
Fridays,17:00,via,17:35,,,via,17:45,,18:40,
Fridays,17:00,via,,,,via,17:40,17:55,18:20,
Fridays,17:20,via,17:55,,,via,18:05,,18:30,
Fridays,16:45,,,via,,via,,17:30,18:00,
Fridays,17:40,,,via,,via,18:20,,18:40,
Fridays,16:30,,,via,,,,,18:30,
Fridays,17:05,,,via,,via,,17:50,18:10,
Fridays,17:05,,,via,,,,,17:55,18:20
Fridays,15:00,,,via,15:30,via,15:35,15:40,16:00,
Fridays,18:10,,,via,18:40,via,18:45,18:50,19:00,
Fridays,18:15,,,via,18:45,via,18:50,18:55,19:30,
Fridays,13:30,via,,,,via,14:10,14:25,14:45,
Fridays,16:00,,,via,,via,,16:45,17:30,
MondaysToFridays,16:00,,,via,,,,,17:15,
MondaysToFridays,14:15,,,via,,via,,15:00,15:15,
MondaysToFridays,14:00,,,via,,via,,14:45,15:00,
Mondays_to_Thursdays,18:10,,,via,,via,,18:55,19:15,
Mondays_to_Thursdays,17:40,,,via,,via,18:20,,18:55,
Mondays_to_Thursdays,17:20,via,17:55,,,via,18:05,,19:00,
Mondays_to_Thursdays,17:10,,,via,,via,,17:55,18:40,
Mondays_to_Thursdays,18:15,,,via,,,,,19:20,
Mondays_to_Thursdays,17:45,,,via,,,,,19:15,
Mondays_to_Thursdays,07:30,,,via,,via,,,09:00,
Mondays_to_Thursdays,14:30,,,via,,via,,15:15,15:45,
Mondays_to_Thursdays,17:00,,,via,,,,,18:10,
Mondays_to_Thursdays,17:00,via,,,,via,17:40,17:55,18:20,
Mondays_to_Thursdays,17:00,via,17:35,,,via,17:45,,18:40,
Mondays_to_Thursdays,16:50,,,via,,via,,17:35,17:55,
Mondays_to_Thursdays,16:45,,,via,,via,,17:30,18:00,
Mondays_to_Thursdays,16:30,,,via,,,,,17:40,
Mondays_to_Thursdays,16:00,,,via,,via,,16:45,17:30,
Mondays_to_Thursdays,16:00,via,,,,via,16:40,16:55,17:30,
Mondays_to_Thursdays,15:00,,,via,,via,,15:45,17:00,
Mondays_to_Thursdays,17:05,,,via,,,,,17:55,18:20
Mondays_to_Thursdays,13:30,via,,,,via,14:10,14:25,15:00,
PublicHolidays,09:00,,09:25,,,via,09:35,,10:00,
PublicHolidays,10:00,,10:25,,,via,10:35,,11:00,
PublicHolidays,12:00,,12:25,,,via,12:35,,13:00,
PublicHolidays,08:00,,08:25,,,via,08:35,,09:00,
PublicHolidays,16:00,via,16:35,,,via,16:45,,17:30,
PublicHolidays,17:00,,17:25,,,via,17:35,,18:00,
PublicHolidays,18:00,via,,,,via,18:40,18:55,19:00,
PublicHolidays,14:00,via,14:35,,,via,14:45,,15:25,
PublicHolidays,07:00,via,,,,via,07:40,07:55,08:00,
PublicHolidays,21:00,via,,,,via,21:40,21:55,22:00,
PublicHolidays,20:00,via,,,,via,20:40,20:55,21:00,
Saturdays,14:30,via,15:05,,,via,15:15,,15:45,
Saturdays,07:50,,08:15,,,via,08:25,,09:20,
Saturdays,09:00,via,09:35,,,via,09:45,,10:20,
Saturdays,09:30,,09:55,,,via,10:05,,10:50,
Saturdays,10:30,,10:55,,,via,11:05,,11:50,
Saturdays,11:00,,11:25,,,via,11:35,,12:20,
Saturdays,11:30,,11:55,,,via,12:05,,12:50,
Saturdays,12:00,via,,,,via,12:40,12:55,13:10,
Saturdays,13:00,,13:25,,,via,13:35,,14:15,
Saturdays,13:30,,13:55,,,via,14:05,,14:50,
Saturdays,08:20,via,08:55,,,via,09:05,,09:40,
Saturdays,15:30,via,16:05,,,via,16:15,,16:30,
Saturdays,17:00,via,17:35,,,via,17:45,,18:20,
Saturdays,17:00,via,,,,via,17:40,17:55,18:20,
Saturdays,18:00,,,via,18:30,via,18:35,18:40,19:00,
Sundays,13:00,via,,,,via,13:40,13:55,14:20,
Sundays,06:00,via,,,,via,06:40,06:55,07:20,
Sundays,07:00,via,,,,via,07:40,07:55,08:20,
Sundays,08:00,via,,,,via,08:40,08:55,09:30,
Sundays,09:00,via,,,,via,09:40,09:55,10:20,
Sundays,10:00,via,,,,via,10:40,10:55,11:20,
Sundays,19:00,via,19:35,,,via,19:45,,20:20,
Sundays,18:00,via,18:35,,,via,18:45,,19:20,
Sundays,17:00,via,,,,via,17:40,17:55,18:20,
Sundays,16:00,via,16:35,,,via,16:45,,17:20,
Sundays,11:00,via,,,,via,11:40,11:55,12:00,
Sundays,14:00,via,,,,via,14:40,14:55,15:20,
Sundays,12:00,via,,,,via,12:40,12:55,13:20,
Sundays,15:00,via,,,,via,15:40,15:55,16:45,
