day_type,CLAREMONT,KENILWORTH CENTRE,HANOVER PARK,ROCKLANDS,MERRYDALE AVE,BEACON VALLEY,TAFELSIG,TAFELSIG LOST CITY
Fridays,17:45,via,18:15,,,via,,18:40
Fridays,17:30,via,17:45,,,via,,19:00
MondaysToFridays,13:00,via,13:15,,,via,,15:00
MondaysToFridays,18:15,via,18:30,,,via,,19:15
MondaysToFridays,17:15,via,17:30,,,via,,18:30
MondaysToFridays,17:00,via,17:15,,,via,,18:00
MondaysToFridays,16:45,via,17:05,,,via,,18:00
MondaysToFridays,19:15,via,19:30,,,via,,20:50
MondaysToFridays,16:15,via,16:30,,,via,,18:05
MondaysToFridays,16:10,via,16:25,,,via,,18:00
MondaysToFridays,15:30,via,15:50,,,via,,16:40
MondaysToFridays,15:00,via,15:15,,,via,,16:30
MondaysToFridays,14:30,via,14:55,,,via,,15:45
MondaysToFridays,14:10,via,14:45,,,via,,15:20
MondaysToFridays,16:30,via,16:45,,,via,,17:45
Mondays_to_Thursdays,17:30,via,17:45,,,via,,19:00
Mondays_to_Thursdays,17:45,via,18:00,,,via,,19:00
PublicHolidays,16:30,via,via,,,via,,17:40
PublicHolidays,15:40,via,16:05,,,via,,16:20
PublicHolidays,14:30,via,14:55,,,via,,15:40
PublicHolidays,13:00,via,13:25,,,via,,14:20
PublicHolidays,12:00,via,12:25,,,via,,13:00
PublicHolidays,19:10,via,19:30,via,via,19:55,,via
PublicHolidays,17:10,via,17:35,,,via,,18:00
Saturdays,19:30,via,19:50,via,via,20:30,,via
Saturdays,17:30,via,17:45,,,via,,18:40
Saturdays,15:30,via,15:45,,,via,,17:00
Saturdays,14:15,via,14:30,,,via,,15:20
Saturdays,12:15,via,12:30,,,,via,13:30
Saturdays,18:15,via,18:30,,,via,,19:15
Saturdays,16:15,via,16:30,,,via,,17:30
Sundays,10:00,via,10:25,,,via,,11:10
Sundays,17:10,via,17:25,,,via,,18:30
Sundays,19:15,via,19:35,via,via,20:15,,via
