day_type,MAKHAZA,MAKHAYA,VILLAGE 3,HARARE,NY 3A,NYANGA TERM,LANGA,ST FRANCIS CENTRE
Fridays,,,15:05,,,15:30,16:30,
Fridays,,,06:30,06:45,,07:15,07:40,07:50
Fridays,,,14:35,,,15:20,15:35,
Fridays,06:30,,via,,via,via,08:00,
Fridays,,,14:00,,,14:45,15:45,
Fridays,,,,07:20,via,,08:30,
Fridays,,,13:05,,,13:50,14:30,
Fridays,07:20,,via,,via,via,09:00,
Fridays,,,12:35,,,13:20,13:35,
Fridays,,,09:05,,,09:45,10:15,
Fridays,,,08:25,,,09:10,09:35,
MondaysToFridays,,,15:35,,,16:20,17:00,
MondaysToFridays,,,12:05,,,12:50,13:30,
MondaysToFridays,,,05:40,,,06:25,07:20,
MondaysToFridays,,,08:05,,,08:50,09:05,
MondaysToFridays,,,08:00,,,08:45,09:10,
MondaysToFridays,07:00,,via,,via,via,08:30,
Mondays_to_Thursdays,,,08:25,,,09:10,09:35,
Mondays_to_Thursdays,,,,16:00,,16:35,18:00,
Mondays_to_Thursdays,,,06:30,06:45,,07:15,07:40,08:10
Mondays_to_Thursdays,,,15:15,,,16:00,16:30,
Mondays_to_Thursdays,06:30,,via,,via,via,08:30,
Mondays_to_Thursdays,,,14:30,,,15:15,16:30,
Mondays_to_Thursdays,,,15:05,,,15:50,16:30,
Mondays_to_Thursdays,,,13:05,,,13:50,14:40,
Mondays_to_Thursdays,07:20,,via,,via,via,08:40,
Mondays_to_Thursdays,,,12:35,,,13:20,14:00,
Mondays_to_Thursdays,,,,07:20,via,,08:30,
Mondays_to_Thursdays,08:00,,via,,via,via,09:30,
Mondays_to_Thursdays,,,14:05,,,14:50,15:30,
Mondays_to_Thursdays,,,09:05,,,09:45,10:15,
PublicHolidays,,,,10:30,,11:05,11:50,
PublicHolidays,,,,10:00,,10:35,11:00,
PublicHolidays,10:00,,10:20,,,10:40,11:00,
PublicHolidays,,,,09:30,,10:05,10:30,
PublicHolidays,,,,08:30,,09:05,09:30,
PublicHolidays,,,,08:00,,08:35,09:00,
PublicHolidays,11:00,,11:20,,,11:40,12:00,
PublicHolidays,08:00,,08:20,,,08:40,09:00,
PublicHolidays,09:00,,09:20,,,09:40,10:00,
PublicHolidays,,,,11:30,,12:05,12:30,
PublicHolidays,,,,15:30,,16:05,16:30,
PublicHolidays,13:00,,13:20,,,13:40,14:00,
PublicHolidays,,,,13:10,,13:45,14:30,
PublicHolidays,,,,13:30,,14:05,14:30,
PublicHolidays,14:00,,14:20,,,14:40,15:00,
PublicHolidays,,,,14:30,,15:05,15:30,
PublicHolidays,15:00,,15:20,,,15:40,16:00,
PublicHolidays,16:00,,16:20,,,16:40,17:00,
PublicHolidays,,,,16:30,,17:05,17:30,
PublicHolidays,,,,07:30,,08:05,08:30,
PublicHolidays,12:00,,12:20,,,12:40,13:00,
PublicHolidays,,,,06:30,,07:05,07:30,
PublicHolidays,,,,18:30,,19:05,19:30,
PublicHolidays,,,18:20,,,19:05,20:00,
Saturdays,,,16:30,,,17:15,17:40,
Saturdays,,,15:00,,,15:45,16:15,
Saturdays,,,14:00,,,14:45,15:30,
Saturdays,,,13:30,,,14:15,14:40,
Saturdays,,,13:00,,,13:45,14:35,
Saturdays,,,12:30,,,13:15,13:30,
Saturdays,,,12:00,,,12:45,13:35,
Saturdays,,,11:30,,,12:15,13:15,
Saturdays,,,11:00,,,11:45,12:30,
Saturdays,,,10:15,,,11:00,11:50,
Saturdays,,,10:00,,,10:45,11:10,
Saturdays,,,09:30,,,10:15,10:40,
Saturdays,,,08:30,,,09:15,09:45,
Saturdays,,,08:00,,,08:45,09:10,
Saturdays,,,07:30,,,08:15,08:45,
Saturdays,,,06:30,,,07:15,07:40,
Saturdays,,,06:00,,,06:45,07:00,
Saturdays,10:10,,10:30,,,10:50,11:30,
Saturdays,,,16:00,,,16:45,17:00,
Saturdays,,,15:30,,,16:15,16:40,
Saturdays,,,18:00,,,18:45,19:10,
Saturdays,,,17:00,,,17:45,18:10,
Sundays,,,06:00,,,06:45,07:20,
Sundays,,,08:00,,,08:45,09:20,
Sundays,,,,08:00,,08:35,09:30,
Sundays,,,09:00,,,09:45,10:20,
Sundays,,via,09:15,via,,10:00,,
Sundays,,,10:00,,,10:45,11:00,
Sundays,,,,10:00,,10:35,11:20,
Sundays,10:10,,10:30,,,10:50,11:30,
Sundays,,via,10:15,via,,11:30,,
Sundays,,,,11:00,,11:35,12:10,
Sundays,,via,11:15,via,,12:30,,
Sundays,,,12:00,,,12:45,13:15,
Sundays,,,13:00,,,13:45,15:00,
Sundays,,via,13:15,via,,14:15,,
Sundays,,,14:00,,,14:45,15:00,
Sundays,,,15:00,,,15:45,16:20,
Sundays,,,16:00,,,16:45,17:00,
Sundays,,,17:00,,,17:45,18:20,
Sundays,,,11:00,,,11:45,12:20,
Sundays,,,07:00,,,07:45,08:20,
