day_type,ST FRANCIS CENTRE,LANGA,CNR. NY 108/NY 1,NYANGA TERM,HARARE,MAKHAYA,VILLAGE 3,MAKHAZA
Fridays,15:00,15:05,,15:30,16:00,,17:30,
Fridays,,05:40,,06:20,07:30,,,
Fridays,14:45,14:55,,15:45,,,,
Fridays,15:30,15:35,,16:00,16:30,,17:05,
Fridays,,07:20,,07:40,,,08:10,09:00
Fridays,,16:20,,16:45,,,18:00,
Fridays,,10:30,,10:55,,,11:50,
Fridays,14:50,via,,15:10,,,via,15:50
MondaysToFridays,,13:35,,14:00,,,14:35,
MondaysToFridays,,16:00,,16:25,,,17:20,
MondaysToFridays,,,07:10,07:25,via,,08:20,
MondaysToFridays,,12:30,,12:55,,,14:00,
MondaysToFridays,13:00,13:05,,13:30,14:00,,15:00,
Mondays_to_Thursdays,,16:20,,16:45,,,17:40,
Mondays_to_Thursdays,,15:45,,16:10,,,17:10,
Mondays_to_Thursdays,,17:00,,17:25,via,via,18:30,
Mondays_to_Thursdays,15:30,15:35,,16:00,16:30,,16:45,
Mondays_to_Thursdays,,05:40,,06:20,06:50,,,
Mondays_to_Thursdays,14:50,via,,15:10,,,via,16:15
Mondays_to_Thursdays,14:45,14:55,,15:45,,,,
Mondays_to_Thursdays,,14:35,,15:00,,,16:25,
Mondays_to_Thursdays,,14:05,,14:30,,,15:45,
Mondays_to_Thursdays,,09:10,,09:35,,,10:10,
Mondays_to_Thursdays,,07:20,,07:40,,,08:10,08:30
Mondays_to_Thursdays,15:00,15:05,,15:30,16:00,,17:00,
PublicHolidays,,09:00,,09:20,,,09:50,10:00
PublicHolidays,,09:30,,10:00,10:30,,,
PublicHolidays,,10:00,,10:20,,,10:50,11:00
PublicHolidays,,10:30,,11:00,11:30,,,
PublicHolidays,,11:00,,11:20,,,11:50,12:00
PublicHolidays,,11:00,,11:30,12:25,,,
PublicHolidays,,11:50,,12:20,13:10,,,
PublicHolidays,,12:00,,12:20,,,12:50,13:00
PublicHolidays,,14:00,,14:20,,,14:50,15:00
PublicHolidays,,13:00,,13:20,,,13:50,14:00
PublicHolidays,,14:30,,15:00,15:30,,,
PublicHolidays,,15:00,,15:20,,,15:50,16:00
PublicHolidays,,15:30,,16:00,16:30,,,
PublicHolidays,,16:00,,16:20,,,16:50,17:00
PublicHolidays,,16:30,,17:00,17:30,,,
PublicHolidays,,08:30,,09:00,09:30,,,
PublicHolidays,,12:30,,13:00,13:30,,,
PublicHolidays,,07:30,,08:00,08:30,,,
PublicHolidays,,20:00,,20:20,,,20:50,21:00
PublicHolidays,,17:30,,18:00,18:30,,,
Saturdays,,16:30,,16:55,,,17:40,
Saturdays,,16:00,,16:25,,,17:20,
Saturdays,,15:00,,15:25,,,16:15,
Saturdays,,14:00,,14:25,,,15:30,
Saturdays,,13:30,,13:55,,,14:40,
Saturdays,,13:00,,13:25,,,14:00,
Saturdays,,12:30,,12:55,,,13:40,
Saturdays,,12:00,,12:25,,,13:30,
Saturdays,,17:30,,17:55,,,18:40,
Saturdays,,10:30,,10:55,,,12:00,
Saturdays,,10:00,,10:25,,,11:10,
Saturdays,,09:30,,09:55,,,10:40,
Saturdays,,08:30,,08:55,,,09:40,
Saturdays,,07:40,,08:05,,,08:50,
Saturdays,,07:30,,07:55,,,08:40,
Saturdays,,07:00,,07:25,,,08:30,
Saturdays,,06:30,,06:55,,,07:40,
Saturdays,,11:00,,11:25,,,12:15,
Saturdays,,11:30,,11:55,,,13:00,
Sundays,,,,17:15,via,via,18:15,
Sundays,,17:20,,17:45,,,18:40,
Sundays,,07:20,,07:45,,,08:30,
Sundays,,15:20,,15:45,,,16:40,
Sundays,,08:20,,08:50,09:30,,,
Sundays,,08:20,,08:45,,,09:40,
Sundays,,09:00,,09:25,,,10:00,
Sundays,,09:20,,09:45,,,11:00,
Sundays,,,,09:30,via,via,10:15,
Sundays,,10:20,,10:50,11:30,,,
Sundays,,10:20,,10:45,,,11:30,
Sundays,,,,10:30,via,via,11:15,
Sundays,,,,15:30,via,via,16:15,
Sundays,,,,11:00,via,via,12:20,
Sundays,,11:20,,11:45,,,13:00,
Sundays,,11:30,,11:50,,,12:20,12:50
Sundays,,12:20,,12:45,,,13:50,
Sundays,,,,12:30,via,via,13:15,
Sundays,,12:40,,13:00,,,13:30,14:00
Sundays,,13:20,,13:45,,,14:30,
Sundays,,14:20,,14:50,15:20,,,
Sundays,,14:40,,15:00,,,15:30,16:00
Sundays,,11:20,,11:50,13:00,,,
Sundays,,16:20,,16:45,,,17:30,
