day_type,MONWABISI,MAKHAZA,HARARE,MAKHAYA,ENKANINI,VILLAGE 3,SITE C,DRIFTSANDS,N2 FREEWAY,JAKES GERWEL DRV,MONTAGUE GARDENS,KILLARNEY,MARINE DRV,BLOUBERGSTRAND,BLAAUWBERG RIDGE,MELKBOS,BLAAUWBERG
Fridays,,05:20,,,,via,,,via,via,via,07:15,,,,,
Fridays,,06:10,,,,,,,via,via,via,07:30,via,,08:30,,
Fridays,,,07:45,,,,08:05,,,,via,09:00,via,,09:50,,
Fridays,,,08:30,,,,via,,,via,via,09:50,via,,10:10,,
Fridays,,08:30,,,,08:50,09:00,via,via,via,via,10:10,,,10:25,,
Fridays,,07:30,,,,07:50,,,via,via,via,08:50,via,,09:00,,
Fridays,,,,,,06:00,06:15,,via,via,via,07:10,,,,,
Fridays,,07:10,,,,07:25,07:40,,,,via,08:30,via,,09:45,,
Fridays,,,06:00,,,,06:25,via,via,via,via,07:25,via,,08:00,,
Fridays,,,05:40,,,,,,via,via,via,,via,,,08:10,
Fridays,,,06:10,,,,06:35,,,,via,07:25,via,via,,08:45,
Fridays,,,05:40,,,,06:05,via,via,via,via,07:05,via,,07:50,,
Fridays,,,11:30,,,,via,,,via,via,12:50,via,,13:10,,
Fridays,,12:30,,,,12:50,via,,,,,14:10,via,,15:00,,
Fridays,,,12:30,,,,via,,,via,via,13:50,via,,14:20,,
Fridays,,,05:10,,,,05:35,via,via,via,via,06:35,via,,07:10,,
Fridays,,13:30,,,,13:45,14:00,,,,via,via,via,,15:35,,
Fridays,,,13:30,,,,13:50,,,,via,14:45,via,,15:30,,
Fridays,,,,,,06:10,06:25,,,,via,07:20,via,,07:45,,
Fridays,,,15:00,,,,15:20,,,,via,16:15,via,,16:50,,
Fridays,,,04:50,via,,,,,,,via,06:00,via,,07:00,,
Fridays,,16:00,,,,16:25,16:30,,via,via,via,17:20,via,,17:45,,
Fridays,,06:15,,,,06:35,via,via,via,via,via,08:15,,,,,
Fridays,,07:45,,,,08:05,,,via,via,via,09:05,via,,09:45,,
