day_type,BLOUBERGSTRAND,MELKBOS,BLAAUWBERG RIDGE,SUNSET BEACH,DOLPHIN BEACH,BLAAUWBERG,BAYSIDE CENTRE,KILLARNEY,KILLARNEY GARDENS,MONTAGUE GARDENS,CENTURY CITY,DRIFTSANDS,VILLAGE 3,MAKHAZA,ENKANINI,HARARE,MONWABISI
Fridays,,,16:45,,,,,17:00,,via,,via,,,,18:45,
Fridays,,,16:55,,,,,17:10,,via,,,via,18:30,,,
Fridays,,,16:45,,,,,17:05,,via,,,,,18:20,,
Fridays,,,15:00,,,,,15:20,,via,,,,17:00,,,
Fridays,,,,,,,,,,16:45,,via,,,,18:45,
Fridays,,,15:00,,,,,15:15,,via,,via,,,,17:00,
Fridays,,16:35,,via,via,,,,,via,,via,,,,18:25,
Fridays,,,15:05,,,,,15:20,,via,,,16:35,16:45,,,
Fridays,,,15:05,,,,,15:20,,via,,,,,,16:45,
Fridays,,,17:00,,,,,17:20,,via,,,via,via,18:40,,
Fridays,,,16:35,,,,,17:05,,via,,via,,,,17:50,
Fridays,,,,,,,,16:30,,via,,,,,,18:05,
Fridays,,,16:25,,,,,16:45,,via,,,via,17:40,,,
Fridays,,,16:20,,,,,16:35,,via,,,,,,18:00,
Fridays,,,16:15,,,,,16:35,,via,,,via,18:15,,,
Fridays,,,15:30,,,,,15:45,,via,,,,,,18:00,
Fridays,,,15:30,,via,,,15:45,,via,,,via,17:45,,,
Fridays,,,15:50,,,,,16:20,,via,,,via,18:00,,,
Fridays,,,15:50,,,,,16:05,,via,,via,,,,17:45,
Fridays,,,15:20,,,,,15:40,,via,,,via,17:30,,,
Fridays,,14:30,,via,via,,,,,via,,via,,,,16:00,
Fridays,,,14:45,,,,,15:00,,via,,,,,,16:45,
Fridays,,,17:25,,,,,17:45,,via,,,via,19:00,,,
Fridays,,,19:10,,,,via,19:40,,via,,,,21:10,,,
Fridays,,,11:30,,,,,11:50,,via,,,via,13:30,,,
Fridays,,,18:30,,,,,18:45,,via,,,20:00,20:10,,,
Fridays,,,,,,,,,,,,,,19:20,,,
Fridays,,,13:00,,,,,13:20,,via,,,via,14:30,,,
Fridays,,,17:40,,,,,17:55,,via,,via,,,,19:40,
Fridays,,,17:40,,,,,17:55,,via,,,,,,19:00,
Fridays,,,14:30,,,,,14:45,,via,,,,,,16:20,
Fridays,,,13:30,,,,,13:50,,via,,,via,15:30,,,
Fridays,,,17:15,via,via,,,,,,17:50,via,via,18:30,,,
Fridays,,,16:00,,,,,16:30,,via,,via,,,,18:10,
Fridays,,,,,,,,17:20,17:15,,,,,,,18:50,
Fridays,,,13:50,,,,,14:05,,via,,via,,,,15:45,
Fridays,,,,,,,,17:10,17:05,,,,,,,18:45,
Fridays,,,13:30,,,,,13:45,,via,,,via,15:30,,,
Fridays,,,14:20,,,,,14:35,,via,,via,,,,16:00,
MondaysToFridays,,,,,,,,16:05,,via,,via,,18:05,,,
MondaysToFridays,,,,,,,,,,17:00,,,,,,18:30,
MondaysToFridays,,,16:10,,,,,via,,via,,,,,,,18:10
MondaysToFridays,,,18:40,,,,,18:55,,via,,,,,,20:20,
MondaysToFridays,,,16:15,,,,,16:35,,via,,,,,18:15,,
MondaysToFridays,,,17:05,,,,,17:25,,via,,,via,18:40,,,
MondaysToFridays,,,,,,,,,,,,,,,,19:30,
MondaysToFridays,,,,,,,,17:10,,17:30,,,,,18:15,,
MondaysToFridays,,,16:30,,,,,16:45,,via,,,,,,18:20,
MondaysToFridays,,,16:40,,,,,17:00,,via,,,via,18:45,,,
MondaysToFridays,,,16:35,,,,,16:55,,via,,,via,18:40,,,
MondaysToFridays,,,16:05,,,,,16:20,,via,,via,,,,18:30,
MondaysToFridays,,,17:00,,,,,17:30,,via,,via,,,,19:05,
MondaysToFridays,,,06:30,,,,via,07:00,,via,,,,09:00,,,
MondaysToFridays,,16:00,,via,,,,,,via,,,,18:20,,,
MondaysToFridays,,,14:00,,,,,14:20,,via,,,via,15:45,,,
MondaysToFridays,,,14:55,,,,,15:10,,via,,,,,,17:00,
MondaysToFridays,,,13:00,,,,,13:15,,via,,via,,,,14:15,
MondaysToFridays,,14:55,,via,via,,,,,via,,via,,,,17:05,
MondaysToFridays,,15:00,,via,,,,,,via,,,,17:20,,,
MondaysToFridays,,,14:00,,,,,14:15,,via,,,,,,16:00,
MondaysToFridays,,,15:25,,,,,15:45,,via,,,,17:15,,,
MondaysToFridays,,,12:00,,,,,12:15,,via,,,,,,14:00,
MondaysToFridays,,,,,,,,08:00,,via,,,09:20,,,,
MondaysToFridays,,,14:30,,,,,14:50,,via,,,via,16:30,,,
MondaysToFridays,,,07:15,,,,,07:35,,via,,,,08:50,,,
MondaysToFridays,,,12:15,,,,,12:35,,via,,,,13:45,,,
Mondays_to_Thursdays,,,13:50,,,,,14:05,,via,,via,,,,16:00,
Mondays_to_Thursdays,,,,,,,,17:10,17:05,,,,,,,18:45,
Mondays_to_Thursdays,,,,,,,,17:20,17:15,,,,,,,18:50,
Mondays_to_Thursdays,,,,,,,,17:15,,via,,via,via,19:00,,,
Mondays_to_Thursdays,,,17:40,,,,,17:55,,via,,,,,,19:20,
Mondays_to_Thursdays,,,13:30,,,,,13:45,,via,,,via,15:20,,,
Mondays_to_Thursdays,,,13:30,,,,,13:50,,via,,,via,16:00,,,
Mondays_to_Thursdays,,,13:00,,,,,13:20,,via,,,via,14:45,,,
Mondays_to_Thursdays,,,17:40,,,,,17:55,,via,,via,,,,19:40,
Mondays_to_Thursdays,,,,,,,,18:05,,via,,,,,,19:30,
Mondays_to_Thursdays,,,16:00,,,,,16:30,,via,,via,,,,18:10,
Mondays_to_Thursdays,,,,,,,,,,,,,,19:20,,,
Mondays_to_Thursdays,,,11:30,,,,,11:50,,via,,,,13:30,,,
Mondays_to_Thursdays,,,19:10,,,,via,19:40,,via,,,,21:00,,,
Mondays_to_Thursdays,,,17:15,via,via,,,,,,17:50,via,via,19:05,,,
Mondays_to_Thursdays,,,14:20,,,,,14:35,,via,,via,,,,16:00,
