day_type,MAKHAZA,HARARE,VILLAGE 3,SITE C,N2 FREEWAY,NYANGA TERM,JAKES GERWEL DRV,CENTURY CITY
Fridays,05:35,,05:55,via,via,,,07:40
Fridays,,05:45,,via,via,,via,07:30
Fridays,,13:45,,via,via,,via,15:10
MondaysToFridays,,06:00,,via,via,,via,08:00
MondaysToFridays,,09:45,,via,via,,via,11:30
MondaysToFridays,10:30,,10:50,via,via,,,11:45
MondaysToFridays,11:30,,11:50,via,via,,,12:45
MondaysToFridays,,15:20,,via,via,,via,17:15
Mondays_to_Thursdays,05:35,,05:55,via,via,,,07:55
Mondays_to_Thursdays,,05:45,,via,via,,via,07:30
Mondays_to_Thursdays,,12:45,,via,via,,via,14:30
PublicHolidays,05:45,,06:05,via,via,,,07:10
PublicHolidays,,06:00,,via,,06:45,via,07:10
PublicHolidays,,08:55,08:40,via,,,,09:50
Saturdays,,07:45,,via,,08:30,via,09:15
Saturdays,06:45,,07:05,via,via,,,08:00
Saturdays,07:15,,07:35,via,via,,,08:30
Saturdays,,15:45,,via,,16:30,via,17:00
Saturdays,15:15,,15:35,via,via,,,17:00
Saturdays,,14:45,,via,,15:30,via,16:00
Saturdays,,13:45,,via,,14:30,via,15:30
Saturdays,,12:45,,via,,13:30,via,13:45
Saturdays,,11:45,,via,,12:30,via,13:15
Saturdays,11:15,,11:35,via,via,,,12:30
Saturdays,10:15,,10:35,via,via,,,12:15
Saturdays,09:15,,09:35,via,via,,,11:00
Saturdays,,09:45,,via,,10:30,via,11:00
Saturdays,,06:45,,via,,07:30,via,08:00
Sundays,16:15,,16:35,via,via,,,17:30
Sundays,,15:45,,via,via,,via,17:15
Sundays,,14:45,,via,,15:30,via,16:30
Sundays,14:15,,14:35,via,via,,,15:30
Sundays,,13:45,,via,,14:30,via,15:00
Sundays,,11:45,,via,,12:30,via,13:00
Sundays,12:15,,12:35,via,via,,,13:30
Sundays,11:15,,12:00,via,via,,,13:00
Sundays,,10:45,,via,,11:30,via,12:20
Sundays,10:15,,11:00,via,via,,,12:35
Sundays,09:15,,09:35,via,via,,,10:30
Sundays,,08:45,,via,,09:30,via,10:00
Sundays,,12:45,,via,,13:30,via,14:00
Sundays,,09:45,,via,,10:30,via,11:30
