day_type,CENTURY CITY,JAKES GERWEL DRV,N2 FREEWAY,NYANGA TERM,N1 FREEWAY,R300 FREEWAY,DRIFTSANDS,SITE C,VILLAGE 3,ENKANINI,HARARE,MAKHAZA
Fridays,21:30,via,,,,,,via,,,22:40,
Fridays,17:05,,,,via,via,,,via,18:15,,
Fridays,18:20,via,via,,,,,via,,,19:30,
Fridays,16:30,via,via,,,,via,via,,,18:00,
Fridays,16:00,via,,,,,,via,via,,,18:00
Fridays,15:35,via,via,,,,,via,,,17:25,
Fridays,17:15,via,via,,,,,via,,,18:30,
Fridays,21:30,via,via,,,,via,via,via,,,22:40
Fridays,11:30,via,,,,,,via,via,,,13:00
Fridays,11:15,via,,,,,,via,,,13:15,
Fridays,12:30,via,,,,,,via,via,,,14:15
MondaysToFridays,12:45,via,,,,,,via,,,14:00,
MondaysToFridays,13:30,via,,,,,,via,via,,,15:30
MondaysToFridays,11:45,via,,,,,,via,,,13:30,
MondaysToFridays,16:30,via,via,,,,via,via,via,,,18:05
MondaysToFridays,06:30,via,,,,,,via,,,08:25,
Mondays_to_Thursdays,18:20,via,via,,,,,via,,,19:45,
Mondays_to_Thursdays,21:30,via,,,,,,via,,,22:40,
Mondays_to_Thursdays,18:20,via,via,,,,via,via,via,,,19:50
Mondays_to_Thursdays,21:30,via,via,,,,via,via,via,,,22:40
Mondays_to_Thursdays,16:30,via,via,,,,via,via,,,18:00,
Mondays_to_Thursdays,17:05,,,,via,via,,,via,18:15,,
Mondays_to_Thursdays,16:00,via,,,,,,via,via,,,17:40
Mondays_to_Thursdays,15:35,via,via,,,,,via,,,17:20,
Mondays_to_Thursdays,12:30,via,,,,,,via,via,,,14:15
Mondays_to_Thursdays,11:15,via,,,,,,via,,,13:00,
Mondays_to_Thursdays,17:15,via,via,,,,,via,,,18:45,
PublicHolidays,16:30,,,,,,,via,via,,,17:45
PublicHolidays,19:30,,,via,,,,via,20:40,,via,
PublicHolidays,17:45,,,via,,,,via,via,,,18:50
PublicHolidays,17:15,,,via,,,,via,,,18:25,
PublicHolidays,21:30,via,,,,,,via,,,23:30,
PublicHolidays,21:30,via,,,,,,via,via,,,23:40
Saturdays,11:30,via,,,,,,via,,,12:45,
Saturdays,08:15,,,via,,,,via,via,,,09:30
Saturdays,08:30,via,via,,,,,via,,,09:45,
Saturdays,09:15,,,via,,,,via,via,,,10:30
Saturdays,10:15,,,via,,,,via,via,,,11:30
Saturdays,10:30,via,,,,,,via,,,11:45,
Saturdays,21:30,via,,,,,,via,,,22:40,
Saturdays,21:30,via,via,,,,via,via,via,,,22:40
Saturdays,18:15,,,via,,,,via,via,,,19:30
Saturdays,17:30,via,,,,,,via,,,18:30,
Saturdays,11:15,,,via,,,,via,via,,,12:30
Saturdays,16:30,via,,,,,,via,,,17:45,
Saturdays,16:15,,,via,,,,via,via,,,17:30
Saturdays,15:30,via,,,,,,via,,,16:45,
Saturdays,14:30,via,,,,,,via,,,16:00,
Saturdays,14:15,,,via,,,,via,via,,,15:30
Saturdays,12:15,,,via,,,,via,via,,,13:30
Saturdays,12:30,via,,,,,,via,,,13:45,
Saturdays,13:15,,,via,,,,via,via,,,14:50
Saturdays,13:30,via,,,,,,via,,,14:30,
Saturdays,17:15,,,via,,,,via,via,,,18:30
Sundays,21:30,via,,,,,,via,via,,,22:40
Sundays,21:30,via,,,,,,via,,,22:40,
Sundays,16:00,,,via,,,,via,18:00,,via,
Sundays,17:00,,,via,,,,via,18:25,,via,
Sundays,15:00,,,via,,,,via,16:15,,via,
Sundays,14:00,,,via,,,,via,15:30,,via,
Sundays,13:00,,,via,,,,via,14:30,,via,
Sundays,12:00,,,via,,,,via,13:30,,via,
Sundays,11:00,,,via,,,,via,12:25,,via,
Sundays,19:30,,,via,,,,via,21:40,,via,
Sundays,10:00,,,via,,,,via,11:20,,via,
