day_type,MAKHAZA,ENKANINI,VILLAGE 3,HARARE,SITE C,KENILWORTH CENTRE,CLAREMONT,WYNDOVER,RONDEBOSCH
Fridays,,,,13:15,13:40,,14:45,,
Fridays,15:30,,15:55,,16:00,,16:40,,
Fridays,,,,07:30,via,,09:10,,
Fridays,06:50,,07:15,,07:20,,08:00,,
Fridays,07:45,,08:10,,08:15,,09:00,,
Fridays,07:45,,08:05,,08:15,via,09:00,,09:25
Fridays,,,,06:40,07:05,,07:55,,08:40
Fridays,,,,15:45,16:10,,17:40,,
Fridays,15:15,,15:40,,15:45,,17:00,,
Fridays,,,06:20,,via,,08:10,,
Fridays,06:00,,06:25,,06:30,,07:55,,
Fridays,,,,07:20,07:40,,08:30,via,09:00
Fridays,,,,16:05,16:30,,17:20,,
Fridays,,06:00,,,06:30,,07:30,,
Fridays,,,,09:05,09:30,,10:30,,
Fridays,15:45,,16:10,,16:15,,17:00,,
Fridays,,,,,05:50,,07:40,,
Fridays,04:45,,05:10,,05:15,,06:25,,
Fridays,13:30,,13:55,,14:00,,14:45,,
Fridays,16:50,,17:15,,17:20,,18:00,,
Fridays,,,,11:30,11:55,,12:30,,
Fridays,14:30,,14:55,,15:00,,16:10,,
Fridays,,,,07:00,via,,08:20,,
Fridays,,,,14:45,15:10,,16:20,,
Fridays,05:40,,06:05,,06:10,,08:00,,
Fridays,09:45,,10:10,,10:15,,11:00,,
MondaysToFridays,,,,,08:05,,09:10,,
MondaysToFridays,07:30,,07:50,,08:00,,09:00,,
MondaysToFridays,,,,12:30,12:55,,14:00,,
MondaysToFridays,12:00,,12:25,,12:30,,13:15,,
MondaysToFridays,08:15,,08:40,,08:45,,09:30,,
MondaysToFridays,,,,10:15,10:40,,11:25,,
MondaysToFridays,,,,08:45,09:10,,10:00,,
MondaysToFridays,,,,07:50,08:15,,09:30,,
MondaysToFridays,,,,09:30,09:55,,11:00,,
MondaysToFridays,,,,08:00,08:25,,09:45,,
MondaysToFridays,10:30,,10:55,,11:00,,11:50,,
MondaysToFridays,08:00,,08:20,,08:30,via,09:15,,09:25
MondaysToFridays,11:15,,11:40,,11:45,,13:15,,
MondaysToFridays,07:50,,08:15,,08:20,,09:10,,
MondaysToFridays,07:00,,07:25,,07:30,,09:00,,
MondaysToFridays,05:30,,05:55,,06:00,,07:40,,
MondaysToFridays,,,,06:00,06:25,,07:45,,
MondaysToFridays,07:15,,07:40,,07:45,,08:30,,09:00
MondaysToFridays,,,,05:30,05:55,,07:00,,
MondaysToFridays,06:10,,06:35,,06:40,,08:00,,
MondaysToFridays,,06:15,,,06:45,,07:45,,
MondaysToFridays,,,,06:20,06:45,,08:30,,
MondaysToFridays,,,,05:40,06:05,,07:00,,
MondaysToFridays,06:20,,07:00,,07:05,,07:50,,08:00
MondaysToFridays,,06:30,,,07:00,,08:00,,
MondaysToFridays,06:30,,06:55,,07:00,,08:20,,
MondaysToFridays,,,,06:30,06:55,,07:40,,
MondaysToFridays,06:40,,07:05,,07:10,,08:20,,
MondaysToFridays,,,,06:40,07:05,,08:20,,
MondaysToFridays,,,,05:20,,,07:00,,
MondaysToFridays,,,,05:15,05:35,,06:25,via,07:00
MondaysToFridays,,,,04:45,05:10,,06:15,,06:35
MondaysToFridays,,,,07:00,07:20,,08:10,via,08:35
MondaysToFridays,,,,05:50,06:15,,07:15,,
MondaysToFridays,,,,05:25,05:55,,06:40,,07:15
Mondays_to_Thursdays,,,,15:30,15:55,,17:05,,
Mondays_to_Thursdays,14:30,,14:55,,15:00,,16:25,,
Mondays_to_Thursdays,14:15,,14:40,,14:45,,15:45,,
Mondays_to_Thursdays,,,,14:45,15:10,,16:00,,
