day_type,RONDEBOSCH,CLAREMONT,GATTI'S FACTORY,LANSDOWNE,SITE C,HARARE,VILLAGE 3,ENKANINI,MAKHAZA
Fridays,,14:45,,,15:20,16:00,,,
Fridays,,18:00,,,18:35,,18:40,,19:20
Fridays,,14:30,,,15:05,,15:10,,16:00
Fridays,,18:00,,,18:35,19:25,,,
Fridays,,17:50,,,18:25,18:50,,,
Fridays,,15:00,,,15:35,16:40,,,
Fridays,,15:30,,,16:05,17:00,,,
Fridays,,17:35,,,18:10,18:50,,,
Fridays,15:40,16:00,,,16:35,,16:40,,17:30
Fridays,,15:50,,,16:25,,16:30,,17:00
Fridays,,18:10,,,18:45,18:50,,,
Fridays,,17:25,,,18:00,,,18:55,
Fridays,,16:20,,,16:55,,17:00,,17:30
Fridays,,16:30,,,17:05,18:30,,,
Fridays,,,17:15,,17:55,,via,,18:45
Fridays,,17:10,,,17:45,18:30,,,
Fridays,16:40,17:00,,,17:35,,17:40,,18:30
Fridays,,16:45,,,17:20,17:40,,,
Fridays,,17:00,,,17:35,18:30,,,
Fridays,16:55,17:15,,,18:00,18:30,,,
Fridays,,17:00,,,17:50,,,,18:00
Fridays,,16:15,,,16:50,17:20,,,
Fridays,,14:15,,,14:50,,14:55,,15:30
Fridays,,17:00,,,via,18:20,,,
Fridays,,12:40,,,13:15,,14:10,,
Fridays,,06:25,,,07:05,07:20,,,
Fridays,,13:30,,,14:05,,14:10,,15:15
Fridays,,13:15,,,13:50,15:30,,,
Fridays,,08:50,,,09:25,,,,10:00
Fridays,,12:00,,,12:35,,12:40,,14:00
Fridays,,07:00,,,07:35,07:50,,,
MondaysToFridays,,16:15,,,16:50,,16:55,,17:45
MondaysToFridays,,08:30,,,09:05,09:30,,,
MondaysToFridays,,08:15,,,08:50,,08:55,,09:30
MondaysToFridays,,08:00,,,08:35,09:30,,,
MondaysToFridays,,13:45,,,14:20,,14:25,,15:20
MondaysToFridays,,16:00,,,16:35,,16:40,,17:30
MondaysToFridays,,19:30,,,20:05,,20:40,,
MondaysToFridays,,16:45,,,17:20,,17:25,,18:10
MondaysToFridays,,07:00,,,07:35,,07:40,,08:40
MondaysToFridays,,06:30,,,07:05,,07:10,,08:00
MondaysToFridays,,07:30,,,08:05,08:30,,,
MondaysToFridays,,09:30,,,10:05,11:00,,,
MondaysToFridays,,16:30,,,17:05,,17:10,,18:10
MondaysToFridays,,09:45,,,10:20,,10:25,,11:15
MondaysToFridays,,13:05,,,13:40,,13:45,,14:50
MondaysToFridays,,17:50,,,via,19:20,,,
MondaysToFridays,,14:00,,,14:35,15:15,,,
MondaysToFridays,,15:15,,,15:50,,15:55,,17:15
MondaysToFridays,,15:00,,,15:35,,15:40,,17:00
MondaysToFridays,,19:10,,,19:45,,19:50,,20:00
MondaysToFridays,,17:30,,,18:20,,,,18:30
MondaysToFridays,,12:30,,,13:05,13:45,,,
Mondays_to_Thursdays,,17:20,,,17:55,,18:00,,19:30
Mondays_to_Thursdays,,17:40,,,18:15,,18:20,,18:40
Mondays_to_Thursdays,,,17:15,,17:55,,via,,18:30
Mondays_to_Thursdays,,17:35,,,18:10,19:00,,,
Mondays_to_Thursdays,,19:10,,,19:45,20:15,,,
Mondays_to_Thursdays,,17:10,,,via,18:20,,,
Mondays_to_Thursdays,,17:00,,,17:50,,,,18:10
Mondays_to_Thursdays,,18:15,,,19:05,,19:10,,19:30
Mondays_to_Thursdays,,18:10,,,18:45,19:40,,,
Mondays_to_Thursdays,,17:25,,,18:00,,,18:40,
Mondays_to_Thursdays,,06:25,,,07:05,08:00,,,
Mondays_to_Thursdays,16:55,17:15,,,18:00,18:30,,,
Mondays_to_Thursdays,,07:00,,,07:35,07:55,,,
Mondays_to_Thursdays,,17:00,,,17:35,18:30,,,
Mondays_to_Thursdays,,12:45,,,13:20,,13:25,,14:30
Mondays_to_Thursdays,,13:15,,,13:50,14:15,,,
Mondays_to_Thursdays,,14:15,,,15:05,,15:10,,16:00
Mondays_to_Thursdays,,14:20,,,14:55,15:35,,,
Mondays_to_Thursdays,,14:30,,,15:05,,15:10,,16:00
Mondays_to_Thursdays,,14:40,,,15:05,16:05,,,
Mondays_to_Thursdays,,14:45,,,15:20,,15:25,,16:20
Mondays_to_Thursdays,,15:00,,,15:35,16:15,,,
Mondays_to_Thursdays,,12:00,,,12:35,,12:40,,13:10
Mondays_to_Thursdays,,15:30,,,16:05,17:00,,,
Mondays_to_Thursdays,,,,15:10,16:00,16:30,,,
Mondays_to_Thursdays,,16:45,,,17:20,17:45,,,
Mondays_to_Thursdays,16:30,16:50,,,17:30,18:45,,,
Mondays_to_Thursdays,,16:30,,,17:05,17:55,,,
