day_type,MAKHAZA,J BLOCK,MAKHAYA,VILLAGE 3,HARARE,ELITHA PARK,SITE C,OTTERY HYPERMARKET,PLUMSTEAD,BAMBOESVLEI RD,WYNBERG
Fridays,06:15,,,06:40,,,06:45,via,,,08:00
Fridays,08:15,,,08:40,,,08:45,,,,09:30
Fridays,06:40,,,07:05,,,07:10,,,,08:20
Fridays,15:15,,,15:40,,,15:45,,,,16:30
Fridays,,,,,15:00,,15:25,,,,16:10
Fridays,10:00,,,10:25,,,10:30,,,,11:20
Fridays,06:15,,,,,,via,,,,07:50
Fridays,14:45,,,15:10,,,15:15,,,,16:00
Fridays,16:30,,,16:55,,,17:00,,,,17:50
Fridays,10:30,,,11:05,,,11:10,,,,11:55
Fridays,,,,,,,08:00,via,,,09:00
Fridays,,,,,11:00,,11:25,,,,12:20
Fridays,,,,,14:30,,14:55,,,,15:45
Fridays,06:00,,,06:25,,,06:30,via,,,07:45
Fridays,,,,,11:30,,11:55,,,,12:40
Fridays,14:00,,,14:25,,,14:30,,,,15:20
Fridays,13:15,,,13:40,,,13:45,,,,14:50
Fridays,12:40,,,13:05,,,13:10,,,,13:45
Fridays,,,,13:30,,,14:05,,,,14:40
Fridays,18:00,,,18:25,,,18:30,,,,19:00
Fridays,,,,,05:30,,05:55,,,via,06:50
Fridays,,,,,12:20,,12:45,,,,13:40
Fridays,16:55,,,17:20,,,17:25,,,,18:00
Fridays,,,,,13:40,,14:05,,,,15:10
Fridays,,,,,12:00,,12:25,,,,13:15
Fridays,12:00,,,12:25,,,12:30,,,,13:15
Fridays,05:50,,,,,,06:00,,,,07:05
Fridays,11:30,,,11:55,,,12:00,,,,12:40
Fridays,,,,13:50,,,14:25,,,,15:30
Fridays,08:40,,,09:05,,,09:10,,,,09:50
MondaysToFridays,08:00,,,08:25,,,08:30,,,,09:15
MondaysToFridays,,,,,08:00,,08:25,,,via,09:20
MondaysToFridays,,,,,08:30,,08:55,,,,09:40
MondaysToFridays,,,,,04:50,,05:15,,,,05:50
MondaysToFridays,09:20,,,09:45,,,09:50,,,,10:25
MondaysToFridays,,,,,09:40,,10:05,,,,10:45
MondaysToFridays,,,,,10:20,,10:45,,,,11:30
MondaysToFridays,07:50,,,08:15,,,08:20,,,,09:05
MondaysToFridays,,,,,10:30,,10:45,,,,11:40
MondaysToFridays,,,,,13:00,,13:30,via,,,14:00
MondaysToFridays,,,,,09:00,,09:25,,,,10:40
MondaysToFridays,07:45,,,08:10,,,08:15,via,,,09:20
MondaysToFridays,07:30,,,07:55,,,08:00,via,,,08:50
MondaysToFridays,,,,,07:40,,08:05,,,via,09:00
MondaysToFridays,04:50,,,05:15,,,05:20,,,,06:00
MondaysToFridays,05:15,,,via,,,,,,,06:25
MondaysToFridays,05:30,,,05:55,,,06:00,,,,06:40
MondaysToFridays,,,,,05:40,,06:05,,,,07:20
MondaysToFridays,,,,,05:40,,via,,07:55,,
MondaysToFridays,05:40,,,,,,05:50,,,,07:20
MondaysToFridays,,,,,05:50,,06:15,,,via,07:30
MondaysToFridays,05:50,,,via,,,via,,07:50,,
MondaysToFridays,,,,,06:00,,06:25,,,via,08:00
MondaysToFridays,06:00,,,via,,,via,,08:00,,
MondaysToFridays,,,,,06:10,,06:40,via,,,07:45
MondaysToFridays,06:10,,,06:35,,,06:40,via,,,08:00
MondaysToFridays,07:40,,,08:05,,,08:10,,,,08:50
MondaysToFridays,via,,via,06:15,,,via,,,via,07:30
MondaysToFridays,,,,,06:10,,via,,08:10,,
MondaysToFridays,,,,,06:25,,06:50,,,via,07:20
MondaysToFridays,06:25,,,06:50,,,06:55,via,,,08:00
