day_type,WYNBERG,PLUMSTEAD,OTTERY HYPERMARKET,SITE C,HARARE,ENKANINI,VILLAGE 3,MAKHAZA
Fridays,18:00,,,18:35,,,18:40,19:10
Fridays,15:40,,,16:15,16:50,,,
Fridays,13:20,,,13:55,,,14:00,15:00
Fridays,17:00,,,17:35,,,17:40,18:20
Fridays,16:55,,,17:30,,,18:15,
Fridays,16:30,,,17:20,,,,17:45
Fridays,14:00,,,14:35,,,14:40,15:15
Fridays,,16:20,,via,18:05,,via,
Fridays,,14:00,,14:50,,,15:00,16:00
Fridays,17:00,,,17:35,17:40,,,
Fridays,14:20,,,14:55,15:30,,,
Fridays,16:20,,,16:55,,,17:00,17:30
Fridays,14:45,,,15:20,16:00,,,
Fridays,14:50,,,15:25,15:50,,,
Fridays,16:00,,,16:35,,,16:40,17:30
Fridays,15:00,,,15:35,16:15,,,
Fridays,15:05,,,15:40,,,15:45,16:00
Fridays,15:40,,,16:15,,,16:20,17:10
Fridays,15:20,,,15:55,,,16:00,16:40
Fridays,14:30,,,15:05,,,15:10,16:05
Fridays,13:00,,,13:35,14:30,,,
Fridays,13:00,,,13:35,,,13:40,14:15
Fridays,12:40,,,13:15,,,13:20,13:55
Fridays,18:15,,,18:50,,,18:55,19:00
Fridays,18:00,,,18:35,19:20,,,
Fridays,17:40,,,18:15,,,18:20,18:50
Fridays,17:30,,,18:05,18:50,,,
Fridays,10:20,,,10:55,11:55,,,
Fridays,17:25,,,18:00,,,18:05,18:45
Fridays,11:00,,,11:35,12:05,,,
Fridays,,17:05,,via,19:00,,via,
Fridays,,,17:15,17:50,18:40,,,
Fridays,15:30,,,16:05,,,16:10,16:45
Fridays,11:40,,,12:15,12:50,,,
Fridays,,,17:10,17:35,,,17:40,18:40
Fridays,17:10,,,17:45,,,17:50,18:30
Fridays,12:00,,,12:35,,,12:40,12:45
Fridays,12:20,,,12:55,13:30,,,
Fridays,12:20,,,12:55,,,13:00,13:40
Fridays,,17:05,,17:55,,,18:05,19:00
Fridays,11:20,,,11:55,,,12:00,12:30
MondaysToFridays,,16:20,,17:10,,,17:20,17:45
MondaysToFridays,16:30,,,17:05,,17:40,,
MondaysToFridays,16:20,,,16:55,17:30,,,
MondaysToFridays,16:30,,,17:05,17:40,,,
MondaysToFridays,16:00,,,16:35,17:20,,,
MondaysToFridays,,,18:30,18:55,,,19:00,19:20
MondaysToFridays,18:40,,,19:15,,,19:20,19:30
MondaysToFridays,17:15,,,17:50,18:30,,,
MondaysToFridays,06:20,,,06:55,,,07:00,07:50
MondaysToFridays,15:20,,,15:55,16:45,,,
MondaysToFridays,07:00,,,07:35,,,07:40,08:15
