day_type,WELLINGTON,MBEKWENI,GROENHEUWEL,DALJOSAFAT STN,HUGUENOT STN,LADY GREY STR,N1 FREEWAY,DURBAN RD,BELLVILLE,VOORTREKKER RD,CAPE TOWN,CAROLINA
Fridays,14:30,via,via,via,via,,via,via,,via,17:10,via
Fridays,08:30,via,via,via,via,,via,via,,via,10:30,via
MondaysToFridays,04:35,via,via,via,via,,via,via,,via,06:25,via
MondaysToFridays,11:30,via,via,via,via,,via,via,,via,13:30,via
MondaysToFridays,13:30,via,via,via,via,,via,via,,via,15:30,via
MondaysToFridays,06:00,via,via,via,via,,via,via,,via,08:00,via
MondaysToFridays,04:45,via,via,via,via,,via,via,,via,07:15,via
MondaysToFridays,04:40,via,via,via,via,,via,via,,via,06:30,via
MondaysToFridays,07:00,via,via,via,via,,via,via,,via,09:00,via
Mondays_to_Thursdays,08:30,via,via,via,via,,via,via,,via,11:00,via
Mondays_to_Thursdays,14:30,via,via,via,via,,via,via,,via,16:55,via
PublicHolidays,07:00,via,via,via,07:30,via,via,via,07:45,via,09:00,
PublicHolidays,13:00,via,via,via,13:30,via,via,via,13:45,via,15:00,
PublicHolidays,12:00,via,via,via,12:30,via,via,via,12:45,via,14:00,
PublicHolidays,10:00,via,via,via,10:30,via,via,via,10:45,via,12:00,
PublicHolidays,09:00,via,via,via,09:30,via,via,via,09:45,via,10:30,
PublicHolidays,14:00,via,via,via,14:30,via,via,via,14:45,via,15:50,
PublicHolidays,16:00,via,via,via,16:30,via,via,via,16:45,via,18:00,
Saturdays,13:00,via,via,via,via,,via,via,,via,15:00,via
Saturdays,05:00,via,via,via,via,,via,via,,via,08:00,via
Saturdays,06:00,via,via,via,via,,via,via,,via,08:00,via
Saturdays,07:00,via,via,via,via,,via,via,,via,08:30,via
Saturdays,09:00,via,via,via,via,,via,via,,via,10:30,via
Saturdays,10:00,via,via,via,via,,via,via,,via,12:00,via
Saturdays,12:00,via,via,via,via,,via,via,,via,14:00,via
Saturdays,16:00,via,via,via,via,,via,via,,via,18:00,via
Saturdays,17:00,via,via,via,via,,via,via,,via,19:00,via
Saturdays,11:00,via,via,via,via,,via,via,,via,12:30,via
Sundays,13:00,via,via,via,via,,via,via,,via,15:00,via
Sundays,14:00,via,via,via,via,,via,via,,via,16:00,via
Sundays,11:00,via,via,via,via,,via,via,,via,12:30,via
Sundays,16:00,via,via,via,via,,via,via,,via,18:00,via
Sundays,17:00,via,via,via,via,,via,via,,via,19:00,via
Sundays,18:00,via,via,via,via,,via,via,,via,20:00,via
Sundays,09:00,via,via,via,via,,via,via,,via,10:30,via
Sundays,07:00,via,via,via,via,,via,via,,via,09:00,via
Sundays,06:00,via,via,via,via,,via,via,,via,08:00,via
Sundays,12:00,via,via,via,via,,via,via,,via,14:00,via
Sundays,15:00,via,via,via,via,,via,via,,via,17:00,via
