day_type,CAPE TOWN,SALT RIVER,GOODWOOD,ELSIES RIVER,PAROW,DURBAN RD,N1 FREEWAY,CAROLINA,HUGUENOT STN,DALJOSAFAT STN,GROENHEUWEL,MBEKWENI,WELLINGTON,BELLVILLE,LADY GREY STR
Fridays,16:45,via,via,via,via,via,via,via,via,via,via,via,18:00,,
MondaysToFridays,08:00,via,via,via,via,via,via,via,via,via,via,via,10:00,,
MondaysToFridays,10:00,via,via,via,via,via,via,via,via,via,via,via,13:00,,
MondaysToFridays,12:00,via,via,via,via,via,via,via,via,via,via,via,13:30,,
MondaysToFridays,14:00,via,via,via,via,via,via,via,via,via,via,via,16:00,,
MondaysToFridays,15:00,via,via,via,via,via,via,via,via,via,via,via,17:00,,
MondaysToFridays,15:30,via,via,via,via,via,via,via,via,via,via,via,17:30,,
MondaysToFridays,16:00,via,via,via,via,via,via,via,via,via,via,via,17:20,,
MondaysToFridays,17:30,via,via,via,via,via,via,via,via,via,via,via,19:30,,
Mondays_to_Thursdays,16:45,via,via,via,via,via,via,via,via,via,via,via,18:05,,
PublicHolidays,14:00,via,via,via,via,via,via,,via,via,via,,16:00,14:45,via
PublicHolidays,12:00,via,via,via,via,via,via,,via,via,via,,13:30,12:45,via
PublicHolidays,11:00,via,via,via,via,via,via,,via,via,via,,14:00,11:45,via
PublicHolidays,09:00,via,via,via,via,via,via,,via,via,via,,11:30,09:45,via
PublicHolidays,07:00,via,via,via,via,via,via,,via,via,via,,09:00,07:45,via
PublicHolidays,15:00,via,via,via,via,via,via,,via,via,via,,16:30,15:45,via
PublicHolidays,16:00,via,via,via,via,via,via,,via,via,via,,18:00,16:45,via
Saturdays,16:00,via,via,via,via,via,via,via,via,via,via,via,18:00,,
Saturdays,17:00,via,via,via,via,via,via,via,via,via,via,via,18:30,,
Saturdays,12:00,via,via,via,via,via,via,via,via,via,via,via,13:30,,
Saturdays,11:00,via,via,via,via,via,via,via,via,via,via,via,13:00,,
Saturdays,09:00,via,via,via,via,via,via,via,via,via,via,via,11:30,,
Saturdays,08:00,via,via,via,via,via,via,via,via,via,via,via,09:50,,
Saturdays,07:00,via,via,via,via,via,via,via,via,via,via,via,09:00,,
Saturdays,14:00,via,via,via,via,via,via,via,via,via,via,via,16:00,,
Saturdays,15:00,via,via,via,via,via,via,via,via,via,via,via,16:30,,
Sundays,07:00,via,via,via,via,via,via,via,via,via,via,via,09:00,,
Sundays,08:00,via,via,via,via,via,via,via,via,via,via,via,09:50,,
Sundays,09:00,via,via,via,via,via,via,via,via,via,via,via,10:50,,
Sundays,11:00,via,via,via,via,via,via,via,via,via,via,via,13:00,,
Sundays,14:00,via,via,via,via,via,via,via,via,via,via,via,16:00,,
Sundays,15:00,via,via,via,via,via,via,via,via,via,via,via,16:30,,
Sundays,16:00,via,via,via,via,via,via,via,via,via,via,via,18:00,,
