day_type,ELECTRIC CITY,WESBANK,MALIBU,EINDHOVEN,MFULENI,LEIDEN,ELSIES RIVER,N1 CITY,EDGEMEAD,PANORAMA MEDI CLINIC
Fridays,04:45,via,via,,05:25,,,,,06:40
MondaysToFridays,,,,06:00,,via,via,via,via,07:50
MondaysToFridays,,,,07:00,,via,via,via,via,08:10
MondaysToFridays,16:40,via,via,,via,,,,,18:30
Mondays_to_Thursdays,04:45,via,via,,05:25,,,,,06:20
PublicHolidays,05:20,,via,,,,,,,06:30
PublicHolidays,17:00,via,via,,via,,,,,18:45
Saturdays,05:20,via,via,,05:50,,,,,06:30
Saturdays,16:40,,via,,17:10,,,,,18:50
Sundays,05:20,,via,,05:50,,,,,06:30
Sundays,17:10,,via,,17:40,,,,,18:30
