day_type,ELECTRIC CITY,HILLCREST,MELTON ROSE STN,MFULENI,MALIBU,BLACKHEATH IND,KUILS RIVER TERM,SAREPTA,WESBANK,PAROW IND,PEPCOR FACTORY,TYGERBERG HOSP,KARL BREMER HOSP
Fridays,14:40,,,,via,,,,,via,,,15:30
Fridays,,06:15,,,,via,,,,via,,07:30,
MondaysToFridays,05:00,,,,,,,,,via,,06:00,
MondaysToFridays,17:30,,,via,via,,,,,via,,18:30,19:05
MondaysToFridays,17:30,,,via,via,,,,,via,,18:20,19:05
MondaysToFridays,,,,,06:15,,,,,via,,07:05,07:35
MondaysToFridays,11:40,,,,via,,,,,,,12:35,12:50
MondaysToFridays,,,,,,,06:00,via,via,,07:15,,
MondaysToFridays,05:55,,,,,,,,via,via,,06:50,07:25
MondaysToFridays,,,,05:25,via,,,,,,,via,06:30
MondaysToFridays,05:15,,,,,,,,,via,,via,06:35
MondaysToFridays,05:10,,,,,,,,,via,,06:25,
MondaysToFridays,,,06:00,,,,,,,,,07:00,07:50
Mondays_to_Thursdays,,06:15,,,,via,,,,via,,07:50,
Mondays_to_Thursdays,14:40,,,,via,,,,,via,,15:35,15:50
PublicHolidays,05:30,,,,via,,,,,,,06:25,06:50
PublicHolidays,17:40,,,,via,,,,,,,18:35,18:45
Saturdays,05:40,,,via,via,,,,,via,,06:30,06:50
Saturdays,17:30,,,via,via,,,,,via,,18:30,18:50
Sundays,05:40,,,,via,,,,,,,06:35,06:50
Sundays,17:30,,,via,via,,,,,via,,18:30,18:50
