day_type,KUILS RIVER TERM,KUILS RIVER,PEPCOR FACTORY,SAXENBURG PARK,MACADAMS FACTORY,BLACKHEATH,MALIBU,MELTON ROSE STN,EERSTE RIVER STN,ELECTRIC CITY,BEACON VALLEY,ROCKLANDS,LOST CITY,LENTEGEUR HOSP,TOWN CENTRE,TAFELSIG LOST CITY
Fridays,16:45,via,via,via,via,via,,,,,,via,,,18:15,
Fridays,,,,,,,,13:00,,13:30,,,,,14:00,
Fridays,,,,,,,,13:15,,13:45,,,,,14:30,
Fridays,,,,,,13:30,,,,,,,,,14:40,
Fridays,,,,,,,,17:00,,17:30,,,,,18:00,
Fridays,,,,,,,,13:30,,14:00,,,,,14:30,
Fridays,,,,,,,,14:00,,14:30,,,,,15:00,
Fridays,,,,,,,,17:40,,18:10,,,,,18:45,
Fridays,,,,,,,,08:30,,09:00,,,,,09:15,
Fridays,,,,,,,,14:30,,15:00,,,,,15:50,
Fridays,,,,,,,,14:45,,15:15,,,,,15:40,
Fridays,,,,,,,,16:30,,17:00,,,,,17:30,
Fridays,14:55,,,via,via,via,,,,,via,,,,16:00,
Fridays,,,,,,,,06:55,,07:25,,,,,08:00,
Fridays,15:00,15:10,via,via,via,via,,,,,,,via,,16:20,
Fridays,,,,,,,,15:10,,15:40,,,,,16:10,
Fridays,,,,,,,05:45,06:00,via,06:15,,,,06:55,07:15,
Fridays,,,,,,,,15:30,,16:00,,,,,16:20,
Fridays,,,,,,,,12:30,,13:00,,,,,13:35,
MondaysToFridays,16:25,,,via,,,,,,,,via,,,,18:00
MondaysToFridays,16:15,,,via,,,,,,,,,,,,18:00
MondaysToFridays,,,,,,,,11:30,,12:00,,,,,12:30,
MondaysToFridays,,,,,,,,11:00,,11:30,,,,,12:30,
MondaysToFridays,,,,,,,,10:30,,11:00,,,,,11:45,
MondaysToFridays,,,,,,,,10:00,,10:30,,,,,11:00,
MondaysToFridays,,,,,,,,09:30,,10:00,,,,,10:30,
MondaysToFridays,,,,,,,,09:00,,09:30,,,,,10:00,
MondaysToFridays,,,,,,,05:50,,,,,,,,06:25,
MondaysToFridays,,,,,,,,12:00,,12:30,,,,,13:00,
MondaysToFridays,,,,,,,,08:00,,08:30,,,,,09:00,
MondaysToFridays,,,,,,,,07:50,,08:20,,,,,08:35,
MondaysToFridays,,,,,,,,07:05,,07:25,,,,,08:30,
MondaysToFridays,,,,,,,,07:05,,07:35,,,,,08:30,
MondaysToFridays,18:00,,,via,,via,,,,,,via,,,,19:10
MondaysToFridays,,,,,,,,06:05,,06:35,,,,,07:30,
Mondays_to_Thursdays,,,,,,,,17:00,,17:30,,,,,18:20,
Mondays_to_Thursdays,,,,,,,,16:20,,17:00,,,,,17:45,
Mondays_to_Thursdays,16:45,16:55,via,via,via,via,,,,,,,via,,18:25,
Mondays_to_Thursdays,17:00,17:10,,via,via,via,,,,,via,,,,18:00,
Mondays_to_Thursdays,16:45,via,via,via,via,via,,,,,,via,,,18:15,
Mondays_to_Thursdays,,,,,,,,17:40,,18:10,,,,,18:35,
Mondays_to_Thursdays,,,,,,,05:45,06:00,via,06:15,,,,06:55,07:10,
Mondays_to_Thursdays,,,,,,,,15:10,,15:40,,,,,16:30,
Mondays_to_Thursdays,,,,,,,,06:55,,07:25,,,,,08:20,
Mondays_to_Thursdays,,,,,,,,08:30,,09:00,,,,,09:15,
Mondays_to_Thursdays,,,,,,,,12:30,,13:00,,,,,13:30,
Mondays_to_Thursdays,,,,,,,,13:30,,14:00,,,,,14:45,
Mondays_to_Thursdays,,,,,,,,14:00,,14:30,,,,,15:30,
Mondays_to_Thursdays,,,,,,,,13:00,,13:30,,,,,14:00,
Mondays_to_Thursdays,,,,,,,,14:30,,15:00,,,,,15:30,
Mondays_to_Thursdays,,,,,,,,14:50,,15:20,,,,,15:50,
