day_type,KOEBERG STN,VOORTREKKER RD,JAKES GERWEL DRV,VIKING WAY,VALHALLA DRV,ANGELA STR,BISHOP LAVIS,35TH AVE,STELLENBOSCH ART,EINDHOVEN,R300,HINDLE RD,BRENTWOOD PARK,WESBANK,MFULENI,ELECTRIC CITY
Fridays,15:30,via,via,via,via,via,via,via,via,,,via,via,17:00,,
Fridays,15:35,via,via,via,,,,via,via,17:05,,,,,,
MondaysToFridays,16:05,via,via,via,,,,via,via,,,via,,,,17:40
Mondays_to_Thursdays,16:45,via,via,via,via,via,via,via,via,,,via,via,18:20,,
Fridays,16:50,via,via,via,via,via,via,via,via,,,via,via,18:10,,
Mondays_to_Thursdays,16:50,via,via,via,via,via,via,via,via,,via,via,via,18:05,,
Mondays_to_Thursdays,16:55,via,via,via,,,,via,,18:15,,,,,,
Mondays_to_Thursdays,17:00,via,via,via,,,,via,via,,,via,,,,18:20
Mondays_to_Thursdays,17:00,via,via,via,,,,via,via,17:50,,,,,,
Mondays_to_Thursdays,17:05,via,via,via,,,,via,,,,via,,,18:30,
Mondays_to_Thursdays,17:05,via,via,via,via,via,via,via,via,,,via,via,18:40,,
