day_type,ELECTRIC CITY,BLACKHEATH,WEMBLEY PARK,MFULENI,MALIBU,WESBANK,SYMPHONY WAY,BELLVILLE,SACKS CIRCLE,SPEKENAM,KASSELSVLEI RD,TYGER VALLEY CENTRE,KENRIDGE,DURBANVILLE
Fridays,07:00,,,via,via,,,via,09:00,,via,,,
Fridays,,,,07:10,via,via,via,08:20,,,,,,
MondaysToFridays,05:05,via,,via,via,via,,07:00,,via,,,,07:45
MondaysToFridays,,,,05:30,via,via,via,06:45,,,,,07:10,
MondaysToFridays,,,05:45,,,via,,06:50,,,,,,
MondaysToFridays,05:50,,,via,via,,,via,08:00,,via,,,
MondaysToFridays,,,,06:00,,via,,,,,,via,,07:45
MondaysToFridays,,,,06:00,via,,,07:20,,,,,,
MondaysToFridays,10:00,,,via,via,,via,11:00,,,,11:30,,
MondaysToFridays,09:00,,,via,via,,via,10:00,,,,10:50,,
MondaysToFridays,,,,08:00,via,via,via,08:40,,,,,,
Mondays_to_Thursdays,,,,07:10,via,via,via,09:10,,,,,,
Mondays_to_Thursdays,07:00,,,via,via,,,via,09:00,,via,,,
PublicHolidays,07:05,,,via,via,,via,08:05,,,,08:35,,
Saturdays,06:30,via,,via,via,via,,07:20,,,,,,07:50
Saturdays,09:00,,,via,via,,via,10:00,,,,10:30,,
Sundays,06:30,,,via,via,,via,07:30,,,,07:45,,
Sundays,07:05,,,via,via,,via,08:05,,,,08:50,,
