day_type,ELECTRIC CITY,WEMBLEY PARK,MFULENI,BRENTWOOD PARK,WESBANK,MALIBU,BELHAR,CENTURY CITY,MONTAGUE GARDENS,KILLARNEY,KILLARNEY GARDENS,BLAAUWBERG,BLAAUWBERG RIDGE
MondaysToFridays,05:00,,,,,,,,via,07:20,,07:35,
MondaysToFridays,05:05,,,,,,,,via,06:35,07:00,,
MondaysToFridays,05:10,,,,,,,,via,06:40,07:25,,
MondaysToFridays,,,05:15,,,,,,via,via,,,07:30
Mondays_to_Thursdays,05:20,,,,,,,,via,06:40,06:50,,
MondaysToFridays,,,,05:20,05:25,,,,via,06:10,06:30,,
Fridays,05:20,,,,,,,,via,06:50,07:10,,
MondaysToFridays,,,05:30,,,via,,,via,06:45,07:00,,
Fridays,,,,,05:35,,,,via,06:55,07:00,,
Mondays_to_Thursdays,,,,,05:35,,,,via,06:55,07:00,,
MondaysToFridays,05:35,,,,,,,,via,07:55,,08:15,
MondaysToFridays,05:40,,,,,,,,via,07:50,,08:10,
MondaysToFridays,05:40,,,,,,,,via,08:00,,08:10,
Fridays,,,05:50,,,,,,via,07:10,,,07:50
MondaysToFridays,,,05:50,,,via,,,,06:50,07:15,,
Mondays_to_Thursdays,,,05:50,,,,,,via,07:10,,,07:50
MondaysToFridays,,,06:30,,,,,,via,07:50,,,08:30
Mondays_to_Thursdays,,,07:30,,via,via,,,via,08:30,,09:10,
Fridays,,,07:30,,via,via,,,via,08:30,,09:00,
MondaysToFridays,,09:50,09:30,,,via,via,11:00,,,,,
MondaysToFridays,11:00,11:20,via,,,via,via,13:30,,,,,
Saturdays,06:00,,via,,via,via,,,,07:35,07:35,,
Saturdays,06:10,,,,,,,,via,08:30,,08:55,
Saturdays,,09:50,09:30,,,via,via,11:20,,,,,
Sundays,06:00,,via,via,via,via,,,via,07:35,,08:45,
