day_type,BLAAUWBERG RIDGE,KILLARNEY GARDENS,KILLARNEY,CENTURY CITY,MONTAGUE GARDENS,WESBANK,BRENTWOOD PARK,MALIBU,MFULENI,ELECTRIC CITY
Fridays,,16:00,16:10,,via,,,,,18:30
Fridays,,,14:00,,via,via,,via,via,15:50
Fridays,17:10,,17:30,,via,via,,via,18:30,
Fridays,,,,17:30,,via,,via,via,19:00
Fridays,,,14:30,,via,via,,via,via,16:15
Fridays,,,15:15,,via,via,,via,via,16:30
Fridays,,15:30,15:40,,via,,,,,18:10
Fridays,,,16:30,,via,via,,via,17:50,
Fridays,,,16:30,,via,via,,,17:50,
Fridays,,,16:50,,via,,,,,18:20
Fridays,,,16:15,,via,via,,via,via,17:45
MondaysToFridays,,,16:20,,via,,,,,18:00
MondaysToFridays,,,,13:30,,via,,via,via,15:20
MondaysToFridays,,,15:45,,via,,,,,17:30
MondaysToFridays,,,,21:30,,via,,via,via,22:20
MondaysToFridays,,17:00,17:10,,via,,,,,18:25
Mondays_to_Thursdays,,,,17:30,,via,,via,via,18:40
Mondays_to_Thursdays,,,17:05,,via,via,,,18:15,
Mondays_to_Thursdays,17:10,,17:30,,via,via,,via,18:30,
Mondays_to_Thursdays,,16:40,16:50,,via,,,,,18:10
Mondays_to_Thursdays,,16:50,17:00,,via,,,,,18:45
Mondays_to_Thursdays,,,16:10,,via,,,,,18:05
Mondays_to_Thursdays,,,15:30,,via,via,,via,via,17:40
Mondays_to_Thursdays,,,14:30,,via,via,,via,via,16:30
Mondays_to_Thursdays,,,14:00,,via,via,,via,via,16:05
Mondays_to_Thursdays,,,16:50,,via,,,,,18:20
PublicHolidays,,,,21:30,,via,,via,via,22:30
Saturdays,13:30,,13:50,,via,via,,via,via,15:30
Saturdays,15:50,,16:20,,via,via,via,via,via,17:30
Saturdays,,,,21:30,,via,,via,via,22:20
Sundays,,,,21:30,,via,,via,via,22:40
