day_type,TOWN CENTRE,KAPTEINSKLIP STN,ROCKLANDS,HANOVER PARK,N2 FREEWAY,MOWBRAY,GROOTE SCHUUR HOSP,CAPE TOWN,SOMERSET HOSP
Fridays,11:00,,11:10,11:40,,12:00,12:20,12:30,
Fridays,05:45,,,,via,06:45,,07:15,
MondaysToFridays,,05:00,via,,via,,,06:15,
MondaysToFridays,14:30,,14:40,15:10,,15:30,15:50,16:00,
MondaysToFridays,13:30,,13:40,14:10,,14:30,14:50,15:00,
MondaysToFridays,12:00,,via,12:40,,,,13:30,
MondaysToFridays,10:00,,10:10,10:40,,11:00,11:20,12:00,
MondaysToFridays,09:30,,via,10:10,,10:30,via,11:00,
MondaysToFridays,09:00,,09:10,09:40,,10:00,10:20,10:30,
MondaysToFridays,08:10,,08:20,08:50,,09:10,09:30,09:45,
MondaysToFridays,,,07:40,,via,,,08:50,
MondaysToFridays,07:00,,via,07:40,,08:00,via,08:35,
MondaysToFridays,,06:50,via,,via,,,08:20,
MondaysToFridays,,06:40,via,,via,,,08:00,
MondaysToFridays,07:40,,via,,,08:40,,09:00,
MondaysToFridays,06:30,,,,via,07:30,,08:20,
MondaysToFridays,,05:05,via,,via,,,06:15,
MondaysToFridays,,05:10,via,,via,,,06:25,
MondaysToFridays,,06:30,via,,via,,,07:30,
MondaysToFridays,,05:20,via,,via,,,07:10,
MondaysToFridays,,05:30,via,,via,,,07:15,
MondaysToFridays,,05:15,via,,via,,,06:25,
MondaysToFridays,,,05:50,,via,,,06:55,
MondaysToFridays,,05:50,via,,via,,,07:20,
MondaysToFridays,,06:00,via,,via,,,07:55,
MondaysToFridays,,06:20,via,,via,,,07:30,
MondaysToFridays,,05:45,via,,via,,,07:25,
Mondays_to_Thursdays,05:45,,,,via,06:45,,07:40,
Mondays_to_Thursdays,11:00,,11:10,11:40,,12:00,12:20,13:00,
PublicHolidays,06:20,,via,07:00,,07:20,via,07:40,
PublicHolidays,14:00,,via,14:40,via,,via,15:30,
PublicHolidays,10:00,,via,10:40,,11:00,via,11:30,
PublicHolidays,09:30,,via,10:10,,10:30,via,11:00,
PublicHolidays,09:00,,via,09:40,,10:00,via,10:30,
PublicHolidays,08:00,,via,08:40,,09:00,via,09:30,
PublicHolidays,07:30,,via,08:10,,08:30,via,08:45,
PublicHolidays,06:45,,via,07:25,,07:45,via,08:15,
PublicHolidays,06:00,,via,,via,,,07:10,
PublicHolidays,18:00,,via,18:40,via,,via,19:30,
PublicHolidays,16:00,,via,16:40,via,,via,17:15,
Saturdays,09:30,,via,,via,,,11:00,
Saturdays,05:40,,via,06:20,,06:40,via,07:30,
Saturdays,06:00,,via,,via,,,07:30,
Saturdays,06:20,,via,,via,,,07:30,
Saturdays,06:40,,via,07:20,,,via,07:40,
Saturdays,07:15,,via,07:55,,08:15,via,08:45,
Saturdays,07:30,,via,,,08:30,,09:00,
Saturdays,08:00,,via,,,09:00,,09:50,
Saturdays,08:15,,via,,,09:00,,09:20,
Saturdays,09:00,,via,09:40,,10:00,via,10:30,
Saturdays,08:30,,via,,,09:30,,10:00,
Saturdays,09:45,,via,10:20,,10:50,,11:00,
Saturdays,10:20,,via,11:00,,11:20,via,12:00,
Saturdays,10:40,,via,11:20,,11:40,via,12:25,
Saturdays,11:20,,via,12:00,,12:20,via,12:30,
Saturdays,16:30,,via,17:10,,17:40,,17:35,
Saturdays,11:30,,via,,,12:30,,12:50,
Saturdays,12:15,,via,12:55,,13:25,,13:30,
Saturdays,13:40,,13:50,14:20,,14:40,15:00,15:00,
Saturdays,14:20,,14:30,15:00,,15:20,15:40,16:00,
Saturdays,15:20,,via,16:00,,16:30,,17:00,
Saturdays,17:00,,17:10,17:40,,18:00,18:20,18:30,
Sundays,05:40,,via,06:20,,06:40,via,07:00,
Sundays,16:00,,via,16:40,,17:00,via,17:00,
Sundays,14:50,,15:00,15:30,,15:50,16:10,17:10,
Sundays,14:00,,via,14:40,,15:00,via,15:30,
Sundays,12:00,,via,12:40,,13:00,via,13:20,
Sundays,10:00,,via,10:40,,11:10,,11:30,
Sundays,09:00,,via,09:40,,10:10,,10:20,
Sundays,08:00,,via,08:40,,09:00,via,09:20,
Sundays,07:20,,via,08:00,,08:20,via,08:50,
Sundays,07:00,,via,07:40,,08:00,via,08:20,
Sundays,06:00,,via,06:40,,07:00,via,07:30,
Sundays,17:45,,via,18:25,via,,via,19:00,19:10
Sundays,08:40,,via,09:20,,09:40,via,09:40,
