day_type,TAFELSIG,PORTLANDS,MERRYDALE AVE,WESPOORT,COLORADO PARK,CLOCK TOWER,TOWN CENTRE,AZ BERMAN DRV,JAKES GERWEL DRV,TURF HALL RD,BELGRAVIA RD,KLIPFONTEIN RD,MOWBRAY,MAIN RD,CAPE TOWN
Fridays,,,via,,,,13:00,,via,,via,via,via,via,14:30
Fridays,05:35,,,,,,,via,,,,,,via,07:30
MondaysToFridays,,,via,,,,04:50,,via,,,,,via,06:30
MondaysToFridays,,,via,,,,17:20,,via,,,,,via,18:30
MondaysToFridays,,,via,,,,16:00,,via,,,,,via,17:00
MondaysToFridays,,,via,,,,15:30,,via,,via,via,via,via,17:00
MondaysToFridays,,,via,,,,15:00,,,,via,via,16:10,via,16:45
MondaysToFridays,,,via,,,,14:30,,via,,via,via,via,via,16:45
MondaysToFridays,,,via,,,,12:00,,,,via,via,13:10,via,13:30
MondaysToFridays,,,via,,,,11:30,,,,via,via,12:40,via,13:00
MondaysToFridays,,,via,,,,10:30,,,,via,via,11:40,via,12:00
MondaysToFridays,,,via,,,,09:00,,via,,via,via,via,via,10:30
MondaysToFridays,,,via,,,,08:30,,via,,via,via,via,via,09:30
MondaysToFridays,,,via,,,,08:10,,via,,via,via,via,via,09:30
MondaysToFridays,,,via,,,,07:40,,via,,,via,08:30,via,08:50
MondaysToFridays,,,via,,,,14:00,,via,,via,via,via,via,15:40
MondaysToFridays,,,,via,,,06:45,via,via,via,via,via,07:45,via,08:30
MondaysToFridays,,07:35,,,,,,,via,,,via,,via,08:50
MondaysToFridays,04:50,,,,,,,via,,,,,,via,06:15
MondaysToFridays,05:05,,,,,,,via,,,,,,via,06:30
MondaysToFridays,,,via,,,,05:15,,via,,,,,via,06:50
MondaysToFridays,,,,,05:20,05:20,,,via,,,,,via,06:30
MondaysToFridays,05:20,,,,,,,via,,,,,,via,07:00
MondaysToFridays,,,via,,,,05:50,,via,,,,,via,08:00
MondaysToFridays,,,,,06:10,06:00,,,via,,,,,via,07:30
MondaysToFridays,,,,,via,06:05,,,,,,via,06:45,via,07:30
MondaysToFridays,,,via,,,,06:20,,via,,,,,via,08:00
MondaysToFridays,06:20,,,,,,,via,,,,,,via,07:30
MondaysToFridays,05:50,,,,,,,via,,,,,,via,08:00
Mondays_to_Thursdays,,,via,,,,13:00,,via,,via,via,via,via,14:45
Mondays_to_Thursdays,05:35,,,,,,,via,,,,,,via,07:20
PublicHolidays,,,via,,,,15:00,,,,via,via,16:20,via,16:30
PublicHolidays,,,via,,,,06:30,,via,,,via,07:20,via,07:50
PublicHolidays,,,via,,,,13:00,,,,via,via,14:10,via,15:00
PublicHolidays,,,via,,,,11:00,,,,via,via,12:20,via,12:30
PublicHolidays,,,via,,,,08:00,,,,via,via,09:10,via,09:30
PublicHolidays,,,via,,,,07:30,,via,,,via,08:20,via,09:00
PublicHolidays,,,via,,,,07:00,,,,via,via,08:10,via,09:00
PublicHolidays,,,via,,,,06:00,,,,via,via,07:10,via,07:10
PublicHolidays,,,via,,,,17:20,,,,via,via,18:20,via,18:30
PublicHolidays,,,via,,,,16:30,,,,via,via,17:40,via,18:30
Saturdays,,,via,,,,17:00,,via,,,via,17:50,via,18:45
Saturdays,,,via,,,,16:00,,,,via,via,17:10,via,17:20
Saturdays,,,via,,,,12:40,,via,,,via,,via,13:50
Saturdays,,,via,,,,06:15,,via,,,,,via,07:30
Saturdays,,,via,,,,06:00,,via,,,,,via,07:15
Saturdays,,,via,,,,08:15,,via,,,via,,via,09:20
Sundays,,,via,,,,16:30,,,,via,via,17:40,via,18:00
Sundays,,,via,,,,10:00,,,,via,via,11:10,via,11:30
Sundays,,,via,,,,08:00,,,,via,via,08:50,via,09:00
Sundays,,,via,,,,11:00,,via,,via,via,12:20,via,12:30
