day_type,WATERFRONT,SOMERSET HOSP,CAPE TOWN,TOLLGATE STOP,MOWBRAY,HANOVER PARK,COLORADO PARK,MERRYDALE AVE,BEACON VALLEY,TOWN CENTRE,MANDALAY,TAFELSIG,TAFELSIG LOST CITY
Fridays,,,11:00,,,,,,,,,,12:40
Fridays,,,18:25,,,,,via,,19:25,,,
Fridays,,,12:00,,12:30,12:50,,via,,13:00,,,
Fridays,,,15:00,,,,,,,,,,16:30
Fridays,,,,17:05,,,,,,,,,18:35
MondaysToFridays,,,06:30,,,,,via,,07:30,,,
MondaysToFridays,,,16:15,,,,,via,,18:00,,,
MondaysToFridays,,,16:30,,,,,,,,,,18:00
MondaysToFridays,,,16:30,,,,,via,,18:00,,,
MondaysToFridays,,,16:45,,,,,,,,,,18:00
MondaysToFridays,,,16:45,,,,,via,,18:00,,,
MondaysToFridays,,,17:00,,,,,,,,,,18:20
MondaysToFridays,,,17:00,,,,,via,,18:30,,,
MondaysToFridays,,,,,17:05,17:25,,,,,,18:15,
MondaysToFridays,,,17:15,,,,,,,,,,18:30
MondaysToFridays,,,16:15,,,,,,,,,,18:00
MondaysToFridays,,,17:25,,,,,,,,,,18:50
MondaysToFridays,,,17:30,,,,,via,,19:00,,,
MondaysToFridays,,,17:30,,,,,,,,,,19:05
MondaysToFridays,,,17:40,,,,,,,,,,18:40
MondaysToFridays,,,17:45,,,,,via,,19:00,,,
MondaysToFridays,,,18:00,,,,,,,,,,19:20
MondaysToFridays,,,18:30,,,,,,,,,,20:00
MondaysToFridays,,19:15,19:30,,19:50,20:30,,,,21:00,,,
MondaysToFridays,,,19:30,,,,,,,,,,20:50
MondaysToFridays,,,17:15,,,,,via,,18:30,,,
MondaysToFridays,,,,,16:10,,,via,,17:20,,,
MondaysToFridays,,,,16:35,,,,,,,,,18:00
MondaysToFridays,,,,,16:10,via,,,,,,via,17:40
MondaysToFridays,,,12:00,,,,,,,,,,13:40
MondaysToFridays,,,16:10,,,,,,,,,,18:00
MondaysToFridays,,,13:00,,,,,,,,,,14:30
MondaysToFridays,,,13:00,,13:30,14:10,,via,,14:45,,,
MondaysToFridays,,,13:30,,,,,,,,,,15:00
MondaysToFridays,,,14:00,,,,,,,,,,15:30
MondaysToFridays,,,14:30,,15:00,15:20,,via,,16:00,,,
MondaysToFridays,,,14:30,,,,,,,,,,16:00
MondaysToFridays,,,14:45,,,,,,,,,,16:30
