day_type,MURDOCH VALLEY,OCEAN VIEW,STEENBERG,RETREAT,PLUMSTEAD,WYNBERG,CLAREMONT,MOWBRAY,FREEWAY,M3 FREEWAY,GROOTE SCHUUR HOSP,CAPE TOWN
Fridays,,,,11:00,,,,,,,,12:10
Fridays,,,,05:15,,,,,,via,,06:15
Fridays,,,,14:10,,,,,,,,15:20
Fridays,,,,16:00,,,,,,,,17:15
Fridays,,,,13:00,,,,,,,,14:00
Fridays,,,,17:15,,,,,,,,18:15
Fridays,,,05:30,,,,,,,,,07:00
Fridays,,,,14:00,,,,,,,,15:00
Fridays,,,,08:15,,,,,,,,09:35
Fridays,,,,15:10,,,,,,,,16:35
Fridays,,,,13:30,,,,,,via,,14:40
Fridays,,,,06:00,,,,,,via,,07:10
Fridays,,,,13:40,,,,,,,14:15,14:50
MondaysToFridays,,,14:30,15:00,,,,,,,via,16:10
MondaysToFridays,,,,14:30,,,,,,,15:05,15:50
MondaysToFridays,,,,14:20,,,,,,,,15:30
MondaysToFridays,,,,13:20,,,,,,,,14:30
MondaysToFridays,,,,13:10,,,,,,,,14:20
MondaysToFridays,,,,12:45,,,,,,,,13:45
MondaysToFridays,,,,12:30,,,,,,,13:05,13:20
MondaysToFridays,,,,12:15,,,,,,,12:45,13:10
MondaysToFridays,,,,12:00,,,,,,,,13:20
MondaysToFridays,,,,11:45,,,,,,,,12:45
MondaysToFridays,,,,13:50,,,,,,,,15:00
MondaysToFridays,,,,14:45,,,,,,,15:20,15:45
MondaysToFridays,,,,05:00,,,,,,,,06:10
MondaysToFridays,,,,11:10,,,,,,,,12:10
MondaysToFridays,,,,20:00,,,,20:35,,,,21:00
MondaysToFridays,,,,19:40,,,,,,,20:15,20:40
MondaysToFridays,,,,18:30,,,,,,,,19:30
MondaysToFridays,,,,18:00,,,,,,,,19:00
MondaysToFridays,,,,17:40,,,,,,,,18:30
MondaysToFridays,,,,17:20,,,,,,,,18:00
MondaysToFridays,,,,17:10,,,,,,,,18:10
MondaysToFridays,,,,15:00,,,,,,,15:35,16:00
MondaysToFridays,,,,17:00,,,,,,,,18:30
MondaysToFridays,,,,16:45,,,,,,,,18:00
MondaysToFridays,,,,16:30,,,,,,,,17:35
MondaysToFridays,,,,16:20,,,,,,,,17:40
MondaysToFridays,,,,16:10,,,,,,,,17:30
MondaysToFridays,,,,15:40,,,,,,,,17:00
MondaysToFridays,,,,15:30,,,,,,,,17:05
MondaysToFridays,,,,15:20,,,,,,,,16:35
MondaysToFridays,,,,16:50,,,,,,,,18:15
MondaysToFridays,15:10,,,,,,,,,,,17:15
MondaysToFridays,,,14:00,14:30,,,,,,,via,15:30
MondaysToFridays,,,05:40,06:10,,,,,,,via,07:15
MondaysToFridays,,,,07:30,,,,,,,08:05,08:50
MondaysToFridays,,,,07:20,,,,,,,07:55,09:00
MondaysToFridays,,,,07:15,,,,,,via,,08:15
MondaysToFridays,,,,07:10,,,,,,,07:45,08:40
MondaysToFridays,,,07:00,07:30,,,,,,,via,08:10
MondaysToFridays,,,,06:45,,,,,,,07:20,08:20
MondaysToFridays,,,,06:40,,,,,,,,08:10
MondaysToFridays,,,07:30,08:00,,,,,,,via,09:00
MondaysToFridays,,,,06:30,,,,,,,07:05,07:40
MondaysToFridays,,,,06:20,,,,,,,,07:40
MondaysToFridays,,,,05:30,,,,,,,06:05,06:30
MondaysToFridays,,,06:10,06:40,,,,,,,via,08:25
MondaysToFridays,,,,06:10,,,,,,,06:45,07:10
MondaysToFridays,,,06:00,06:30,,,,,,,via,07:20
MondaysToFridays,,,,05:40,,,,,,,06:15,06:50
MondaysToFridays,,,05:50,via,,,,,via,,,07:35
MondaysToFridays,,,06:30,07:00,,,,,,,via,09:00
MondaysToFridays,,05:40,,,,,,,,via,,07:35
MondaysToFridays,,,,07:45,,,,,,,,08:45
MondaysToFridays,,05:25,,,,,,,,via,,07:05
MondaysToFridays,,,,10:30,,,,,,,11:05,11:50
MondaysToFridays,,,,10:15,,,,,,,,11:20
MondaysToFridays,,,,10:00,,,,,,,,11:00
MondaysToFridays,,,,09:45,,,,,,,,10:45
MondaysToFridays,,,,09:30,,,,,,,,10:30
MondaysToFridays,,,,09:15,,,,,,,,10:25
MondaysToFridays,,,,09:00,,,,,,,,10:00
MondaysToFridays,,05:25,,06:25,,,,,,,,07:15
MondaysToFridays,,,05:15,06:00,,,,,,,via,07:30
MondaysToFridays,,,05:20,,,,,,,,,06:20
MondaysToFridays,,,,08:30,,,,,,,09:05,09:35
MondaysToFridays,,,08:00,via,,,,,via,,,09:30
MondaysToFridays,,,,08:00,,,,,,,08:35,09:00
MondaysToFridays,,,,07:50,,,,,,,,08:30
MondaysToFridays,,,,08:45,,,,,,,,10:00
MondaysToFridays,,,,10:50,,,,,,,,11:50
Mondays_to_Thursdays,,,,05:15,,,,,,via,,06:05
Mondays_to_Thursdays,,,05:30,,,,,,,,,07:00
Mondays_to_Thursdays,,,,18:15,,,,,,,,19:20
Mondays_to_Thursdays,,,,18:10,,,,,,,,19:10
Mondays_to_Thursdays,,,,11:00,,,,,,,,12:15
Mondays_to_Thursdays,,,,06:00,,,,,,via,,07:10
Mondays_to_Thursdays,,,,16:00,,,,,,,,17:05
Mondays_to_Thursdays,,,,15:50,,,,,,,,16:50
Mondays_to_Thursdays,,,,14:00,,,,,,,,15:00
Mondays_to_Thursdays,,,,13:40,,,,,,,14:15,15:00
Mondays_to_Thursdays,,,,08:15,,,,,,,,09:30
Mondays_to_Thursdays,,,,,,,,17:00,,,,17:30
Mondays_to_Thursdays,,,,13:00,,,,,,,,14:10
Mondays_to_Tuesdays,,,13:00,13:30,,,,,,,via,14:30
PublicHolidays,,,,12:00,,,,,,,,13:30
PublicHolidays,,,,11:30,,,,12:05,,,,12:15
PublicHolidays,,,,11:00,,,,,,,,12:00
PublicHolidays,,,,10:30,,,,,,,,11:30
PublicHolidays,,,,10:15,,,,,,,,11:45
PublicHolidays,,,,10:00,,,,,,,,11:00
PublicHolidays,,,,08:00,,,,,,,,09:10
PublicHolidays,,,,10:30,,,,10:05,,,,
PublicHolidays,,,,08:30,,,,,,,,09:30
PublicHolidays,,,,12:30,,,,13:05,,,,13:40
PublicHolidays,,,,07:30,,,,,,,,08:30
PublicHolidays,,,,07:00,,,,07:30,,,07:35,08:00
PublicHolidays,,,06:30,07:00,,,,,,,via,08:00
PublicHolidays,,,10:00,10:30,,,,,,,via,11:30
PublicHolidays,,,,12:45,,,,,,,,13:45
PublicHolidays,,,,14:30,,,,,,,,15:30
PublicHolidays,,,,13:30,,,,14:05,,,,14:30
PublicHolidays,,,,14:00,,,,,,,,15:10
PublicHolidays,,,,15:00,,,,,,,,16:00
PublicHolidays,,,,15:15,,,,,,,,16:45
PublicHolidays,,,15:20,15:50,,,,,,,via,16:40
PublicHolidays,,,,15:30,,,,16:05,,,,16:30
PublicHolidays,,,,16:10,,,,16:45,,,,17:10
PublicHolidays,,,,16:30,,,,17:00,,,,17:30
PublicHolidays,,,,17:30,,,,18:05,,,,18:10
PublicHolidays,,,,17:45,,,,,,,,18:45
PublicHolidays,,,,18:30,,,,19:00,,,,19:30
PublicHolidays,,,,19:00,,,,19:30,,,,20:00
PublicHolidays,,,,20:00,,,,,,,,20:50
PublicHolidays,,,,06:30,,,,,,,07:05,07:40
PublicHolidays,,,,13:00,,,,,,,,14:00
PublicHolidays,,,,06:00,,,,,,,,07:00
PublicHolidays,,,23:15,,,,,,,,,00:15
PublicHolidays,,,,21:00,,,,,,,,21:45
Saturdays,,,,11:20,,,,,,,,12:30
Saturdays,,,,11:00,,,,,,,,12:00
Saturdays,,,,10:50,,,,,,,,11:50
Saturdays,,,,10:20,,,,10:55,,,,11:30
Saturdays,,,,10:10,,,,,,,10:45,11:15
Saturdays,10:00,,,,,,,,,,,12:00
Saturdays,,,,10:00,,,,,,,,11:30
Saturdays,,,10:00,10:30,,,,,,,via,11:30
Saturdays,,,,09:40,,,,,,,,10:40
Saturdays,,,,09:30,,,,,,,10:05,10:30
Saturdays,,,,09:20,,,,,,,,10:20
Saturdays,,,,09:00,,,,,,,,10:00
Saturdays,,,,08:40,,,,,,,,09:50
Saturdays,,,,08:30,,,,,,,09:05,09:30
Saturdays,,,,08:20,,,,,,,,09:20
Saturdays,,,,,,,08:20,,,,,09:00
Saturdays,,,08:10,08:40,,,,,,,via,09:30
Saturdays,,,,08:00,,,,08:35,,,,08:50
Saturdays,,,,07:45,,,,,,,08:20,08:50
Saturdays,,,,,07:45,07:55,,,,,,
Saturdays,,,,07:30,,,,,,,,08:30
Saturdays,,,,07:15,,,,,,,07:50,08:30
Saturdays,,,,06:40,,,,,,,,07:40
Saturdays,,,06:30,07:00,,,,,,,via,08:00
Saturdays,,,,06:30,,,,,,,07:05,07:30
Saturdays,,,,06:20,,,,06:50,,,06:55,07:20
Saturdays,,06:00,,06:40,,,,,,,,07:45
Saturdays,,,,06:00,,,,06:30,,,06:35,07:00
Saturdays,,,05:50,06:20,,,,,,,via,08:00
Saturdays,,,,05:45,,,,,,,06:20,06:45
Saturdays,11:00,,,,,,,,,,,13:00
Saturdays,,,,11:10,,,,,,,,12:10
Saturdays,,,,07:00,,,,,,,,08:00
Saturdays,,,,15:30,,,,16:00,,,16:05,17:00
Saturdays,,,,19:00,,,,19:35,,,,19:35
Saturdays,,,,18:30,,,,19:00,,,19:05,19:20
Saturdays,,,,18:00,,,,18:35,,,,19:10
Saturdays,,,,17:30,,,,18:05,,,,18:30
Saturdays,,,,17:00,,,,,,,,18:10
Saturdays,,,,16:30,,,,,,,,17:30
Saturdays,,,,16:00,,,,,,,,17:00
Saturdays,,,,19:30,,,,,,,,20:30
Saturdays,,,15:20,15:50,,,,,,,via,16:40
Saturdays,,,,14:30,,,,15:05,,,,15:40
Saturdays,,,,14:20,,,,,,,,15:20
Saturdays,,,,13:45,,,,14:20,,,,14:45
Saturdays,13:30,,,,,,,,,,,15:00
Saturdays,,,,13:00,,,,,,,,14:00
Saturdays,,,,12:40,,,,,,,,13:40
Saturdays,,,,12:00,,,,,,,,13:00
Saturdays,,,,11:40,,,,,,,,12:40
Saturdays,,,,15:00,,,,15:30,,,15:35,16:00
Saturdays,,,,20:30,,,,21:05,,,,21:20
Sundays,,,,06:00,,,,06:30,,,06:35,07:00
Sundays,,,,12:30,,,,,,,13:05,13:30
Sundays,,,06:30,07:00,,,,,,,via,08:00
Sundays,,,,12:00,,,,12:35,,,,12:50
Sundays,,,,07:00,,,,07:30,,,07:35,08:00
Sundays,,,,08:00,,,,08:35,,,,09:00
Sundays,,,,13:00,,,,13:30,,,13:35,13:50
Sundays,,,13:10,13:30,,,,,,,via,14:30
Sundays,,,,13:30,,,,,,,14:05,14:30
Sundays,,,,14:00,,,,14:35,,,,15:00
Sundays,,,,14:30,,,,,,,,15:30
Sundays,,,,15:00,,,,15:30,,,15:35,16:20
Sundays,,,,11:30,,,,,,,12:05,12:30
Sundays,,,,16:00,,,,16:35,,,,17:00
Sundays,,,,16:15,,,,,,,,17:20
Sundays,,,,07:30,,,,,,,08:05,08:30
Sundays,,,,16:30,,,,,,,,17:30
Sundays,,,,18:00,,,,18:30,,,18:35,19:00
Sundays,,,18:30,18:55,,,,,,,via,19:25
Sundays,,,,19:00,,,,19:30,,,19:35,19:45
Sundays,,,,20:00,,,,,,,,20:30
Sundays,,,,10:30,,,,,,,11:05,11:30
Sundays,,,,10:00,,,,10:35,,,,11:00
Sundays,,,10:00,10:30,,,,,,,via,11:20
Sundays,,,,09:30,,,,,,,10:05,10:30
Sundays,,,,09:00,,,,09:35,,,,10:00
Sundays,,,,08:30,,,,,,,09:05,09:30
Sundays,,,,17:00,,,,,,,,18:00
Sundays,,,,15:30,,,,,,,,16:30
Wednesdays_to_Fridays,,,13:00,13:30,,,,,,,via,14:30
