day_type,WATERFRONT,CAPE TOWN,TOLLGATE STOP,M3 FREEWAY,GROOTE SCHUUR HOSP,MOWBRAY,FREEWAY,CLAREMONT,RETREAT,LAVENDER HILL,SEAWINDS,STEENBERG,OCEAN VIEW,MURDOCH VALLEY
Fridays,,09:30,,,,,,,10:30,,,,,
Fridays,,16:30,,,,,,,17:30,,,,18:20,
Fridays,,16:00,,,,,,,17:15,,,,,
Fridays,,18:45,,,,,,,19:35,via,via,19:45,,
Fridays,,13:30,,,,,,,14:30,,,,,
Fridays,,13:00,,,,,,,14:00,,,,,
MondaysToFridays,,14:30,,,,,,,15:30,,,,,
MondaysToFridays,,14:10,,,,,,,15:30,,,,,
MondaysToFridays,,16:15,,,,,,,17:05,via,via,18:25,,
MondaysToFridays,,16:00,,,,,via,,via,,,17:45,,
MondaysToFridays,,14:20,,,,,,,15:40,,,,,
MondaysToFridays,,15:50,,,,,,,17:10,,,,,
MondaysToFridays,,15:45,,,,,,,17:05,via,via,17:30,,
MondaysToFridays,,15:40,,,15:55,,,,17:00,,,,,
MondaysToFridays,,15:35,,,,,,,16:50,,,,,
MondaysToFridays,,,,,,16:20,,,via,via,via,17:30,,
MondaysToFridays,,15:10,,,,,,,16:45,,,,,
MondaysToFridays,,15:00,,,,,,,16:10,,,,,
MondaysToFridays,,14:55,,,,,,,15:05,,,,,
MondaysToFridays,,14:50,,,,,,,15:40,via,via,16:20,,
MondaysToFridays,,14:40,,,,,,,16:00,,,,,
MondaysToFridays,,15:30,,,,,,,16:20,via,via,17:45,,
MondaysToFridays,,15:20,,,15:35,,,,16:30,,,,,
MondaysToFridays,,05:30,,,,,,,06:30,,,,,
MondaysToFridays,,16:30,,,,,,,17:20,via,via,17:50,,
MondaysToFridays,21:30,21:40,,,,21:50,,,22:10,via,via,22:30,,
MondaysToFridays,19:30,19:40,,,,19:50,,,20:10,via,via,21:00,,
MondaysToFridays,,19:00,,,19:15,19:20,,,20:00,,,,,
MondaysToFridays,,18:15,,,,,,,19:05,via,via,19:30,,
MondaysToFridays,,18:10,,,,,,,19:10,,,,,
MondaysToFridays,,17:50,,,,,,,18:40,via,via,19:20,,
MondaysToFridays,,17:40,,,,,,,18:30,via,via,19:00,,
MondaysToFridays,,17:30,,,,,,,18:20,via,via,18:45,,
MondaysToFridays,,16:30,,,,,,,,via,via,17:50,,
MondaysToFridays,,17:20,,via,,,,,18:30,,,,,
MondaysToFridays,,17:15,,,,,,,18:05,via,via,18:35,,
MondaysToFridays,,17:10,,via,,,,,,,,,18:40,
MondaysToFridays,,17:00,,via,,,,,,,,,19:00,
MondaysToFridays,,17:00,,,,,via,,via,,,18:30,,
MondaysToFridays,,16:50,,,,,,,,via,via,18:30,,
MondaysToFridays,,16:45,,,,,,,17:35,via,via,18:00,,
MondaysToFridays,,,16:45,,,,,,via,via,via,18:00,,
MondaysToFridays,,16:40,,,,,via,,via,,,18:00,,
MondaysToFridays,,17:15,,,,,,,,,,,,18:55
MondaysToFridays,,14:00,,,,,,,15:20,,,,,
MondaysToFridays,,16:10,,,,,,,17:20,,,,,
MondaysToFridays,,13:45,,,,,,,15:00,,,,,
MondaysToFridays,,08:45,,,,,,,09:50,,,,,
MondaysToFridays,,08:30,,,,,,,09:40,,,,,
MondaysToFridays,,08:00,,,08:15,,,,09:00,,,,,
MondaysToFridays,,07:50,,,,,,,09:10,,,,,
MondaysToFridays,,07:35,,,,,,,08:45,,,,,
MondaysToFridays,,07:30,,,,,,,08:40,,,,,
MondaysToFridays,,07:20,,,07:45,,,,08:50,,,,,
MondaysToFridays,,07:10,,,,,,,08:15,,,,,
MondaysToFridays,,07:05,,,,,,,,,,,,08:15
MondaysToFridays,,07:00,,,07:15,,,,08:30,,,,,
MondaysToFridays,,06:50,,,,,,,08:00,,,,,
MondaysToFridays,,06:40,,,,,,,07:45,,,,,
MondaysToFridays,,06:30,,,,,,,07:20,,,,,
MondaysToFridays,,14:00,,,,,,,14:50,via,via,15:50,,
MondaysToFridays,,06:15,,,,,,,07:15,,,,,
MondaysToFridays,,06:10,,,,,,,07:00,via,via,07:30,,
MondaysToFridays,,06:00,,,06:15,,,,07:10,,,,,
MondaysToFridays,,05:40,,,06:00,,,,06:40,,,,,
MondaysToFridays,,,05:40,,,06:00,,,,,,,,
MondaysToFridays,,09:00,,,09:15,,,,10:00,,,,,
MondaysToFridays,,09:15,,,,,,,10:20,,,,,
MondaysToFridays,,06:20,,,06:35,,,,07:30,,,,,
MondaysToFridays,,10:45,,,,,,,12:00,via,via,12:30,,
MondaysToFridays,,12:20,,,,,,,13:20,,,,,
MondaysToFridays,,12:15,,,,,,,13:05,via,via,13:40,,
MondaysToFridays,,12:00,,,,,,,13:10,,,,,
MondaysToFridays,,,12:00,,,12:15,,,13:30,,,,,
MondaysToFridays,,11:30,,,,,,,12:30,,,,,
MondaysToFridays,,11:15,,,,,,,12:05,via,via,13:10,,
MondaysToFridays,,11:00,,,11:45,,,,12:15,,,,,
MondaysToFridays,,12:30,,,,,,,13:40,,,,,
MondaysToFridays,,12:45,,,,,,,14:00,via,via,14:30,,
MondaysToFridays,,10:45,,,,,,11:30,,,,,,
MondaysToFridays,,10:30,,,,,,,11:30,,,,,
MondaysToFridays,,10:15,,,,,,,11:15,,,,,
MondaysToFridays,,10:00,,,,,,,11:00,,,,,
MondaysToFridays,,09:45,,,,,,,10:50,,,,,
MondaysToFridays,,13:15,,,13:35,,,,14:40,,,,,
Mondays_to_Thursdays,,13:30,,,,,,,14:30,,,,,
Mondays_to_Thursdays,,13:00,,,,,,,14:00,,,,,
Mondays_to_Thursdays,,09:30,,,,,,,10:30,,,,,
Mondays_to_Thursdays,,16:30,,,,,,17:50,,,,,,
Mondays_to_Thursdays,,18:45,,,,,,,19:35,via,via,19:55,,
Mondays_to_Thursdays,,17:20,,,,,,,18:20,,,,18:55,
