day_type,BAYVIEW,SAN REMO,STRANDFONTEIN VILL,LOTUS RIVER,NEW OTTERY RD,CHUKKER RD,MOWBRAY,CAPE TOWN,SOMERSET HOSP
MondaysToFridays,04:40,via,via,,via,,,05:55,
MondaysToFridays,17:40,17:45,via,,,via,18:25,18:45,19:15
MondaysToFridays,14:30,14:35,via,,via,via,,16:00,
MondaysToFridays,11:10,11:15,via,,via,via,,12:25,
MondaysToFridays,09:00,09:05,via,,via,via,,10:40,
MondaysToFridays,08:10,08:20,via,,via,via,,09:40,
MondaysToFridays,08:10,via,via,,via,,,09:20,
MondaysToFridays,07:40,07:45,via,,via,via,,09:00,
MondaysToFridays,07:20,via,via,,via,,,09:10,
MondaysToFridays,07:00,07:05,via,,via,via,,08:40,
MondaysToFridays,06:50,via,via,,via,,,08:30,
MondaysToFridays,06:20,06:25,via,,via,via,,07:50,
MondaysToFridays,,,,06:10,,,,07:40,
MondaysToFridays,10:00,10:05,via,,via,via,,11:15,
MondaysToFridays,,,,05:55,,via,,07:00,
MondaysToFridays,05:50,via,via,,via,,,07:40,
MondaysToFridays,05:45,06:00,via,,via,via,,07:40,
MondaysToFridays,05:40,05:45,via,,via,via,,07:30,
MondaysToFridays,05:40,via,via,,via,,,07:25,
MondaysToFridays,05:30,via,via,,via,,,07:25,
MondaysToFridays,05:25,05:30,via,,via,via,,06:55,
MondaysToFridays,05:20,via,via,,via,,,06:40,
MondaysToFridays,05:20,05:25,via,,via,via,,06:50,
MondaysToFridays,05:10,via,via,,via,,,06:25,
MondaysToFridays,05:00,05:05,via,,via,via,,06:15,
MondaysToFridays,04:50,via,via,,via,,,06:20,
MondaysToFridays,06:00,via,via,,via,,,07:50,
PublicHolidays,07:00,07:05,via,,via,via,,08:45,
PublicHolidays,06:00,06:05,via,,via,via,,07:10,
PublicHolidays,05:45,05:50,via,,via,via,,07:00,
PublicHolidays,18:00,18:05,via,,,via,18:45,19:05,19:10
PublicHolidays,08:00,08:05,via,,via,via,,09:00,
Saturdays,07:45,07:50,via,,via,via,,09:00,
Saturdays,08:00,08:05,via,,via,via,,09:20,
Saturdays,08:30,08:35,via,,via,via,,10:10,
Saturdays,09:00,09:05,via,,via,via,,10:10,
Saturdays,10:00,10:05,via,,via,via,,11:00,
Saturdays,11:00,11:05,via,,via,via,,12:20,
Saturdays,17:40,17:45,via,,,via,18:25,18:45,18:45
Saturdays,06:00,06:05,via,,via,via,,07:00,
Saturdays,05:40,05:45,via,,via,via,,07:20,
Saturdays,06:35,06:40,via,,via,via,,07:20,
Saturdays,07:00,07:05,via,,via,via,,08:30,
Sundays,06:00,06:05,via,,via,via,,07:20,
Sundays,07:00,07:05,via,,via,via,,08:20,
Sundays,08:00,08:05,via,,via,via,,09:20,
Sundays,17:40,17:45,via,,,via,18:25,18:45,19:10
