day_type,WESPOORT,LEAGUES,EASTRIDGE,COLORADO PARK,TOWN CENTRE,ROCKLANDS,HANOVER PARK,KENILWORTH CENTRE,CLAREMONT
Fridays,,,,,09:00,via,09:40,via,10:15
MondaysToFridays,05:25,,,,,via,,via,06:45
MondaysToFridays,,,,,17:20,via,18:00,via,18:45
MondaysToFridays,,,,,16:30,via,17:10,via,17:30
MondaysToFridays,,,,,15:00,,15:30,via,16:30
MondaysToFridays,,,,,11:30,via,12:00,via,12:30
MondaysToFridays,,,,,10:10,via,10:50,via,11:30
MondaysToFridays,,,,,09:30,,10:00,via,11:00
MondaysToFridays,,,,,08:30,via,09:10,via,09:30
MondaysToFridays,,,,,11:00,,11:30,via,12:30
MondaysToFridays,07:00,,,,,via,,via,09:00
MondaysToFridays,06:45,,,,,via,,via,08:20
MondaysToFridays,,,06:40,,,,,07:40,08:00
MondaysToFridays,06:20,,,,,via,,via,08:00
MondaysToFridays,06:00,,,,,via,,via,07:45
MondaysToFridays,,05:50,,via,,,,via,07:05
MondaysToFridays,05:50,,,,,via,,via,07:30
MondaysToFridays,05:40,,,,,via,,via,07:40
MondaysToFridays,,,,,08:05,via,08:45,via,09:10
Mondays_to_Thursdays,,,,,09:00,via,09:40,via,10:15
PublicHolidays,,,,,07:30,via,08:10,via,08:45
PublicHolidays,,,,,09:00,via,09:30,via,10:10
PublicHolidays,,,,,10:30,via,11:10,via,11:30
PublicHolidays,,,,,11:00,via,11:40,via,12:00
PublicHolidays,,,,,15:10,via,15:40,via,16:10
PublicHolidays,,,,,12:00,via,12:40,via,13:00
PublicHolidays,,,,,13:00,via,13:40,via,14:00
PublicHolidays,,,,,15:05,,15:35,via,16:10
PublicHolidays,,,,,07:05,via,07:35,via,08:05
PublicHolidays,,,,,11:50,via,12:40,via,13:00
PublicHolidays,,,,,06:40,via,07:20,via,07:40
PublicHolidays,,,,,17:10,via,17:40,via,18:00
PublicHolidays,,,,,16:00,via,16:30,via,17:10
Saturdays,,,,,14:00,via,14:30,via,15:00
Saturdays,,,,,06:00,via,06:30,via,07:10
Saturdays,,,,,06:10,,06:40,via,08:00
Saturdays,,,,,06:40,via,07:10,via,08:00
Saturdays,,,,,07:10,via,07:40,via,08:00
Saturdays,,,,,07:40,via,08:20,via,08:40
Saturdays,,,,,08:30,via,09:10,via,10:00
Saturdays,,,,,08:50,via,09:20,via,10:00
Saturdays,,,,,09:30,via,10:10,via,10:30
Saturdays,,,,,10:00,,10:30,via,11:30
Saturdays,,,,,11:15,,11:45,via,12:20
Saturdays,,,,,11:20,via,11:50,via,12:20
Saturdays,,,,,10:20,via,10:50,via,11:20
Saturdays,,,,,17:10,via,17:40,via,18:15
Saturdays,,,,,16:10,via,16:40,via,17:30
Saturdays,,,,,15:10,via,15:40,via,16:15
Sundays,,,,,11:00,via,11:30,via,12:00
Sundays,,,,,10:00,via,10:30,via,11:00
Sundays,,,,,09:00,via,09:30,via,10:00
Sundays,,,,,08:30,via,09:00,via,09:30
Sundays,,,,,07:30,via,08:10,via,08:30
Sundays,,,,,07:30,,08:00,via,09:00
Sundays,,,,,07:10,via,07:50,via,08:30
Sundays,,,,,07:00,via,07:40,via,08:00
Sundays,,,,,16:10,via,16:40,via,17:10
Sundays,,,,,18:00,via,18:30,via,19:00
