day_type,CLAREMONT,HANOVER PARK,ROCKLANDS,TOWN CENTRE,TAFELSIG LOST CITY
MondaysToFridays,06:20,,,07:40,
MondaysToFridays,19:15,19:30,via,20:30,
MondaysToFridays,18:15,18:30,via,19:10,
MondaysToFridays,17:15,17:30,via,18:35,
MondaysToFridays,17:05,17:20,via,18:10,
MondaysToFridays,16:45,17:00,via,17:30,
MondaysToFridays,16:30,16:45,via,17:45,
MondaysToFridays,16:10,16:25,via,17:30,
MondaysToFridays,15:30,15:45,via,16:50,
MondaysToFridays,18:00,18:15,via,19:00,
MondaysToFridays,14:30,14:45,via,15:30,
MondaysToFridays,14:00,14:15,via,15:30,
MondaysToFridays,13:30,13:45,via,15:00,
MondaysToFridays,12:30,12:45,via,13:25,
MondaysToFridays,11:30,11:45,via,13:00,
MondaysToFridays,10:00,10:15,via,11:00,
MondaysToFridays,07:15,08:00,via,08:30,
MondaysToFridays,15:00,15:15,via,16:00,
PublicHolidays,12:00,12:25,,,13:00
PublicHolidays,13:00,13:25,,,14:20
PublicHolidays,13:00,13:10,via,14:00,
PublicHolidays,13:30,13:45,via,14:30,
PublicHolidays,14:00,14:15,via,15:00,
PublicHolidays,15:40,16:05,,,16:20
PublicHolidays,14:30,14:45,via,15:30,
PublicHolidays,15:15,15:30,via,16:15,
PublicHolidays,16:10,16:25,via,17:30,
PublicHolidays,16:30,via,,,17:40
PublicHolidays,08:30,,,09:30,
PublicHolidays,14:30,14:55,,,15:40
PublicHolidays,07:40,07:55,via,08:40,
PublicHolidays,17:10,17:35,,,18:00
PublicHolidays,17:10,17:25,via,17:50,
Saturdays,18:15,18:30,via,19:15,
Saturdays,08:10,08:25,via,09:00,
Saturdays,08:35,08:50,via,10:05,
Saturdays,10:20,10:35,via,11:00,
Saturdays,10:45,11:00,via,12:00,
Saturdays,11:20,11:35,via,12:50,
Saturdays,12:00,12:15,via,13:00,
Saturdays,12:50,13:05,via,14:20,
Saturdays,13:20,13:35,via,14:15,
Saturdays,15:20,15:35,via,16:30,
Saturdays,15:40,15:55,via,17:00,
Sundays,07:00,07:15,via,08:00,
Sundays,08:00,08:15,via,09:30,
Sundays,17:30,17:45,via,18:10,
Sundays,17:10,17:25,via,18:15,
Sundays,16:30,16:45,via,17:30,
Sundays,15:30,15:45,via,16:40,
Sundays,13:30,13:45,via,15:00,
Sundays,11:30,11:45,via,13:00,
Sundays,11:00,11:15,via,12:00,
Sundays,10:00,10:25,,,11:10
Sundays,08:30,08:45,via,09:30,
Sundays,09:00,09:15,via,10:30,
