day_type,TOWN CENTRE,MERRYDALE AVE,LEAGUES,COLORADO PARK,HANOVER PARK,TURFHALL RD,KENILWORTH CENTRE,CLAREMONT
MondaysToFridays,04:50,via,,,05:40,via,via,06:20
MondaysToFridays,09:00,via,,,,via,via,10:30
MondaysToFridays,08:00,,,,,via,via,09:20
MondaysToFridays,07:40,via,,,,via,via,09:00
MondaysToFridays,07:35,,,,,via,via,08:40
MondaysToFridays,07:20,,,,,via,via,08:40
MondaysToFridays,07:00,via,,,,via,via,08:20
MondaysToFridays,06:50,,,,,via,via,08:15
MondaysToFridays,06:40,via,,,,via,via,07:50
MondaysToFridays,07:05,,,,,via,via,09:00
MondaysToFridays,06:20,,,,,via,via,08:00
MondaysToFridays,06:35,,,,,via,via,08:00
MondaysToFridays,05:15,,,,,via,via,06:25
MondaysToFridays,05:35,,,,,via,via,07:00
MondaysToFridays,05:50,,,,,via,via,07:30
MondaysToFridays,05:10,via,,,,via,via,06:20
MondaysToFridays,06:00,via,,,,via,via,07:40
MondaysToFridays,06:05,,,,,via,via,08:00
MondaysToFridays,,,05:50,via,,via,via,07:05
PublicHolidays,06:10,via,,,via,,via,07:10
PublicHolidays,11:00,via,,,11:40,via,via,12:00
PublicHolidays,09:30,via,,,10:10,via,via,10:30
PublicHolidays,08:30,via,,,09:10,via,via,09:30
PublicHolidays,07:30,,,,,via,via,08:30
PublicHolidays,07:20,via,,,08:00,via,via,08:20
PublicHolidays,07:00,,,,,via,via,08:10
PublicHolidays,06:00,,,,,via,via,07:00
PublicHolidays,12:30,via,,,13:10,via,via,13:30
PublicHolidays,11:30,via,,,12:10,via,via,12:30
Saturdays,09:00,,,,,via,via,10:30
Saturdays,06:00,,,,,via,via,06:50
Saturdays,06:50,,,,,via,via,08:00
Saturdays,07:00,,,,,via,via,08:10
Saturdays,08:30,via,,,09:00,via,via,09:30
Saturdays,08:45,via,,,via,,via,09:45
Saturdays,14:30,via,,,via,,via,15:30
Saturdays,07:15,,,,,via,via,08:05
Saturdays,09:15,via,,,via,,via,11:00
Sundays,14:30,via,,,via,,via,15:30
Sundays,13:00,via,,,via,,via,14:00
Sundays,11:30,via,,,via,,via,12:30
Sundays,10:30,via,,,11:10,via,via,11:30
Sundays,09:40,via,,,via,,via,10:30
Sundays,06:00,via,,,via,,via,07:00
Sundays,05:45,,,,,via,via,07:00
