day_type,CLAREMONT,KENILWORTH CENTRE,HANOVER PARK,MERRYDALE AVE,TOWN CENTRE
Fridays,12:40,via,,,14:00
Fridays,13:00,via,,,14:30
Fridays,14:30,via,,,16:00
Fridays,17:30,via,,,18:35
MondaysToFridays,19:15,via,,,20:30
MondaysToFridays,18:00,via,,,19:00
MondaysToFridays,17:00,via,,,18:00
MondaysToFridays,17:15,via,,,18:30
MondaysToFridays,16:10,via,,,17:30
MondaysToFridays,15:30,via,,,16:40
MondaysToFridays,15:00,via,,,16:30
MondaysToFridays,16:30,via,,,17:45
Mondays_to_Thursdays,17:30,via,,,18:40
Mondays_to_Thursdays,14:30,via,,,15:35
PublicHolidays,09:30,via,09:45,via,10:30
PublicHolidays,16:00,via,,via,17:00
PublicHolidays,14:30,via,14:45,via,15:30
PublicHolidays,12:00,via,12:15,via,13:00
PublicHolidays,07:10,via,,,08:00
PublicHolidays,17:10,via,,,18:30
PublicHolidays,16:40,via,,,17:10
Saturdays,16:30,via,,,17:30
Saturdays,17:30,via,,,18:15
Saturdays,18:15,via,,,19:15
Saturdays,12:20,via,12:35,via,14:10
Saturdays,11:00,via,11:15,via,11:50
Saturdays,08:00,via,08:15,via,09:30
Saturdays,07:10,via,07:25,via,08:30
Saturdays,14:30,via,,,16:10
Saturdays,12:00,via,12:15,via,13:00
Sundays,10:40,via,,,11:40
Sundays,11:00,via,,,12:10
Sundays,12:30,via,,,14:00
Sundays,15:00,via,,,16:00
Sundays,16:30,via,16:45,via,18:00
