day_type,STRANDFONTEIN VILL,TOWN CENTRE,ROCKLANDS,R300 FREEWAY,N2 FREEWAY,HANOVER PARK,SACKS CIRCLE,BELLVILLE,TYGER VALLEY CENTRE,DURBANVILLE
Fridays,,15:30,,via,,,via,17:15,,
Fridays,,08:30,,via,,,,09:10,09:25,
Fridays,,07:25,,via,,,,08:10,08:30,
MondaysToFridays,,05:15,,via,,,,06:05,06:25,
MondaysToFridays,,13:40,via,via,via,,,14:40,,
MondaysToFridays,,09:30,,via,,,,10:10,10:30,
MondaysToFridays,,08:25,,via,,,,09:05,10:00,
MondaysToFridays,,08:00,,via,,,via,09:00,,09:30
MondaysToFridays,,07:50,,via,,,,08:25,08:40,
MondaysToFridays,,07:10,,via,,,via,08:30,,
MondaysToFridays,,07:10,,via,,,,08:00,08:30,
MondaysToFridays,,06:50,,via,,,,07:50,08:30,
MondaysToFridays,,10:30,,via,,,,11:10,11:45,
MondaysToFridays,,06:35,,via,,,,07:25,08:00,
MondaysToFridays,,06:20,,via,,,,07:10,07:30,
MondaysToFridays,,06:15,,via,,,via,07:45,,
MondaysToFridays,,06:10,,via,,,,07:00,08:00,
MondaysToFridays,,06:00,,via,,,,06:50,07:20,
MondaysToFridays,,05:50,,via,,,,06:35,07:40,
MondaysToFridays,,05:50,,via,,,,,06:50,
MondaysToFridays,,05:30,,via,,,via,07:30,,07:50
MondaysToFridays,,05:30,,via,,,,06:20,06:40,
MondaysToFridays,05:15,,,via,,,via,06:45,,
MondaysToFridays,,06:40,,via,,,via,08:10,,08:40
Mondays_to_Thursdays,,07:25,,via,,,,08:10,08:50,
Mondays_to_Thursdays,,08:30,,via,,,,09:10,09:20,
Mondays_to_Thursdays,,15:30,,via,,,via,17:15,,
PublicHolidays,,07:30,,via,,,,08:10,08:30,
PublicHolidays,,06:45,,via,,,,07:25,07:45,
PublicHolidays,,08:30,,via,,,,09:10,09:40,
PublicHolidays,,08:00,,via,,,,08:40,09:10,
Saturdays,,07:00,,via,,,,07:40,08:10,
Saturdays,,05:40,via,,,06:20,via,07:00,,
Saturdays,,15:30,,via,,,,16:10,16:30,
Saturdays,,06:00,,via,,,,06:40,07:30,
Saturdays,,14:00,via,via,via,,,15:00,,
Saturdays,,14:30,,via,,,,15:10,16:30,
Saturdays,,10:40,,via,,,,11:20,12:30,
Saturdays,,10:00,via,via,via,,,11:10,,
Saturdays,,08:30,,via,,,,09:10,09:30,
Saturdays,,08:00,,via,,,,08:40,09:00,
Saturdays,,07:30,,via,,,,08:10,08:40,
Saturdays,,12:20,,via,,,,13:00,13:30,
Saturdays,,06:50,,via,,,,07:30,08:00,
Sundays,,06:45,,via,,,,07:25,08:00,
Sundays,,07:00,,via,,,,07:40,08:30,
Sundays,,08:00,,via,,,,08:40,09:30,
