day_type,DURBANVILLE,TYGER VALLEY CENTRE,BELLVILLE,LA BELLE RD,SACKS CIRCLE,UWC,HANOVER PARK,R300 FREEWAY,AZ BERMAN DRV,MERRYDALE AVE,BEACON VALLEY,ROCKLANDS,TOWN CENTRE,TAFELSIG LOST CITY,STRANDFONTEIN VILL,STRANDFONTEIN
Fridays,,14:10,14:25,,,,,via,via,,,via,15:45,,,
Fridays,,,17:15,,,,,via,via,,,,18:30,,,
MondaysToFridays,,,13:00,,,via,,via,,,,via,14:30,,,
MondaysToFridays,,19:30,20:00,,,,,via,via,via,21:00,via,,via,,via
MondaysToFridays,,19:30,19:50,,,,,via,via,,,,,21:00,,
MondaysToFridays,,18:15,18:30,,,,,via,via,,,via,,,20:00,
MondaysToFridays,,18:15,18:30,,,,,via,via,,via,,,19:35,,
MondaysToFridays,,17:20,17:35,,,,,via,via,,,via,19:00,,,
MondaysToFridays,,17:10,,via,,,,via,via,,,via,18:15,,,
MondaysToFridays,,17:00,17:15,,,,,via,via,,via,,,18:20,,
MondaysToFridays,,,17:00,,via,via,,via,via,,,,,18:30,,
MondaysToFridays,,16:40,17:00,,,,,via,via,via,,,18:10,,,
MondaysToFridays,,16:30,16:45,,,,,via,via,,via,,,18:00,,
MondaysToFridays,,16:30,16:45,,,,,via,via,,,via,18:15,,,
MondaysToFridays,,16:15,,,,,,,,,,,,18:00,,
MondaysToFridays,,17:30,17:50,,,,,via,via,,,,,19:15,,
MondaysToFridays,,16:10,,via,,,,via,via,,,via,18:00,,,
MondaysToFridays,,14:00,14:20,,,,,via,via,,,,,15:20,,
MondaysToFridays,,,14:00,,via,via,,via,via,,,,,15:30,,
MondaysToFridays,15:00,,15:30,,via,,,via,,via,16:30,,,,,
MondaysToFridays,,15:10,15:30,,,,,via,via,,,,,16:40,,
MondaysToFridays,,15:15,15:25,,via,,,,,,,,17:00,,,
MondaysToFridays,,15:00,15:15,,,,,via,via,,,via,16:35,,,
MondaysToFridays,,15:30,16:00,,,,,via,via,,via,,,17:20,,
MondaysToFridays,,15:45,16:05,,,,,via,via,,,via,18:00,,,
MondaysToFridays,15:45,,16:15,,via,,,via,,via,17:45,,,,,
MondaysToFridays,,16:00,16:20,,,,,via,via,,,,,18:00,,
MondaysToFridays,,15:30,15:45,,,,,via,via,,,via,17:00,,,
MondaysToFridays,,16:10,16:25,,,,,via,via,,,via,18:00,,,
Mondays_to_Thursdays,,,17:15,,,,,via,via,,,,18:50,,,
Mondays_to_Thursdays,,17:45,18:00,,,,,via,via,,via,,,19:00,,
Mondays_to_Thursdays,,14:10,14:25,,,,,via,via,,,via,15:40,,,
PublicHolidays,,13:30,13:45,,,,,via,via,,,via,14:40,,,
PublicHolidays,,16:30,16:45,,,,,via,via,,,via,17:40,,,
PublicHolidays,,14:30,14:45,,,,,via,via,,,via,16:20,,,
PublicHolidays,,19:30,19:50,,,,,via,via,via,20:30,via,,via,,via
PublicHolidays,,17:30,17:50,,,,,via,via,via,18:50,via,,via,,via
Saturdays,,14:00,14:20,,,,,via,via,,,,,15:30,,
Saturdays,,,08:15,,via,,09:00,,,,,via,09:30,,,
Saturdays,10:30,,11:00,,via,,,via,,via,12:20,,,,,
Saturdays,,13:30,13:50,,,,,via,via,via,15:00,via,,via,,via
Saturdays,,18:30,18:50,,,,,via,via,via,20:00,via,,via,,via
Saturdays,,19:30,19:50,,,,,via,via,via,21:00,via,,via,,via
Saturdays,,16:30,16:50,,,,,,,,,,,18:00,,
Saturdays,,16:30,16:50,,,,,via,via,via,17:50,via,,via,,via
Saturdays,,15:30,16:00,,,,,via,via,via,16:30,via,,via,,via
Saturdays,,,15:30,,,via,,via,,,,via,16:30,,,
Saturdays,,14:30,14:40,,,,,via,via,,,via,15:45,,,
Saturdays,,17:30,17:50,,,,,via,via,via,19:00,via,,via,,via
Saturdays,,12:30,12:50,,,,,via,via,via,13:30,via,,via,,via
Sundays,,14:30,14:50,,,,,via,via,via,16:00,via,,via,,via
Sundays,,17:30,17:50,,,,,via,via,,,,,19:00,,
Sundays,,17:30,17:50,,,,,via,via,via,19:00,via,,via,,via
