day_type,SEA FORTH,MURDOCH VALLEY,SIMONSTOWN HIGH SCH,FISH HOEK,MUIZENBERG,STRANDFONTEIN VILL,ROCKLANDS,MERRYDALE AVE,TOWN CENTRE,TAFELSIG LOST CITY,SIMONSTOWN,BAYVIEW
Fridays,17:15,,,via,via,via,,,18:50,,17:25,
MondaysToFridays,,,,05:35,05:40,,,,,,,
MondaysToFridays,,,,,17:00,via,,,18:30,,,
MondaysToFridays,,16:35,,,,via,via,via,18:10,,via,
MondaysToFridays,,16:05,,,,,,,17:05,17:35,16:15,
MondaysToFridays,,,,,15:45,via,,,16:30,,,
MondaysToFridays,,,,,16:10,via,,,17:00,,,
MondaysToFridays,,,,,14:10,via,,,15:30,,,
MondaysToFridays,,,14:15,,via,via,,,15:30,,14:05,
MondaysToFridays,,,,,13:20,via,,,14:20,,,
MondaysToFridays,,,,,10:00,via,,,11:00,,,
MondaysToFridays,,,,,14:45,via,,,15:45,,,
Mondays_to_Thursdays,17:15,,,via,via,via,,,18:50,,17:25,
PublicHolidays,16:00,,,,via,via,,,17:10,,16:05,
PublicHolidays,,,,,,,,,08:50,,,08:30
PublicHolidays,,,,,,,,,16:30,,,16:10
Saturdays,,,,13:30,13:50,via,,,15:00,,,
