day_type,TOWN CENTRE,STRANDFONTEIN VILL,BAMBOESVLEI RD,LOTUS RIVER,MONTAGUS GIFT RD,OTTERY RD,WYNBERG
Fridays,08:10,08:20,,08:30,,via,09:10
MondaysToFridays,05:10,05:45,,05:55,,via,06:15
MondaysToFridays,17:00,17:20,,17:30,via,via,18:15
MondaysToFridays,15:30,15:50,,16:00,via,via,17:00
MondaysToFridays,14:00,14:20,,14:30,,via,15:50
MondaysToFridays,12:30,12:50,,13:00,via,via,13:40
MondaysToFridays,10:30,10:50,,11:00,,via,11:30
MondaysToFridays,10:00,10:20,,10:30,via,via,11:15
MondaysToFridays,09:00,09:20,,09:30,,via,09:45
MondaysToFridays,07:45,08:05,,08:15,,via,09:00
MondaysToFridays,09:30,09:50,,10:00,,via,10:30
MondaysToFridays,07:20,,via,,,,08:50
MondaysToFridays,07:20,07:40,,07:50,,via,08:20
MondaysToFridays,06:00,,via,,,,07:30
MondaysToFridays,06:10,06:30,,06:40,,via,08:00
MondaysToFridays,06:15,,via,,,,07:40
MondaysToFridays,06:30,,via,,,,07:30
MondaysToFridays,05:35,06:00,,06:10,,via,06:35
MondaysToFridays,06:45,,via,,,,07:50
MondaysToFridays,07:00,,via,,,,08:30
MondaysToFridays,06:45,07:05,,07:15,,via,07:50
Mondays_to_Thursdays,08:10,08:20,,08:30,,via,09:00
PublicHolidays,07:00,07:20,,07:30,,via,08:00
PublicHolidays,16:00,16:20,,16:30,via,via,17:00
PublicHolidays,14:00,14:20,,14:30,via,via,15:00
PublicHolidays,13:00,13:20,,13:30,,via,14:00
PublicHolidays,12:00,12:20,,12:30,via,via,13:00
PublicHolidays,11:00,11:20,,11:30,,via,12:00
PublicHolidays,10:00,10:20,,10:30,via,via,11:00
PublicHolidays,09:00,09:20,,09:30,,via,10:00
PublicHolidays,07:30,07:50,,08:00,,via,08:30
PublicHolidays,06:00,06:20,,06:30,,via,07:00
PublicHolidays,18:00,18:20,,18:30,via,via,19:05
PublicHolidays,17:00,17:20,,17:30,,via,18:00
Saturdays,13:00,13:20,,13:30,,via,13:40
Saturdays,05:40,06:00,,06:10,,via,06:50
Saturdays,06:20,06:40,,06:50,,via,07:20
Saturdays,07:00,07:20,,07:30,,via,08:40
Saturdays,08:00,08:20,,08:30,,via,09:00
Saturdays,08:40,09:00,,09:10,via,via,09:40
Saturdays,09:20,09:40,,09:50,,via,10:20
Saturdays,09:40,10:00,,10:10,,via,10:40
Saturdays,11:20,11:40,,11:50,,via,12:20
Saturdays,12:00,12:20,,12:30,via,via,13:00
Saturdays,12:20,12:40,,12:50,,via,13:20
Saturdays,10:20,10:40,,10:50,,via,11:20
Saturdays,16:00,16:20,,16:30,,via,17:00
Saturdays,15:00,15:20,,15:30,,via,15:40
Saturdays,14:40,15:00,,15:10,via,via,15:30
Saturdays,14:00,14:20,,14:30,,via,15:10
Sundays,17:00,17:20,,17:30,,via,18:00
Sundays,11:00,11:20,,11:30,,via,12:00
Sundays,10:00,10:20,,10:30,via,via,11:30
Sundays,09:00,09:20,,09:30,,via,10:30
Sundays,08:00,08:20,,08:30,,via,09:00
Sundays,07:00,07:20,,07:30,,via,08:00
Sundays,06:00,06:20,,06:30,,via,07:10
Sundays,12:00,12:20,,12:30,,via,13:00
Sundays,15:00,15:20,,15:30,,via,16:00
