day_type,WYNBERG,BAMBOESVLEI RD,OTTERY HYPERMARKET,MONTAGUS GIFT RD,LOTUS RIVER,STRANDFONTEIN VILL,BEACON VALLEY,MERRYDALE AVE,ROCKLANDS,TOWN CENTRE,TAFELSIG LOST CITY,STEENBERG,EPPING IND,RETREAT
Fridays,17:30,,,,,,,,,,18:30,,,
Fridays,14:45,,,via,15:05,15:15,,,,15:25,,,,
Fridays,,,,,,,,,,,,,15:30,17:00
Fridays,11:15,,,via,11:35,11:45,,,,12:00,,,,
Fridays,17:00,via,,,,,,via,,18:30,,,,
Fridays,15:20,via,,,,,,,,,16:45,,,
MondaysToFridays,,,,,,,,,,,,05:30,07:30,06:00
MondaysToFridays,15:30,,,via,15:50,16:00,,,,16:10,,,,
MondaysToFridays,16:05,via,,,,,,via,,17:00,,,,
MondaysToFridays,16:10,via,,,,,,,,,17:00,,,
MondaysToFridays,16:20,via,,,,,,,via,17:20,,,,
MondaysToFridays,16:40,,,,,,,,,,18:00,,,
MondaysToFridays,17:00,via,via,,,via,via,,,,18:30,,,
MondaysToFridays,17:15,,,via,17:35,17:45,,,,18:15,,,,
MondaysToFridays,17:15,via,,,,,,,via,18:30,,,,
MondaysToFridays,16:10,,,via,16:30,16:40,,,,17:20,,,,
MondaysToFridays,15:10,,,,,,,,via,17:00,,,,
MondaysToFridays,18:15,,,,,,,,,,19:20,,,
MondaysToFridays,15:00,,,,15:20,15:30,,,,16:00,,,,
MondaysToFridays,15:00,,,,,,,via,,16:00,,,,
MondaysToFridays,14:40,,,,,,,,via,15:40,,,,
MondaysToFridays,14:00,,,,14:20,14:30,,,,15:00,,,,
MondaysToFridays,14:00,,,,,,,,,,15:30,,,
MondaysToFridays,13:30,,,,13:50,14:00,,,,14:30,,,,
MondaysToFridays,13:00,,,,,,,,,,14:30,,,
MondaysToFridays,06:45,,,,07:50,08:00,,,,08:20,,,,
MondaysToFridays,13:00,,,via,13:35,13:45,,,,14:30,,,,
MondaysToFridays,12:00,,,,12:20,12:30,,,,13:00,,,,
MondaysToFridays,08:10,,,,08:30,08:40,,,,09:10,,,,
MondaysToFridays,09:20,,,via,09:40,09:50,,,,11:00,,,,
Mondays_to_Thursdays,17:30,,,,,,,,,,18:40,,,
Mondays_to_Thursdays,15:20,via,,,,,,,,,16:30,,,
Mondays_to_Thursdays,11:15,,,via,11:35,11:45,,,,12:10,,,,
Mondays_to_Thursdays,,,,,,,,,,,,,16:30,18:00
Mondays_to_Thursdays,14:45,,,via,15:05,15:15,,,,15:45,,,,
Mondays_to_Thursdays,17:00,via,,,,,,via,,17:40,,,,
PublicHolidays,17:00,,,,17:20,17:30,,,,18:00,,,,
PublicHolidays,15:00,,,via,15:20,15:30,,,,16:00,,,,
PublicHolidays,14:00,,,via,14:20,14:30,,,,15:00,,,,
PublicHolidays,13:00,,,,13:20,13:30,,,,13:50,,,,
PublicHolidays,12:00,,,via,12:10,12:20,,,,12:30,,,,
PublicHolidays,11:00,,,via,11:20,11:30,,,,12:00,,,,
PublicHolidays,10:00,,,,10:20,10:30,,,,11:00,,,,
PublicHolidays,19:05,,,via,19:20,19:30,,,,19:50,,,,
PublicHolidays,18:00,,,via,18:20,18:30,,,,18:50,,,,
Saturdays,11:00,,,via,11:20,11:30,,,,12:20,,,,
Saturdays,07:20,,,via,07:40,07:50,,,,08:00,,,,
Saturdays,08:20,,,,08:40,08:50,,,,09:20,,,,
Saturdays,08:40,,,via,09:00,09:10,,,,09:40,,,,
Saturdays,09:40,,,via,10:00,10:10,,,,10:50,,,,
Saturdays,10:00,,,,10:20,10:30,,,,10:40,,,,
Saturdays,10:20,,,via,10:40,10:50,,,,11:30,,,,
Saturdays,11:20,,,,11:40,11:50,,,,12:20,,,,
Saturdays,17:40,,,via,18:00,18:10,,,,18:20,,,,
Saturdays,12:00,,,,12:20,12:30,,,,13:00,,,,
Saturdays,15:40,,,,16:00,16:10,,,,16:40,,,,
Saturdays,12:20,,,via,12:40,12:50,,,,13:30,,,,
Saturdays,12:40,,,,13:00,13:10,,,,13:50,,,,
Saturdays,13:20,,,,13:40,13:50,,,,14:20,,,,
Saturdays,13:20,,,,,,,via,,14:30,,,,
Saturdays,13:40,,,,14:30,15:00,,,,15:20,,,,
Saturdays,14:20,,,via,14:40,14:50,,,,15:30,,,,
Saturdays,16:20,,,via,16:40,16:50,,,,17:20,,,,
Saturdays,14:40,,,,15:00,15:10,,,,15:40,,,,
Saturdays,15:20,via,,,,,,,,,16:30,,,
Sundays,16:00,,,,16:20,16:30,,,,16:40,,,,
Sundays,13:30,,,,,,,via,,14:30,,,,
Sundays,12:00,,,via,12:20,12:30,,,,13:00,,,,
Sundays,11:00,,,via,11:20,11:30,,,,12:00,,,,
Sundays,07:10,,,,07:30,07:40,,,,08:00,,,,
Sundays,17:00,,,via,17:20,17:30,,,,18:00,,,,
Sundays,08:00,,,,08:20,09:00,,,,09:15,,,,
