day_type,TAFELSIG LOST CITY,EASTRIDGE,KAPTEINSKLIP STN,TOWN CENTRE,AZ BERMAN DRV,HIGHLANDS DRV,WESPOORT,JAKES GERWEL DRV,MONTAGUE GARDENS,KILLARNEY TERM,BLAAUWBERG,RICHMOND,KILLARNEY GARDENS,KILLARNEY
Fridays,,,,,,,,,,,,,17:05,17:00
MondaysToFridays,,,,04:55,via,via,,via,via,,,,06:05,via
MondaysToFridays,,,,15:30,via,,,via,via,,,,,16:55
MondaysToFridays,,,,14:00,,via,,via,via,,,,,15:35
MondaysToFridays,,,,08:30,,via,,via,via,,10:00,,,via
MondaysToFridays,,,,08:00,via,via,,via,via,,,,09:30,via
MondaysToFridays,,,,07:25,via,via,,via,via,,08:45,,,via
MondaysToFridays,,,,06:35,via,via,,via,via,08:30,,via,,via
MondaysToFridays,,,,06:20,via,via,,via,via,,,,08:15,via
MondaysToFridays,,,,06:00,via,via,,via,via,,,,07:50,via
MondaysToFridays,,05:50,,,via,,,via,via,,,,07:30,07:00
MondaysToFridays,,,,10:00,,via,,via,via,,11:50,,,via
MondaysToFridays,,,,,,,05:45,via,via,,,,,07:20
MondaysToFridays,,,,05:40,via,via,,via,via,,,,07:30,via
MondaysToFridays,,,,05:35,via,via,,via,via,,,,07:20,via
MondaysToFridays,,,,,,,05:30,via,via,,,,,07:10
MondaysToFridays,05:30,,,,via,,,via,,,,,07:30,via
MondaysToFridays,,,,,,,05:25,via,via,,,,,06:50
MondaysToFridays,,,05:15,,,via,,via,,,,,06:40,via
MondaysToFridays,,,,05:15,via,via,,via,via,,,,07:05,via
MondaysToFridays,,,,05:05,via,via,,via,via,,,,06:30,via
MondaysToFridays,05:00,,,,via,,,via,,,,,07:00,via
MondaysToFridays,,,,05:45,via,via,,via,via,,,,07:50,via
PublicHolidays,,,,07:45,via,via,,via,via,,09:15,,,via
PublicHolidays,,,,07:30,,,,,via,,09:20,,,08:50
PublicHolidays,,,,07:05,,,,,via,,,,08:35,08:25
PublicHolidays,,,,06:30,via,,,via,via,,,,07:50,via
PublicHolidays,,,,06:15,via,via,,via,via,,07:50,,,via
PublicHolidays,,,,14:30,via,via,,via,via,,,,16:35,via
PublicHolidays,,,,08:30,,via,,via,via,,10:00,,,via
Saturdays,,,,12:00,via,via,,via,,12:10,13:00,,,
Saturdays,,,,08:30,,via,,via,via,,10:05,,,09:35
Saturdays,,,,07:00,via,via,,via,via,,08:30,,,via
Saturdays,,,,06:15,via,via,,via,via,,07:30,,,via
Saturdays,,,,07:30,via,via,,via,via,,08:45,,,via
Sundays,,,,07:00,via,via,,via,via,,08:50,,,via
Sundays,,,,07:30,,via,,via,via,,09:00,,,via
Sundays,,,,08:00,,via,,via,via,,09:30,,,via
Sundays,,,,07:00,,via,,via,via,,09:30,,,via
