day_type,BLAAUWBERG,KILLARNEY TERM,RICHMOND,KILLARNEY GARDENS,KILLARNEY,MONTAGUE GARDENS,BOSMANSDAM RD,JAKES GERWEL DRV,HIGHLANDS DRV,EISLEBEN RD,MORGENSTER RD,ROCKLANDS,BEACON VALLEY,TOWN CENTRE,TAFELSIG LOST CITY
Fridays,,,,17:20,17:25,via,via,via,via,via,via,via,,18:30,
MondaysToFridays,11:50,,,,via,via,,via,via,via,via,via,,13:40,
MondaysToFridays,,18:15,via,,,via,via,via,via,via,via,via,,19:30,
MondaysToFridays,,,,17:00,17:05,via,,via,via,,via,,via,,18:20
MondaysToFridays,,,,17:00,17:05,via,via,via,via,via,via,via,,18:30,
MondaysToFridays,,,,16:45,16:50,via,,via,via,,via,,via,,18:00
MondaysToFridays,,,,,16:35,via,via,via,via,via,via,via,,18:00,
MondaysToFridays,,,,16:35,16:40,via,via,via,via,via,,,,18:30,
MondaysToFridays,,,,16:30,16:35,via,via,via,,,via,,,,18:15
MondaysToFridays,,,,,16:15,via,,via,,,,,,18:00,
MondaysToFridays,,,,16:15,16:20,via,via,via,via,,via,,,,18:00
MondaysToFridays,,,,15:45,15:50,via,via,via,,via,via,via,,17:30,
MondaysToFridays,,,,15:40,15:45,via,via,via,via,,via,,,,17:20
MondaysToFridays,,,,,15:35,via,,via,,,,,,17:00,
MondaysToFridays,,,,15:30,15:35,via,,via,via,,via,,via,,17:30
MondaysToFridays,,,,15:25,15:30,via,via,via,,via,via,via,,17:00,
MondaysToFridays,,,,15:00,15:05,via,via,via,via,via,,,,16:30,
MondaysToFridays,,,,14:45,14:50,via,via,via,via,,via,,,,16:30
MondaysToFridays,,,,14:40,14:45,via,via,via,,via,via,via,,16:00,
MondaysToFridays,,,,16:10,16:15,via,via,via,,via,via,via,,18:00,
MondaysToFridays,,,,17:30,17:35,via,,via,via,,via,,via,,19:20
Mondays_to_Thursdays,,,,17:20,17:25,via,via,via,via,via,via,via,,19:00,
PublicHolidays,,,,08:30,08:35,via,via,via,via,via,,,,10:30,
PublicHolidays,13:00,,,,13:10,via,via,via,via,,via,,15:00,,
PublicHolidays,14:30,,,,14:40,via,via,via,via,via,via,via,,15:40,
PublicHolidays,,,,16:20,16:25,via,via,via,,via,via,via,,17:20,
PublicHolidays,,,,16:35,16:40,via,via,via,via,via,,,,17:20,
PublicHolidays,17:15,,,,17:25,via,via,via,via,via,via,via,,18:25,
Saturdays,13:20,,,,13:30,via,via,via,via,,via,,14:30,,
Saturdays,15:30,,,,15:40,via,via,via,via,,via,,17:00,,
Saturdays,,,,16:15,16:20,via,,via,via,,,via,17:45,,
Saturdays,17:30,,,,17:40,via,via,via,via,,via,,18:30,,
Saturdays,,,,17:30,,via,,via,via,,,via,18:40,,
Sundays,13:10,,,,13:20,via,via,via,via,,via,,15:00,,
Sundays,13:10,,,,13:20,via,via,via,via,via,via,via,,15:00,
Sundays,14:30,,,,14:40,via,via,via,via,via,via,via,,16:10,
Sundays,17:30,,,,17:40,via,via,via,via,,via,,18:50,,
