day_type,NDABENI STN,MUTUAL,EPPING IND,HANOVER PARK,MERRYDALE AVE,ROCKLANDS,TOWN CENTRE,STRANDFONTEIN VILL,TAFELSIG LOST CITY,BEACON VALLEY,OUDE MOLEN SCH,MULTIMECH
Fridays,,,,,via,via,,,via,14:30,12:45,
Mondays_to_Thursdays,,,,,via,via,,,via,16:15,15:05,
Fridays,,,15:10,,,via,16:30,,,,,
Fridays,,,,via,,via,,16:30,via,,,15:20
MondaysToFridays,16:05,16:15,via,,,,,,17:50,via,,
MondaysToFridays,16:10,,,,,via,18:30,,,,,
MondaysToFridays,16:25,16:35,,,,,,,18:00,,,
MondaysToFridays,16:30,16:35,,,,,,18:05,,,,
MondaysToFridays,16:30,16:40,,,via,,17:40,,,,,
Mondays_to_Thursdays,,,16:35,,,via,18:00,,,,,
Mondays_to_Thursdays,,,16:35,,,,,18:00,,,,
MondaysToFridays,17:00,,,,,via,18:30,,,,,
Mondays_to_Thursdays,,,,via,,via,,18:00,via,,,17:00
MondaysToFridays,17:05,17:15,via,,,,,,18:45,via,,
